Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time Unit,Scale_Company_Size,Scale_Revenue
"$89,096 /yr (est.)",89096.0,Artificial Intelligence and Cybersecurity Researcher,8.0,1,-1,Argonne National Laboratory,LA,4.4,0,77.0,1001 to 5000 Employees,1946,Government,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.9,4.0,4.2,3.9,4.3,yr,5.0,4.5
"$125,100 /yr (est.)",125100.0,Assistant Research Scientist AI Ethics Center for Human Compatible Artificial Intelligence,0.0,1,0,University of California Berkeley,LA,4.2,0,30.8125,-1,-1,Private,-1,-1,-1,4.0,3.7,4.2,4.2,4.2,yr,3.5,4.5
"$105,086 /yr (est.)",105086.0,Artificial intelligence / Machine Learning Engineer,8.0,1,1,Cotocus,LA,4.4,0,30.8125,-1,-1,Private,-1,-1,-1,4.4,4.2,4.1,4.3,4.2,yr,3.5,4.5
"$135,046 /yr (est.)",135046.0,Artificial Intelligence Performance Engineer,5.0,1,-1,"Advanced Micro Devices, Inc",LA,4.2,0,54.0,10000+ Employees,1969,Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.2,3.7,4.2,3.9,3.9,yr,7.0,9.0
"$117,948 /yr (est.)",117948.0,Artificial Intelligence - Computational Linguist,0.0,2,-1,VASS IT,LA,3.8,0,30.8125,-1,-1,Private,-1,-1,-1,3.4,3.0,3.1,3.0,3.6,yr,3.5,4.5
"$40,000 /yr (est.)",40000.0,Content Writer,5.0,1,1,Beyond Marketing,Remote,3.972727272727272,1,30.8125,-1,-1,Private,-1,-1,-1,3.8363636363636364,3.7409090909090907,3.9181818181818184,3.6727272727272724,3.7818181818181817,yr,3.5,4.5
"$94,291 /yr (est.)",94291.0,Post Doctoral Fellow - Artificial Intelligence/Machine Learning,0.0,1,0,Emory University,LA,4.2,0,49.0,10000+ Employees,1974,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.7,4.1,3.7,4.0,yr,7.0,7.0
"$75,000 /yr (est.)",75000.0,Support Engineer - Commercial,0.0,1,-1,Lambda,Remote,4.0,1,30.8125,-1,-1,Private,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,yr,3.5,4.5
"$93,468 /yr (est.)",93468.0,Machine Learning Engineer / A.I. - USA Based Remote,0.0,1,-1,"Gaea Global Technologies, In",LA,4.7,0,16.0,51 to 200 Employees,2007,Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),4.4,4.3,4.6,4.5,4.2,yr,2.0,2.0
$55.00 /hr (est.),114400.0,Machine Learning Engineer,10.0,2,-1,Wisdom Soft Inc,LA,5.0,0,30.8125,-1,-1,Private,-1,-1,-1,5.0,4.5,4.7,5.0,5.0,hr,3.5,4.5
"$151,450 /yr (est.)",151450.0,Staff Machine Learning Engineer,5.0,1,1,eHealth,Remote,3.0,1,26.0,1001 to 5000 Employees,1997,Public,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),2.7,3.5,2.9,2.7,3.0,yr,5.0,6.0
"$175,000 /yr (est.)",175000.0,Machine Learning Engineer (Remote),2.0,2,1,Curai,LA,4.5,0,6.0,51 to 200 Employees,2017,Private,Hospitals & Health Clinics,Healthcare,Unknown / Non-Applicable,4.2,4.2,4.5,4.1,4.2,yr,2.0,4.5
"$190,000 /yr (est.)",190000.0,Lead Machine Learning Engineer,5.0,2,1,kea,Remote,4.5,1,5.0,1 to 50 Employees,2018,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.4,4.3,5.0,4.4,4.0,yr,1.0,4.5
"$140,566 /yr (est.)",140566.0,Machine Learning Engineer,3.9166666666666665,-1,-1,Sian Consulting Group,LA,3.972727272727272,0,30.8125,-1,-1,Private,-1,-1,-1,3.8363636363636364,3.7409090909090907,3.9181818181818184,3.6727272727272724,3.7818181818181817,yr,3.5,4.5
"$86,500 /yr (est.)",86500.0,Machine Learning Engineer L-1,0.0,2,-1,Lauretta AI LLC,LA,3.0,0,7.0,1 to 50 Employees,2016,Private,Information Technology Support Services,Information Technology,Less than $1 million (USD),3.0,3.0,3.0,2.0,2.0,yr,1.0,1.0
"$205,000 /yr (est.)",205000.0,Senior Machine Learning Engineer,0.0,2,-1,Lambda,Remote,4.0,1,30.8125,-1,-1,Private,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,yr,3.5,4.5
$60.00 /hr (est.),124800.0,"Immediate need of Python Machine Learning Engineer, 3-6 monthS /(C2H), Remo",5.0,2,1,LotusData,Remote,3.972727272727272,1,30.8125,-1,-1,Private,-1,-1,-1,3.8363636363636364,3.7409090909090907,3.9181818181818184,3.6727272727272724,3.7818181818181817,hr,3.5,4.5
"$97,500 /yr (est.)",97500.0,Quality Assurance Engineer,5.0,1,1,Yay Lunch,Remote,4.4,1,5.0,201 to 500 Employees,2018,Private,Catering & Food Service Contractors,Restaurants & Food Service,$1 to $5 million (USD),4.0,4.2,4.7,4.4,4.7,yr,3.0,2.0
"$112,287 /yr (est.)",112287.0,"Sr. Engineer I, Data Engineering",3.0,2,-1,Oak Street Health,LA,3.7,0,11.0,1001 to 5000 Employees,2012,Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.7,3.8,3.4,3.5,yr,5.0,4.5
"$122,736 /yr (est.)",122736.0,Cloud Data Engineer-DBA,8.0,2,1,Locate Software,Remote,3.972727272727272,1,30.8125,-1,-1,Private,-1,-1,-1,3.8363636363636364,3.7409090909090907,3.9181818181818184,3.6727272727272724,3.7818181818181817,yr,3.5,4.5
$72.50 /hr (est.),150800.0,Data Engineering Manager,11.0,2,1,Sansutek,Remote,3.972727272727272,1,30.8125,-1,-1,Private,-1,-1,-1,3.8363636363636364,3.7409090909090907,3.9181818181818184,3.6727272727272724,3.7818181818181817,hr,3.5,4.5
"$170,000 /yr (est.)",170000.0,Director of Data Engineering,3.9166666666666665,-1,-1,"SalesIntel Research, Inc.",Remote,3.2,1,5.0,51 to 200 Employees,2018,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,2.9,3.1,3.1,2.9,3.2,yr,2.0,4.5
"$100,955 /yr (est.)",100955.0,Data Engineer,3.9166666666666665,-1,-1,Adtalem Global Education,Remote,3.5,1,92.0,10000+ Employees,1931,Public,Colleges & Universities,Education,Unknown / Non-Applicable,3.3,3.3,3.4,3.1,3.7,yr,7.0,4.5
"$123,984 /yr (est.)",123984.0,Data Scientist,5.0,1,1,Northrop Grumman Federal Credit Union (NGFCU),Remote,2.6,1,77.0,51 to 200 Employees,1946,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),2.3,2.5,2.1,2.2,2.3,yr,2.0,4.5
"$110,000 /yr (est.)",110000.0,Azure Data Engineer,2.0,1,-1,ArchsystemInc,Remote,4.1,1,17.0,51 to 200 Employees,2006,Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.1,4.3,4.3,4.2,yr,2.0,3.0
"$90,000 /yr (est.)",90000.0,Data Engineer,3.0,1,-1,Green Street,Remote,4.4,1,38.0,201 to 500 Employees,1985,Private,Investment & Asset Management,Financial Services,$100 to $500 million (USD),4.4,3.7,4.3,4.0,4.0,yr,3.0,6.0
"$85,000 /yr (est.)",85000.0,UX/UI (Jr.-Mid),4.0,2,-1,RS21,Remote,3.6,1,8.0,51 to 200 Employees,2015,Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.7,3.6,3.7,3.6,3.4,yr,2.0,4.5
"$79,578 /yr (est.)",79578.0,BARDA Fellowship Opportunities in Medical Countermeasures Research & Development,4.0,1,0,-1,LA,4.033333333333333,0,46.18181818181818,-1,-1,Private,-1,-1,-1,3.81875,3.74375,3.8750000000000004,3.7312499999999997,3.9375,yr,4.454545454545454,7.5
$23.50 /hr (est.),48880.0,Hybrid Administrative Assistant,3.0,1,0,"Supporting Strategies - Merrimack Valley and Southern Maine
3.8",LA,3.8,0,19.0,51 to 200 Employees,2004,Franchise,Accounting & Tax,Financial Services,$1 to $5 million (USD),3.4,3.1,3.7,3.7,4.1,hr,2.0,2.0
"$76,940 /yr (est.)",76940.0,Associate Engineer,0.0,2,0,"ConverseNow Technologies
4.6",LA,4.6,0,5.0,51 to 200 Employees,2018,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.7,4.6,4.7,4.9,4.6,yr,2.0,7.5
"$99,893 /yr (est.)",99893.0,Solutions Engineer - USA,0.0,1,0,"INGENIOUS.BUILD
4.5",LA,4.5,0,7.0,51 to 200 Employees,2016,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,4.4,4.5,4.3,4.3,yr,2.0,7.5
"$50,000 /yr (est.)",50000.0,Real Estate Office Assistant,2.0,2,0,"Bluelofts Inc.
5.0",LA,5.0,0,46.18181818181818,-1,-1,Private,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,yr,4.454545454545454,7.5
"$97,500 /yr (est.)",97500.0,Personal Lines Producer,0.0,2,1,Heaton Bennett Insurance,Remote,4.033333333333333,1,46.18181818181818,-1,-1,Private,-1,-1,-1,3.81875,3.74375,3.8750000000000004,3.7312499999999997,3.9375,yr,4.454545454545454,7.5
"$89,399 /yr (est.)",89399.0,Senior Conversational AI and VUI Designer & Developer,2.0,2,1,"Rulai, Inc.
2.7",LA,2.7,0,46.18181818181818,-1,-1,Private,-1,-1,-1,1.4,2.3,2.4,2.4,4.6,yr,4.454545454545454,7.5
"$143,815 /yr (est.)",143815.0,Senior Voice Solutions Architect,5.0,1,1,"Boost AI
4.1",LA,4.1,0,46.18181818181818,-1,-1,Private,-1,-1,-1,3.9,3.8,3.9,3.8,3.9,yr,4.454545454545454,7.5
"$182,400 /yr (est.)",182400.0,Software Developer – Data Platform - Watson Orders,3.0,1,-1,IBM,LA,4.0,0,112.0,10000+ Employees,1911,Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.9,3.7,4.0,3.5,4.0,yr,7.0,9.0
"$118,500 /yr (est.)",118500.0,Implementation Manager,2.0,1,1,Moveworks.ai,Remote,3.8,1,7.0,501 to 1000 Employees,2016,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.8,4.0,3.7,3.6,3.3,yr,4.0,7.5
$53.00 /hr (est.),110240.0,Drupal Web Developer,8.0,1,-1,ePATHUSA Inc,LA,3.4,0,46.18181818181818,-1,-1,Private,-1,-1,-1,3.1,2.9,2.9,3.2,3.2,hr,4.454545454545454,7.5
"$73,572 /yr (est.)",73572.0,RPA Developer - Solution Analyst,1.0,1,-1,Deloitte,LA,4.1,0,173.0,10000+ Employees,1850,Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,yr,7.0,9.0
$70.45 /hr (est.),146536.0,Omni Channel developer,1.0,1,1,Formac Inc,Remote,4.2,1,10.0,51 to 200 Employees,2013,Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.7,3.9,4.1,3.9,hr,2.0,7.5
"$94,456 /yr (est.)",94456.0,Drupal developer,8.0,1,-1,Intone Networks,LA,4.3,0,46.18181818181818,-1,-1,Private,-1,-1,-1,4.3,4.2,4.2,3.6,4.2,yr,4.454545454545454,7.5
"$130,000 /yr (est.)",130000.0,Lead Front-End Developer,8.0,1,1,Nutrafol,LA,3.4,0,10.0,51 to 200 Employees,2013,Self-employed,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,3.4,4.0,3.8,3.4,3.3,yr,2.0,7.5
"$105,524 /yr (est.)",105524.0,Genesys Developer,0.0,-1,-1,PRO IT,LA,5.0,0,46.18181818181818,-1,-1,Private,-1,-1,-1,3.81875,3.74375,3.8750000000000004,3.7312499999999997,3.9375,yr,4.454545454545454,7.5
