Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$21,500 /mo (est.)",258000.0,Senior Software Tester,2,1,-1,Kemar Port Automation Pvt ltd,"Apex, NC",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:52:55.101907,mo
"$84,566 /yr (est.)",84566.0,Performance Tester,3,2,-1,"Apexon
4.1","Sacramento, CA",4.1,0,27,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.7,3.9,3.8,4.0,2023-06-06 00:53:02.062647,yr
"$9,235 /mo (est.)",110820.0,JC-371976 - Telework Option - Hybrid - Lead Tester - FFD 5/25/23,0,1,1,"California Department of Housing and Community Development
3.8","Sacramento, CA",3.8,0,114,1001 to 5000 Employees,1909,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.7,3.8,3.7,3.5,4.6,2023-06-06 00:53:07.153356,mo
"$65,154 /yr (est.)",65154.0,QA Tester - Entry Level (FT),-1,-1,-1,"Castle Hill Gaming
5.0","Charlottesville, VA",5.0,0,10,51 to 200 Employees,2013,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,4.5,5.0,4.8,4.7,4.8,2023-06-06 00:53:09.073534,yr
"$62,525 /yr (est.)",62525.0,Advanced QA Tester,-1,-1,-1,-1,"Dallas, TX",3.4,0,22,201 to 500 Employees,2001,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.2,4.2,3.3,3.1,2.9,2023-06-06 00:53:13.622995,yr
"$53,909 /yr (est.)",53909.0,QA Software Tester,5,1,1,"Wovenware US
3.6","Saint Louis, MO",3.6,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.2,4.0,3.4,3.4,2023-06-06 00:53:16.895512,yr
"$63,112 /yr (est.)",63112.0,QA Tester/Analyst,-1,-1,-1,"ATS-American Technosys
5.0","Novi, MI",5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,4.0,5.0,4.0,2023-06-06 00:53:20.154946,yr
"$92,457 /yr (est.)",92457.0,Lead System Tester,-1,-1,-1,"North Carolina Dept of Commerce
3.2","Raleigh, NC",3.2,0,-1,-1,-1,-1,-1,-1,-1,2.9,3.6,3.0,2.7,3.4,2023-06-06 00:53:22.760497,yr
"$77,285 /yr (est.)",77285.0,QA Specialist / Applications Tester,-1,-1,-1,"Flexwind
3.6","Chantilly, VA",3.6,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,3.6,3.1,2.5,2023-06-06 00:53:25.510335,yr
"$75,633 /yr (est.)",75633.0,Quality Assurance Tester,5,2,1,"NYC IT Inc
4.0","New York, NY",4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,4.0,4.0,4.0,2023-06-06 00:53:28.104754,yr
"$99,039 /yr (est.)",99039.0,Software Quality Assurance (QA) Specialist/Applications Tester,0,1,1,"EdgeWorks
3.0","Chantilly, VA",3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,4.0,2.0,5.0,2023-06-06 00:53:33.494301,yr
$60.00 /hr (est.),124800.0,QA Analyst,5,2,-1,"On Demand Agility Software Pvt Ltd
4.0","Trenton, NJ",4.0,0,17,501 to 1000 Employees,2006,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,4.0,3.9,3.9,3.9,4.0,2023-06-06 00:53:44.717165,hr
"$91,462 /yr (est.)",91462.0,Full Stack Developer,8,1,-1,"Index Analytics Llc
4.7","Windsor Mill, MD",4.7,0,11,51 to 200 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.6,4.4,4.6,4.6,4.5,2023-06-06 00:53:46.835768,yr
