Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$79,409 /yr (est.)",79409.0,Quality Analyst (QA) Tester,0,1,-1,Software Quality Experts, VA,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.1,5.0,5.0,5.0,2023-06-06 01:01:10.186447,yr
"$93,452 /yr (est.)",93452.0,ETL Tester/SQL Tester,8,1,1,Trinity ERP, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:01:13.336439,yr
$50.00 /hr (est.),104000.0,ETL Tester with Python exp.,8,2,1,ANB Sourcing LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:01:18.395240,hr
$59.00 /hr (est.),122720.0,Performance Tester,8,2,-1,PSRTEK, VA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.3,4.5,4.5,4.4,2023-06-06 01:01:23.369424,hr
$102.50 /hr (est.),213200.0,Data Warehouse Quality Assurance Tester,5,2,-1,Agilian,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-06 01:01:26.290826,hr
$50.00 /hr (est.),104000.0,Senior Software Tester,5,1,1,Keyo,Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,3.5,5.0,4.0,4.5,4.0,2023-06-06 01:01:31.740353,hr
"$65,895 /yr (est.)",65895.0,Software Tester (entry level),0,1,0,OPEXUS, DC,3.3,0,35,51 to 200 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.5,3.3,2.8,2.7,3.5,2023-06-06 01:01:38.976267,yr
"$62,884 /yr (est.)",62884.0,Software Tester,3,1,1,Grant Leading Technology, MD,4.0,0,10,51 to 200 Employees,2013,Government,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,4.1,3.7,3.6,3.7,2023-06-06 01:01:41.061267,yr
"$83,345 /yr (est.)",83345.0,QA Automation Tester,0,1,1,The Evolvers Group, NC,3.8,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.2,3.2,3.2,2023-06-06 01:01:47.302616,yr
"$85,896 /yr (est.)",85896.0,Data Analyst with SQL Informatica - Tester,5,1,1,Cognizant, TX,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.3,3.5,2023-06-06 01:01:50.159027,yr
"$80,274 /yr (est.)",80274.0,Database Developer,6,1,-1,AECOM, MD,3.8,0,33,10000+ Employees,1990,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$10+ billion (USD),3.8,3.4,3.7,3.3,3.6,2023-06-06 01:01:56.432852,yr
