Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$67,870 /yr (est.)",67870.0,PLM/QA Tester,5,2,1,"Trissential
4.0", MN,4.0,0,20,201 to 500 Employees,2003,Subsidiary or Business Segment,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.8,3.8,4.0,3.9,3.8,2023-06-06 01:07:34.678807,yr
$50.00 /hr (est.),104000.0,Senior Software Tester,5,1,1,"Keyo
4.5",Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,3.5,5.0,4.0,4.5,4.0,2023-06-06 01:07:36.723033,hr
"$86,276 /yr (est.)",86276.0,Software Developer/Tester - ServiceNow - 1951,-1,-1,-1,"Advanced Systems Design
4.2", FL,4.2,0,44,51 to 200 Employees,1979,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.9,4.1,4.3,4.3,4.6,2023-06-06 01:07:48.147534,yr
"$88,139 /yr (est.)",88139.0,Salesforce QA Tester (Remote),-1,-1,-1,"Cognizant
3.8", CA,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.3,3.5,2023-06-06 01:07:50.768735,yr
"$71,405 /yr (est.)",71405.0,Systems-Software Tester,9,1,1,"T2S Solutions
4.6", MD,4.6,0,13,51 to 200 Employees,2010,Company - Private,National Agencies,Government & Public Administration,$5 to $25 million (USD),4.5,4.2,4.5,4.3,4.6,2023-06-06 01:07:52.551508,yr
"$100,870 /yr (est.)",100870.0,Automation Tester,10,1,1,"Computer World Services
3.7", VA,3.7,0,33,201 to 500 Employees,1990,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.3,3.4,3.6,3.8,4.2,2023-06-06 01:08:00.662308,yr
"$47,533 /yr (est.)",47533.0,API Tester with French Language,6,1,1,"Cognizant
3.8", AZ,3.8,0,29,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.7,3.3,3.5,2023-06-06 01:08:02.857408,yr
"$81,431 /yr (est.)",81431.0,Automation Tester,0,2,1,"Tech Army
4.8", FL,4.8,0,-1,-1,-1,-1,-1,-1,-1,4.7,4.5,4.7,4.9,4.7,2023-06-06 01:08:07.676054,yr
"$140,000 /yr (est.)",140000.0,Performance Tester,5,1,1,"PrimeInfotec
3.7",Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,3.7,3.0,3.7,3.3,3.3,2023-06-06 01:08:13.184990,yr
$42.50 /hr (est.),88400.0,Manual Web QA Tester (W2) (Citizens & GC),9,2,-1,"Integration Developer Network LLC
4.9",Remote,4.9,1,12,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.7,4.7,4.5,4.6,4.4,2023-06-06 01:08:16.292406,hr
"$80,000 /yr (est.)",80000.0,QA Tester,3,1,-1,"Public Consulting Group
3.8", FL,3.8,0,37,1001 to 5000 Employees,1986,Private Practice / Firm,Business Consulting,Management & Consulting,$100 to $500 million (USD),3.3,3.6,3.8,3.4,3.9,2023-06-06 01:08:18.215450,yr
