Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$65,154 /yr (est.)",65154.0,QA Tester - Entry Level (FT),0,1,-1,Castle Hill Gaming, VA,5.0,0,10,51 to 200 Employees,2013,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,4.5,5.0,4.8,4.7,4.8,2023-06-05 15:53:20.176722,yr
"$84,169 /yr (est.)",84169.0,React Developer,3,2,-1,Steampunk, VA,4.5,0,20,201 to 500 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.2,4.5,4.3,4.4,2023-06-05 15:53:26.925636,yr
"$21,500 /mo (est.)",258000.0,Senior Software Tester,2,1,-1,Kemar Port Automation Pvt ltd, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:53:28.652759,mo
"$9,235 /mo (est.)",110820.0,JC-371976 - Telework Option - Hybrid - Lead Tester - FFD 5/25/23,0,1,1,California Department of Housing and Community Development, CA,3.8,0,114,1001 to 5000 Employees,1909,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.7,3.8,3.7,3.5,4.6,2023-06-05 15:53:36.166652,mo
"$62,525 /yr (est.)",62525.0,Advanced QA Tester,10,1,-1,ISN Software Corporation, TX,3.4,0,22,201 to 500 Employees,2001,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.2,4.2,3.3,3.1,2.9,2023-06-05 15:53:38.170862,yr
"$92,457 /yr (est.)",92457.0,Lead System Tester,0,1,0,North Carolina Dept of Commerce, NC,3.2,0,-1,-1,-1,-1,-1,-1,-1,2.9,3.6,3.0,2.7,3.4,2023-06-05 15:53:42.238508,yr
"$77,285 /yr (est.)",77285.0,QA Specialist / Applications Tester,5,2,1,Flexwind, VA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,3.6,3.1,2.5,2023-06-05 15:53:44.903130,yr
"$63,112 /yr (est.)",63112.0,QA Tester/Analyst,0,1,1,ATS-American Technosys, MI,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,4.0,5.0,4.0,2023-06-05 15:53:47.610926,yr
"$99,039 /yr (est.)",99039.0,Software Quality Assurance (QA) Specialist/Applications Tester,0,1,1,EdgeWorks, VA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,4.0,2.0,5.0,2023-06-05 15:53:56.355540,yr
"$99,039 /yr (est.)",99039.0,Software Quality Assurance (QA) Specialist/Applications Tester,5,2,1,EdgeWorks, VA,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,4.0,2.0,5.0,2023-06-05 15:53:59.154238,yr
$57.50 /hr (est.),119600.0,Sr. UAT Tester,10,2,-1,RV Soft, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:54:05.810956,hr
$60.00 /hr (est.),124800.0,QA Analyst,5,2,-1,On Demand Agility Software Pvt Ltd, NJ,3.9,0,17,501 to 1000 Employees,2006,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,4.0,3.9,3.9,3.9,4.0,2023-06-05 15:54:10.742696,hr
"$111,000 /yr (est.)",111000.0,UI Developer/ Angular Developer,10,1,-1,Daybreak LLC, DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:54:12.834813,yr
"$65,295 /yr (est.)",65295.0,Software Tester,2,1,1,Chenega MIOS, MD,3.4,0,18,1001 to 5000 Employees,2005,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.6,3.9,3.6,3.5,3.9,2023-06-05 15:54:17.972590,yr
$27.50 /hr (est.),57200.0,100% Remote Web Accessibility Specialist,-1,-1,-1,"Be Accessible, Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:54:20.281746,hr
"$88,508 /yr (est.)",88508.0,Sr. Mainframe and UI Tester,-1,-1,-1,"Pyramid Systems, Inc.", DC,4.0,0,28,51 to 200 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.6,3.6,3.9,3.6,3.6,2023-06-05 15:54:24.952608,yr
"$88,508 /yr (est.)",88508.0,Sr. Mainframe and UI Tester,-1,-1,-1,"Pyramid Systems, Inc.", DC,4.0,0,28,51 to 200 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.6,3.6,3.9,3.6,3.6,2023-06-05 15:54:26.691639,yr
"$56,008 /yr (est.)",56008.0,User Acceptance Tester(UAT),3,1,-1,eSystems Inc., AR,4.0,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.7,3.7,3.6,3.6,3.3,2023-06-05 15:54:28.801469,yr
$45.00 /hr (est.),93600.0,UX Content Writer (Remote),5,1,0,Rescue Agency, CA,3.7,0,22,51 to 200 Employees,2001,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),3.4,3.3,3.8,3.2,3.4,2023-06-05 15:54:30.996361,hr
"$70,000 /yr (est.)",70000.0,Ebook Testing Manager (Open to Remote),5,2,1,Penguin Random House LLC, NY,3.8,0,10,1001 to 5000 Employees,2013,Company - Private,Publishing,Media & Communication,$1 to $5 billion (USD),3.2,3.4,3.8,3.2,3.6,2023-06-05 15:54:33.031380,yr
"$72,800 /yr (est.)",72800.0,Quality Assurance Tester,5,1,1,TECKpert, IA,4.9,0,14,1 to 50 Employees,2009,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD),4.8,4.2,4.8,4.9,5.0,2023-06-05 15:54:34.993825,yr
"$57,008 /yr (est.)",57008.0,User Acceptance Tester,0,1,0,eSystems Inc., AR,4.0,0,24,51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.7,3.7,3.6,3.6,3.3,2023-06-05 15:54:37.112136,yr
"$92,431 /yr (est.)",92431.0,Full Stack Developer (Java/React),5,2,-1,Steampunk, VA,4.5,0,20,201 to 500 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.2,4.5,4.3,4.4,2023-06-05 15:54:43.290362,yr
$46.50 /hr (est.),96720.0,QA Test Lead (NC71),-1,-1,-1,Resource Management Associates LLC.,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:54:48.954221,hr
