Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$52,589 /yr (est.)",52589.0,Linguistic Tester,0,1,-1,RWS, CA,3.6,0,65,5001 to 10000 Employees,1958,Company - Public,Translation & Linguistic Services,Media & Communication,$500 million to $1 billion (USD),3.3,3.1,3.8,3.2,3.8,2023-06-05 15:55:09.619004,yr
$15.50 /hr (est.),32240.0,QA Tester Temp,0,2,1,Sega Of America Inc, CA,2.9,0,38,51 to 200 Employees,1985,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$100 to $500 million (USD),2.4,2.8,2.8,2.4,3.1,2023-06-05 15:55:13.743685,hr
"$61,897 /yr (est.)",61897.0,QA Localization Tester - French Language,2,1,1,2K Vegas, NV,3.8,0,18,Unknown,2005,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.7,3.7,3.9,3.5,3.6,2023-06-05 15:55:24.343146,yr
"$72,204 /yr (est.)",72204.0,Sr Tester,0,2,0,Lionbridge Technologies, ID,3.6,0,27,5001 to 10000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),3.2,3.0,3.5,3.2,3.9,2023-06-05 15:55:26.352224,yr
"$76,119 /yr (est.)",76119.0,Accessibility Consultant - Part Time and Remote,0,1,1,TestPros,Remote,3.4,1,18,Unknown,2005,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,2.8,2.8,2.9,2.7,3.1,2023-06-05 15:55:30.855677,yr
"$68,921 /yr (est.)",68921.0,Tester Design Engineer 1,5,1,-1,Denso, TN,3.2,0,74,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.6,2.9,2.6,2.4,2023-06-05 15:55:33.139108,yr
"$75,000 /yr (est.)",75000.0,Senior Test Lead,0,1,1,RWS, CO,3.6,0,65,5001 to 10000 Employees,1958,Company - Public,Translation & Linguistic Services,Media & Communication,$500 million to $1 billion (USD),3.3,3.1,3.8,3.2,3.8,2023-06-05 15:55:34.920844,yr
"$46,748 /yr (est.)",46748.0,"College Graduate Engineers - Maryville, TN (May/June Graduates)",0,1,1,Denso, TN,3.2,0,74,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.6,2.9,2.6,2.4,2023-06-05 15:55:39.720858,yr
"$109,874 /yr (est.)",109874.0,"Senior Manager, Solution Architecture - DAS Business Performance Management",10,1,1,Deloitte, KY,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-06-05 15:55:41.562566,yr
"$73,000 /yr (est.)",73000.0,Process Engineer 1,0,1,1,Denso, TN,3.2,0,74,10000+ Employees,1949,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.6,2.9,2.6,2.4,2023-06-05 15:55:43.644459,yr
"$91,772 /yr (est.)",91772.0,Senior Radar Engineer,0,2,1,Clover Leaf Solutions, CA,3.7,0,18,51 to 200 Employees,2005,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.6,3.7,3.7,3.8,4.2,2023-06-05 15:55:45.403516,yr
"$77,215 /yr (est.)",77215.0,Penetration Testers,0,1,1,TestPros, MD,3.4,0,35,51 to 200 Employees,1988,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),2.8,2.8,2.9,2.7,3.1,2023-06-05 15:55:47.918602,yr
$27.00 /hr (est.),56160.0,Mechanical Assembler,5,1,-1,"Santa Barbara Infrared, Inc.", CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:55:49.727092,hr
"$85,000 /yr (est.)",85000.0,Construction Project Manager,5,2,1,"Winspear Construction, LLC", ID,3.4,0,-1,-1,-1,-1,-1,-1,-1,2.9,2.9,4.5,3.5,3.4,2023-06-05 15:55:54.512239,yr
"$169,791 /yr (est.)",169791.0,Senior Electrical/Radar Engineer,0,1,1,Lawrence Livermore National Laboratory, CA,4.4,0,71,5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD),4.3,4.0,4.3,4.1,4.5,2023-06-05 15:55:57.482677,yr
"$65,000 /yr (est.)",65000.0,Test Lead,0,1,1,RWS, CO,3.6,0,65,5001 to 10000 Employees,1958,Company - Public,Translation & Linguistic Services,Media & Communication,$500 million to $1 billion (USD),3.3,3.1,3.8,3.2,3.8,2023-06-05 15:56:02.717501,yr
