Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$50.00 /hr (est.),104000.0,Senior Software Tester,5,1,1,Keyo,Remote,4.5,1,-1,-1,-1,-1,-1,-1,-1,3.5,5.0,4.0,4.5,4.0,2023-06-05 15:56:32.434516,hr
$57.50 /hr (est.),119600.0,QA Automation Tester,5,2,-1,Devcare Solutions, MN,3.4,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.3,3.6,3.2,3.2,3.3,2023-06-05 15:56:35.509102,hr
$59.00 /hr (est.),122720.0,Performance Tester,8,2,-1,PSRTEK, VA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.3,4.5,4.5,4.4,2023-06-05 15:56:37.512189,hr
"$79,409 /yr (est.)",79409.0,Quality Analyst (QA) Tester,0,1,-1,Software Quality Experts, VA,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.1,5.0,5.0,5.0,2023-06-05 15:56:40.214868,yr
"$74,331 /yr (est.)",74331.0,Software Tester,5,1,-1,Sev1Tech, VA,4.2,0,13,501 to 1000 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),4.0,4.1,4.4,4.1,4.1,2023-06-05 15:56:46.915873,yr
"$65,895 /yr (est.)",65895.0,Software Tester (entry level),0,1,0,OPEXUS, DC,3.3,0,35,51 to 200 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.5,3.3,2.8,2.7,3.5,2023-06-05 15:56:48.847912,yr
"$83,345 /yr (est.)",83345.0,QA Automation Tester,0,1,1,The Evolvers Group, NC,3.8,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.2,3.2,3.2,2023-06-05 15:56:50.949227,yr
$26.50 /hr (est.),55120.0,Software Tester Level II,5,1,-1,Advantage Route Systems, CA,4.2,0,29,1 to 50 Employees,1994,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.8,3.4,4.2,3.8,4.1,2023-06-05 15:56:53.552701,hr
"$65,000 /yr (est.)",65000.0,Junior/Mid-Level Front-End Software Engineer,1,1,0,University of Maryland, MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,3.9,2023-06-05 15:56:57.962674,yr
"$92,500 /yr (est.)",92500.0,QA Tester,8,1,-1,CONCEPT SOLUTIONS LLC, VA,3.8,0,24,51 to 200 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.8,4.1,3.8,4.1,2023-06-05 15:57:03.884796,yr
"$80,274 /yr (est.)",80274.0,Database Developer,6,1,-1,AECOM, MD,3.8,0,33,10000+ Employees,1990,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$10+ billion (USD),3.8,3.4,3.7,3.3,3.6,2023-06-05 15:57:08.639058,yr
$37.00 /hr (est.),76960.0,Automated Regression Tester,5,2,-1,TECKpert,Remote,4.9,1,14,1 to 50 Employees,2009,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD),4.8,4.2,4.8,4.9,5.0,2023-06-05 15:57:14.370307,hr
$46.00 /hr (est.),95680.0,QA Tester Tosca,11,2,1,Devcare Solutions, NC,3.4,0,18,51 to 200 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.3,3.6,3.2,3.2,3.3,2023-06-05 15:57:16.294878,hr
"$119,752 /yr (est.)",119752.0,Senior Mobile QA Tester,2,2,1,Wonderstorm, CA,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,5.0,5.0,4.0,2023-06-05 15:57:18.181075,yr
"$82,500 /yr (est.)",82500.0,QUALITY ASSURANCE ANALYST/TESTER,10,2,-1,VSolvit,United States,4.0,0,17,201 to 500 Employees,2006,Company - Private,National Agencies,Government & Public Administration,$25 to $100 million (USD),3.6,3.4,4.0,3.8,4.0,2023-06-05 15:57:21.363248,yr
"$85,000 /yr (est.)",85000.0,QA Tester II,5,1,-1,UST Xpanxion,Remote,3.9,1,24,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,3.4,3.9,3.6,3.9,2023-06-05 15:57:23.495567,yr
"$80,000 /yr (est.)",80000.0,QA Tester,3,1,-1,Public Consulting Group, FL,3.8,0,37,1001 to 5000 Employees,1986,Private Practice / Firm,Business Consulting,Management & Consulting,$100 to $500 million (USD),3.3,3.6,3.8,3.4,3.9,2023-06-05 15:57:25.186109,yr
"$72,500 /yr (est.)",72500.0,Software Tester/QA Analyst,5,2,1,Yakshna Solutions, VA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.4,4.6,4.5,4.4,2023-06-05 15:57:26.963993,yr
"$71,743 /yr (est.)",71743.0,QA Tester / Analyst,2,1,-1,The CENTECH GROUP, VA,2.6,0,35,201 to 500 Employees,1988,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),2.7,3.3,2.5,2.2,3.0,2023-06-05 15:57:29.691964,yr
$39.43 /hr (est.),82014.4,IT Quality Analyst/Tester - ITS3,3,1,0,State of Minnesota, MN,3.8,0,56,10000+ Employees,1967,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.4,4.0,3.5,3.2,3.8,2023-06-05 15:57:34.699407,hr
$60.00 /hr (est.),124800.0,QA Tester,1,1,1,Johnson Equipment Company, TX,3.7,0,64,51 to 200 Employees,1959,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$25 to $100 million (USD),3.4,3.4,3.6,3.6,3.8,2023-06-05 15:57:36.787980,hr
"$115,664 /yr (est.)",115664.0,"UiPath DevOps Engineer- Charlotte, NC (Onsite 100%)",10,2,-1,Techprism.inc, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:57:42.472275,yr
