Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$85,000 /yr (est.)",85000.0,Data Engineer,2,1,0,DocsInk LLC, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:35:31.791155,yr
$62.50 /hr (est.),130000.0,Data Engineer,4,1,0,DataPattern,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:35:38.976282,hr
"$87,099 /yr (est.)",87099.0,Junior Data Engineer,0,1,0,Big-D Companies, UT,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,3.0,1.0,1.0,1.0,2023-06-06 01:35:44.800894,yr
"$78,860 /yr (est.)",78860.0,Data Engineer,-1,-1,-1,IntelliBridge LLC, FL,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.0,4.2,3.8,4.0,2023-06-06 01:35:47.830954,yr
$60.00 /hr (est.),124800.0,Big Data Engineer,8,2,-1,keasis Inc, DE,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:35:50.695207,hr
"$132,500 /yr (est.)",132500.0,Data Collection Engineer,3,1,1,Cloudburst Technologies,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:35:55.947846,yr
"$65,000 /yr (est.)",65000.0,Data Engineer,0,2,0,"TechIntelli Solutions, Inc.",Remote,4.4,1,7,201 to 500 Employees,2016,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,4.4,4.5,4.4,4.2,4.5,2023-06-06 01:36:01.597199,yr
$34.00 /hr (est.),70720.0,BHJOB15656_20058 - Data Engineer,-1,-1,-1,Myticas Consulting,Arizona,3.9,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.1,3.6,3.9,4.3,2023-06-06 01:36:06.029522,hr
"$109,270 /yr (est.)",109270.0,Big Data Engineer,0,2,1,Alt Shift USA, TX,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.6,4.0,4.0,4.0,2023-06-06 01:36:08.704188,yr
"$105,000 /yr (est.)",105000.0,Data Engineer,2,1,-1,E&E Co. Ltd, CA,3.2,0,29,501 to 1000 Employees,1994,Company - Private,Home Furniture & Housewares Stores,Retail & Wholesale,$100 to $500 million (USD),3.0,3.1,2.8,2.8,3.1,2023-06-06 01:36:11.705595,yr
"$4,000 /mo (est.)",48000.0,Data Center Engineer,-1,-1,-1,KNN IT, OR,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:36:14.166127,mo
$50.00 /hr (est.),104000.0,Data Logging Engineer,2,1,-1,GTA (Global Technology Associates), TX,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.0,4.4,4.0,3.4,2023-06-06 01:36:18.848654,hr
$75.00 /hr (est.),156000.0,Data Engineer,1,2,-1,Wallero, WA,4.4,0,8,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.5,4.1,4.4,4.4,4.3,2023-06-06 01:36:22.061455,hr
"$85,096 /yr (est.)",85096.0,Data Engineer,2,2,1,Ixaris, MT,3.5,0,9,501 to 1000 Employees,2014,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,3.7,3.3,3.6,3.3,3.6,2023-06-06 01:36:24.306934,yr
$61.00 /hr (est.),126880.0,Data Engineer,9,1,1,MARVEL TECHNOLOGIES INC, OH,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.6,3.9,3.8,3.6,2023-06-06 01:36:26.547272,hr
$70.00 /hr (est.),145600.0,CRM data Analytics Engineer,8,2,-1,NLB Technology Services, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:36:29.786773,hr
$60.00 /hr (est.),124800.0,Data Engineer Level 3,1,2,-1,Infoorigin Inc,Remote,3.1,1,-1,-1,-1,-1,-1,-1,-1,3.2,3.1,3.0,2.9,2.8,2023-06-06 01:36:34.950812,hr
$64.00 /hr (est.),133120.0,Data Engineer,8,2,-1,kairos technologies, MA,4.6,0,20,51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.1,4.2,4.3,4.2,2023-06-06 01:36:37.979946,hr
$64.00 /hr (est.),133120.0,Data Engineer,3,1,1,kairos technologies, MA,4.6,0,20,51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.1,4.2,4.3,4.2,2023-06-06 01:36:40.059221,hr
"$147,500 /yr (est.)",147500.0,Data Engineer,8,1,-1,InquisIT,Remote,3.5,1,19,51 to 200 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.6,3.4,3.4,3.4,3.5,2023-06-06 01:36:42.891334,yr
"$225,000 /yr (est.)",225000.0,Data Engineer,3,1,-1,Stytch, NY,5.0,0,3,1 to 50 Employees,2020,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,5.0,4.7,5.0,4.9,4.8,2023-06-06 01:36:45.292024,yr
