Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$77,886 /yr (est.)",77886.0,Business Intelligence Analyst - Remote Opportunity,7,1,1,Culinary Institute of America, NY,2.4,0,77,501 to 1000 Employees,1946,College / University,Colleges & Universities,Education,$100 to $500 million (USD),2.3,2.6,2.1,1.6,2.1,2023-06-06 01:42:29.259727,yr
"$77,500 /yr (est.)",77500.0,Business Analyst,5,1,1,Yay Lunch,Remote,4.4,1,5,201 to 500 Employees,2018,Company - Private,Catering & Food Service Contractors,Restaurants & Food Service,$1 to $5 million (USD),4.0,4.2,4.7,4.4,4.7,2023-06-06 01:42:31.509720,yr
"$70,088 /yr (est.)",70088.0,Urban Outfitters Business Intelligence Analyst,2,1,1,"URBN Outfitters, Inc.", PA,3.5,0,53,10000+ Employees,1970,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$1 to $5 billion (USD),3.1,3.1,3.5,3.2,3.5,2023-06-06 01:42:33.763444,yr
"$77,500 /yr (est.)",77500.0,Junior Business Analyst,1,1,-1,ThinkTek LLC, VA,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,5.0,5.0,5.0,2023-06-06 01:42:35.797310,yr
"$113,978 /yr (est.)",113978.0,Business Technology Analyst - Business Intelligence,1,1,-1,U.S. Bank National Association, MN,3.8,0,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-06-06 01:42:38.885445,yr
"$79,800 /yr (est.)",79800.0,Business Intelligence Analyst,4,1,1,Columbia University, NY,4.0,0,269,10000+ Employees,1754,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,3.8,3.6,3.9,3.5,3.8,2023-06-06 01:42:40.935899,yr
"$79,800 /yr (est.)",79800.0,Business Intelligence Analyst,-1,-1,-1,Columbia University, NY,4.0,0,269,10000+ Employees,1754,College / University,Colleges & Universities,Healthcare,Unknown / Non-Applicable,3.8,3.6,3.9,3.5,3.8,2023-06-06 01:42:42.989757,yr
$42.00 /hr (est.),87360.0,IT Business Analyst,-1,-1,-1,Systems Skills,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:42:44.957264,hr
"$85,000 /yr (est.)",85000.0,Business Analyst - Remote,5,1,1,"Curation Health, LLC", MO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:42:49.570842,yr
"$81,275 /yr (est.)",81275.0,Business Intelligence Analyst,2,2,1,KORE Software,Remote,3.9,1,21,1 to 50 Employees,2002,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.7,3.5,3.8,3.5,4.0,2023-06-06 01:43:04.135978,yr
"$101,854 /yr (est.)",101854.0,Business Systems Analyst,2,1,-1,San Francisco Health Plan,Remote,3.4,1,26,201 to 500 Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD),3.2,3.5,3.5,3.2,4.0,2023-06-06 01:43:06.299492,yr
"$81,162 /yr (est.)",81162.0,Business Intelligence Analyst – Intermediate Level,4,1,1,McGee Air Services, WA,3.0,0,7,1001 to 5000 Employees,2016,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.1,3.1,2.7,2.2,2.6,2023-06-06 01:43:11.815755,yr
