Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$65.00 /hr (est.),135200.0,Lead Data Engineer / Data Architect,7,1,1,Luttechub, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:07.554817,hr
$75.00 /hr (est.),156000.0,Data Architect - 100%Remote,5,1,1,"N2 Services, Inc
3.2",Remote,3.2,1,19,51 to 200 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.3,3.0,3.4,3.3,3.7,2023-06-06 01:49:15.106405,hr
$70.42 /hr (est.),146473.6,Snowflake Data Architect,11,1,1,Sthavirsoft Inc, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:17.352321,hr
$65.32 /hr (est.),135865.6,Big Data Architect,0,2,-1,Echo IT Solutions, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:22.489889,hr
$50.00 /hr (est.),104000.0,Data Architect,-1,-1,-1,Warrior tech solutions, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:27.628261,hr
"$97,773 /yr (est.)",97773.0,Sr Data Analytics Services (DASS) Architect,5,1,1,"Zeus Industrial Products
3.7", SC,3.7,0,57,1001 to 5000 Employees,1966,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,3.2,4.4,3.4,2.9,2.9,2023-06-06 01:49:32.522738,yr
$70.00 /hr (est.),145600.0,Azure Data Architect,10,1,-1,Vigilant Technologies Inc., DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:34.640028,hr
$40.00 /hr (est.),83200.0,Voice/Data Communication Engineer,10,1,-1,Synapseb systems, DC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:42.622743,hr
"$133,250 /yr (est.)",133250.0,Senior Data Architect - Remote,8,1,1,"Healthe systems
4.0", FL,4.0,0,21,201 to 500 Employees,2002,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.7,3.6,4.3,4.0,4.4,2023-06-06 01:49:50.547276,yr
"$115,000 /yr (est.)",115000.0,Architect Consultant (Data Architect),0,1,-1,SHKtekStaff,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:49:52.785419,yr
"$127,283 /yr (est.)",127283.0,Data Architect (Remote),8,1,-1,"GovCIO
3.1", VA,3.1,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.2,3.1,3.0,3.4,2023-06-06 01:49:58.296132,yr
"$126,708 /yr (est.)",126708.0,Data Architect,0,1,-1,"The Swift Group
5.0", VA,5.0,0,4,201 to 500 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,5.0,5.0,5.0,5.0,2023-06-06 01:50:01.439590,yr
$85.00 /hr (est.),176800.0,Data Architect,-1,-1,-1,"TekisHub Consulting Services
3.9", MI,3.9,0,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,3.7,3.7,3.8,3.8,2023-06-06 01:50:03.457009,hr
"$200,000 /yr (est.)",200000.0,Data Architect,8,1,0,"Athletic Greens
4.2",Remote,4.2,1,13,201 to 500 Employees,2010,Company - Private,Beauty & Wellness,Personal Consumer Services,$100 to $500 million (USD),4.3,4.2,4.2,3.9,4.2,2023-06-06 01:50:08.731657,yr
"$120,705 /yr (est.)",120705.0,Data Architect,7,1,-1,"U.S. Bank National Association
3.8", OH,3.8,0,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-06-06 01:50:11.407166,yr
