Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$52,500 /yr (est.)",52500.0,Revenue Management Business Analyst,0,2,-1,Local Vacation Rentals,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:19:48.577531,yr
$30.00 /hr (est.),62400.0,Business Analyst,5,2,-1,Quantum Tech Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:19:55.306256,hr
"$77,500 /yr (est.)",77500.0,Business Analyst,5,1,1,Yay Lunch,Remote,4.4,1,5,201 to 500 Employees,2018,Company - Private,Catering & Food Service Contractors,Restaurants & Food Service,$1 to $5 million (USD),4.0,4.2,4.7,4.4,4.7,2023-06-05 16:20:00.256395,yr
$44.19 /hr (est.),91915.2,Business Intelligence Analyst,0,1,0,Adventist Health, CA,3.6,0,50,10000+ Employees,1973,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.4,3.3,3.7,3.1,3.5,2023-06-05 16:20:02.005708,hr
"$85,000 /yr (est.)",85000.0,Business Analyst - Remote,5,1,1,"Curation Health, LLC", MO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:20:03.914308,yr
"$79,800 /yr (est.)",79800.0,Business Intelligence Analyst,4,1,1,Columbia University, NY,4.0,0,269,10000+ Employees,1754,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,3.8,3.6,3.9,3.5,3.8,2023-06-05 16:20:14.113867,yr
"$62,500 /yr (est.)",62500.0,Business Intelligence Analyst (FT),-1,-1,-1,Danessa Myricks Beauty, NY,2.4,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,2.0,1.6,1.3,2023-06-05 16:20:18.882610,yr
"$101,800 /yr (est.)",101800.0,Business Intelligence Analyst,3,1,-1,Warner Bros. Discovery, NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.6,2023-06-05 16:20:21.527182,yr
"$85,492 /yr (est.)",85492.0,Business Intelligence Developer/Analyst,5,1,1,DLL, PA,4.1,0,54,1001 to 5000 Employees,1969,Company - Private,Investment & Asset Management,Financial Services,$25 to $100 million (USD),3.6,3.8,4.0,3.5,4.0,2023-06-05 16:20:23.445977,yr
"$75,000 /yr (est.)",75000.0,Entry Level Business Analyst,0,1,-1,Microflexinfra,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:20:25.510689,yr
