Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$65.00 /hr (est.),135200.0,Lead Data Engineer / Data Architect,7,1,1,Luttechub, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:21:42.250855,hr
$77.50 /hr (est.),161200.0,Big Data Architect,10,2,-1,zodient, NJ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 16:21:52.631245,hr
$85.00 /hr (est.),176800.0,Data Architect,10,2,-1,TekisHub Consulting Services, MI,3.9,0,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.8,3.7,3.7,3.8,3.8,2023-06-05 16:21:57.411311,hr
$72.50 /hr (est.),150800.0,CRM Data Migration Architect,10,2,1,Skill Quotient,Remote,4.2,1,7,501 to 1000 Employees,2016,Company - Public,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.6,3.9,4.1,4.1,4.2,2023-06-05 16:22:04.659576,hr
"$111,200 /yr (est.)",111200.0,Data Architect,0,1,1,Virginia Alcoholic Beverage Control Authority, VA,3.2,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.9,3.0,2.7,3.3,2023-06-05 16:22:11.384000,yr
"$126,708 /yr (est.)",126708.0,Data Architect,0,1,-1,The Swift Group, VA,5.0,0,4,201 to 500 Employees,2019,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.0,5.0,5.0,5.0,5.0,2023-06-05 16:22:14.152819,yr
"$275,500 /yr (est.)",275500.0,Principal Data Architect,-1,-1,-1,T. Rowe Price, MD,3.8,0,86,5001 to 10000 Employees,1937,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),3.7,3.7,3.8,3.4,3.7,2023-06-05 16:22:15.849354,yr
"$122,401 /yr (est.)",122401.0,Senior Data Architect,5,1,1,Centric Consulting, OH,4.8,0,24,501 to 1000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),4.3,4.1,4.8,4.6,4.6,2023-06-05 16:22:17.511950,yr
$85.00 /hr (est.),176800.0,Data Architect(Neo4J),4,2,-1,Apolis,Remote,3.7,1,27,501 to 1000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.6,3.6,3.6,3.7,2023-06-05 16:22:19.541767,hr
$65.00 /hr (est.),135200.0,Azure Data Architect,1,1,-1,Apolis, CA,3.7,0,27,501 to 1000 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.6,3.6,3.6,3.7,2023-06-05 16:22:21.345626,hr
