Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$80,489 /yr (est.)",80489.0,Software QA Specialist/Applications Tester,0,1,1,"Buchanan & Edwards
4.0","McLean, VA",4.0,0,25,201 to 500 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.9,3.8,3.6,4.0,2023-06-06 01:14:10.116585,yr
$52.50 /hr (est.),109200.0,Multi-platform Gaming Producer,7,2,1,"Thinkwell Group
3.8","Los Angeles, CA",3.8,0,22,51 to 200 Employees,2001,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$5 to $25 million (USD),4.0,3.5,3.4,3.3,3.7,2023-06-06 01:14:12.046665,hr
"$102,500 /yr (est.)",102500.0,Footwear Product Test Analyst II – Global Football,2,1,-1,"Nike
4.2","Los Angeles, CA",4.2,0,51,10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.9,4.1,3.6,3.8,2023-06-06 01:14:14.428027,yr
"$143,366 /yr (est.)",143366.0,"Software Engineer, UI Automation (Infotainment)",1,1,-1,"Tesla
3.6","Palo Alto, CA",3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,2023-06-06 01:14:16.659223,yr
"$100,000 /yr (est.)",100000.0,"Game Client Engineer (Storeno8, Extended Reality) (Contract to Hire)",6,1,1,"Walmart
3.3","San Bruno, CA",3.3,0,61,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),3.3,3.3,3.1,2.8,3.0,2023-06-06 01:14:18.838966,yr
"$93,494 /yr (est.)",93494.0,Software Test Engineer,2,1,1,"Big Fish Games, Inc.
3.5","Las Vegas, NV",3.5,0,21,201 to 500 Employees,2002,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.4,3.4,3.7,3.2,4.1,2023-06-06 01:14:21.096642,yr
"$108,651 /yr (est.)",108651.0,QA Lead,4,1,1,"2K Vegas
3.9","Las Vegas, NV",3.9,0,18,Unknown,2005,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.7,3.7,3.9,3.5,3.6,2023-06-06 01:14:23.237758,yr
"$74,580 /yr (est.)",74580.0,Senior Quality Assurance Analyst,0,1,1,"Intrepid Studios
4.6","San Diego, CA",4.6,0,14,201 to 500 Employees,2009,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),4.3,4.7,4.7,4.6,4.5,2023-06-06 01:14:25.434480,yr
"$133,120 /yr (est.)",133120.0,"Test Manager II, Diablo IV",-1,-1,-1,"Blizzard Entertainment
3.6","Irvine, CA",3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.5,2.9,3.8,2023-06-06 01:14:29.915316,yr
"$51,250 /yr (est.)",51250.0,Software Quality Assurance Lead,0,2,1,"University of Oklahoma
4.0","Norman, OK",4.0,0,133,5001 to 10000 Employees,1890,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.7,3.4,3.8,3.6,3.9,2023-06-06 01:14:32.022321,yr
