Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$38.23 /hr (est.),79518.4,"Producer, Blizzard Video",5,1,1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.5,2.9,3.8,2023-06-06 01:17:06.330545,hr
"$63,064 /yr (est.)",63064.0,Associate Producer,2,1,0,TapBlaze, CA,5.0,0,11,1 to 50 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-06-06 01:17:08.492454,yr
"$48,358 /yr (est.)",48358.0,Associate Producer,-1,-1,-1,Jacksonville Jaguars, FL,4.4,0,30,201 to 500 Employees,1993,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $25 million (USD),3.7,3.7,4.3,3.9,3.9,2023-06-06 01:17:11.340993,yr
"$48,358 /yr (est.)",48358.0,Associate Producer,-1,-1,-1,Jacksonville Jaguars, FL,4.4,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.7,4.3,3.9,3.9,2023-06-06 01:17:12.898853,yr
"$74,449 /yr (est.)",74449.0,"Associate Producer, Soccer (Freelance)",6,1,-1,CBS Sports, CT,3.9,0,4,10000+ Employees,2019,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.5,3.5,3.9,3.5,3.8,2023-06-06 01:17:14.838758,yr
"$165,000 /yr (est.)",165000.0,Technical Producer,-1,-1,-1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-06 01:17:16.907574,yr
"$55,000 /yr (est.)",55000.0,Social Producer (Freelance),2,1,-1,CBS Sports, NY,3.9,0,4,10000+ Employees,2019,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.5,3.5,3.9,3.5,3.8,2023-06-06 01:17:18.491988,yr
$37.98 /hr (est.),78998.4,"Social Media Producer, Racing TV - Freelance",3,1,1,FanDuel, KY,4.0,0,14,501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.8,3.8,4.0,3.7,3.8,2023-06-06 01:17:27.769599,hr
"$77,500 /yr (est.)",77500.0,Associate Producer,3,2,0,"Possible, Inc.", CA,3.8,0,12,201 to 500 Employees,2011,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.4,3.4,3.8,3.4,3.5,2023-06-06 01:17:30.163389,yr
"$107,500 /yr (est.)",107500.0,"Producer, Games & VR",3,1,-1,Major League Baseball, NY,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.4,3.6,2023-06-06 01:17:32.253299,yr
"$179,000 /yr (est.)",179000.0,Executive Producer (Games),10,2,1,Warner Bros. Discovery, CA,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.6,2023-06-06 01:17:34.487709,yr
"$198,050 /yr (est.)",198050.0,Executive Producer,10,2,1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-06 01:17:36.715941,yr
$40.00 /hr (est.),83200.0,Producer 1 (Gaming),3,2,-1,Cyborg Mobile,Remote,5.0,1,14,1 to 50 Employees,2009,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,5.0,4.7,5.0,5.0,4.4,2023-06-06 01:17:38.964005,hr
"$72,249 /yr (est.)",72249.0,Associate Producer (Mobile - MapleStory M),3,1,0,Nexon America Inc, CA,3.7,0,18,201 to 500 Employees,2005,Company - Public,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.5,3.0,3.8,3.4,3.8,2023-06-06 01:17:41.089516,yr
"$73,313 /yr (est.)",73313.0,Event Producer,5,1,-1,Ignited, CA,3.5,0,24,51 to 200 Employees,1999,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.1,3.2,3.5,3.2,3.3,2023-06-06 01:17:43.306102,yr
$42.48 /hr (est.),88358.4,Live Ops Associate Producer,0,1,0,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-06 01:17:48.481023,hr
"$69,159 /yr (est.)",69159.0,Game Producer,5,1,1,Konami Gaming Inc, NV,2.2,0,26,201 to 500 Employees,1997,Company - Public,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),2.2,2.7,1.9,1.8,2.5,2023-06-06 01:17:51.151284,yr
$52.50 /hr (est.),109200.0,Multi-platform Gaming Producer,7,2,1,Thinkwell Group, CA,3.8,0,22,51 to 200 Employees,2001,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$5 to $25 million (USD),4.0,3.5,3.4,3.3,3.7,2023-06-06 01:17:53.185199,hr
$28.00 /hr (est.),58240.0,Associate Content Producer,-1,-1,-1,Major League Baseball, NY,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.4,3.6,2023-06-06 01:17:55.723369,hr
"$73,551 /yr (est.)",73551.0,Game Designer,0,1,-1,GAMEVISION, IL,3.9,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,4.3,4.7,4.0,2023-06-06 01:18:04.066159,yr
"$100,000 /yr (est.)",100000.0,Cinematic Producer,3,1,1,id Software, TX,4.2,0,32,51 to 200 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.0,4.4,3.9,3.5,3.7,2023-06-06 01:18:07.076453,yr
"$57,224 /yr (est.)",57224.0,Producer,3,1,1,Carolina Panthers, NC,3.7,0,34,51 to 200 Employees,1989,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.9,2.9,3.0,3.5,3.6,2023-06-06 01:18:13.260564,yr
"$83,919 /yr (est.)",83919.0,"Lead Game Producer, Football",8,1,1,Sorare, NY,5.0,0,5,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),5.0,5.0,5.0,5.0,4.7,2023-06-06 01:18:15.303034,yr
"$93,014 /yr (est.)",93014.0,Senior Producer,5,1,1,Big Huge Games, MD,4.4,0,10,51 to 200 Employees,2013,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,3.8,4.5,4.0,4.5,2023-06-06 01:18:21.386803,yr
"$187,265 /yr (est.)",187265.0,Senior Producer,0,2,1,"Big Fish Games, Inc.", NV,3.5,0,21,201 to 500 Employees,2002,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.4,3.4,3.7,3.2,4.1,2023-06-06 01:18:23.841324,yr
"$170,650 /yr (est.)",170650.0,Senior Producer-Creator Ecosystem,7,2,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-06 01:18:36.834836,yr
"$43,516 /yr (est.)",43516.0,Social Media Content Producer,3,1,1,"Pegula Sports & Entertainment, LLC", NY,3.6,0,-1,-1,-1,-1,-1,-1,-1,2.4,2.7,3.0,2.9,3.8,2023-06-06 01:18:42.354553,yr
