Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$116,500 /yr (est.)",116500.0,"Narrative Director, Lifestyle, Consumer Direct Studios- Global Brand Creative",8,1,1,"Nike
4.2","Los Angeles, CA",4.2,0,51,10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.9,4.1,3.6,3.8,2023-06-06 01:23:03.823878,yr
"$53,338 /yr (est.)",53338.0,SOW Writer,5,1,1,"NICE
4.1","Richardson, TX",4.1,0,37,5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),4.0,3.8,4.1,3.8,3.9,2023-06-06 01:23:11.393679,yr
"$60,000 /yr (est.)",60000.0,IT Compliance Auditor (REMOTE),3,1,1,"BAI Security
4.6",Remote,4.6,1,16,1 to 50 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.5,4.3,4.6,4.6,4.6,2023-06-06 01:23:22.169789,yr
"$80,964 /yr (est.)",80964.0,Character Designer,-1,-1,-1,"Super Evil Megacorp
3.8","San Mateo, CA",3.8,0,11,51 to 200 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.8,3.3,3.9,3.7,3.7,2023-06-06 01:23:24.954743,yr
$10.00 /hr (est.),20800.0,Sports Writer/Editor - Baseball,1,2,1,"Fantom Sports Industries
4.1",Remote,4.1,1,-1,-1,-1,-1,-1,-1,-1,5.0,2.5,5.0,5.0,5.0,2023-06-06 01:23:26.748402,hr
"$80,288 /yr (est.)",80288.0,Content Specialist (Contract),3,2,1,"Whatnot
4.5","Los Angeles, CA",4.5,0,4,201 to 500 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.3,4.4,4.3,4.2,4.0,2023-06-06 01:23:33.035829,yr
"$92,812 /yr (est.)",92812.0,UX Writer II,5,1,1,"PlayStation Global
3.9","San Francisco, CA",3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.3,3.7,3.9,3.4,3.8,2023-06-06 01:23:39.528603,yr
$19.00 /hr (est.),39520.0,Seasonal - Production Team Member,-1,-1,-1,-1,"Sacramento, CA",3.7,0,21,501 to 1000 Employees,2002,Company - Private,Food & Beverage Stores,Retail & Wholesale,Unknown / Non-Applicable,3.2,3.6,3.7,3.1,3.4,2023-06-06 01:23:42.122230,hr
"$93,482 /yr (est.)",93482.0,"Art Director, Global Brand Creative",8,1,1,"Nike
4.2","Beaverton, OR",4.2,0,51,10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.9,4.1,3.6,3.8,2023-06-06 01:23:44.966201,yr
"$74,920 /yr (est.)",74920.0,Data Analyst,5,1,1,"Orion Innovation
3.9","Edison, NJ",3.9,0,30,5001 to 10000 Employees,1993,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.2,3.0,3.2,3.4,4.0,2023-06-06 01:23:55.876723,yr
$29.00 /hr (est.),60320.0,Temporary Communications Project Assistant - Remote,-1,-1,-1,-1,"Chicago, IL",3.9,0,25,10000+ Employees,1998,Company - Private,Insurance Agencies & Brokerages,Insurance,$1 to $5 million (USD),3.8,3.5,3.9,3.6,3.8,2023-06-06 01:23:58.249741,hr
"$350,000 /yr (est.)",350000.0,Chief Marketing Officer,5,1,1,"Two Barrels
3.9","Spokane, WA",3.9,0,13,1 to 50 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.6,4.1,3.9,3.6,4.2,2023-06-06 01:24:01.879870,yr
"$109,975 /yr (est.)",109975.0,"Senior Creative, Apex Legends",4,2,1,"Electronic Arts
4.0","Los Angeles, CA",4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-06 01:24:04.289966,yr
"$75,500 /yr (est.)",75500.0,Copywriter,4,1,0,"PepsiCo
4.0","Plano, TX",4.0,0,58,10000+ Employees,1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.9,3.9,3.6,3.5,2023-06-06 01:24:06.441629,yr
