Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$65,000 /yr (est.)",65000.0,Level Artist (Unreal),0,2,1,Serenity Forge, CO,2.9,0,-1,-1,-1,-1,-1,-1,-1,2.4,1.0,2.8,2.1,2.8,2023-06-06 01:29:16.770799,yr
"$145,000 /yr (est.)",145000.0,Lead Game Designer (Mobile),5,2,1,Bethesda Game Studios, MD,3.5,0,-1,-1,-1,-1,-1,-1,-1,2.4,3.3,3.6,2.3,3.8,2023-06-06 01:29:19.830995,yr
"$129,368 /yr (est.)",129368.0,"Game Artist, R&D Tech Lab",5,2,1,Netflix, CA,4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-06-06 01:29:28.961343,yr
"$50,573 /yr (est.)",50573.0,3D Artist,3,1,-1,Stardock, MI,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.6,4.1,3.5,4.2,2023-06-06 01:29:30.918912,yr
$52.00 /hr (est.),108160.0,Product Designer (Mid-Level Contract-to-hire),0,1,0,Sleeper,Nevada,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-06 01:29:33.970004,hr
"$110,000 /yr (est.)",110000.0,UX/UI Designer,3,2,-1,MANTICORE GAMES, CA,3.3,0,7,51 to 200 Employees,2016,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.4,3.2,2.7,3.4,2023-06-06 01:29:40.375404,yr
"$5,000 /mo (est.)",60000.0,UI/UX Designer,2,2,-1,"Hogwarts Capital, LLC", NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 01:29:42.492925,mo
"$202,500 /yr (est.)",202500.0,VP of Creative Operations,5,1,1,Brilliant,Remote,4.2,1,14,51 to 200 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.2,4.2,4.3,2023-06-06 01:29:49.907050,yr
$31.15 /hr (est.),64792.0,"Amazon Robotics - Technical Artist Co-op - July to December 2023, Virtual Systems",0,1,-1,Amazon.com Services LLC, MA,3.8,0,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-06-06 01:29:51.993154,hr
"$92,855 /yr (est.)",92855.0,"Senior Level Designer, Games Studio",0,1,1,Netflix, CA,4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-06-06 01:29:53.975414,yr
"$67,635 /yr (est.)",67635.0,Experience Designer I/II - College Football,0,1,-1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-06 01:29:56.016999,yr
"$140,000 /yr (est.)",140000.0,"Senior Open World Level Designer, P13",5,2,1,"Cryptic Studios, Inc.", CA,3.4,0,23,51 to 200 Employees,2000,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.1,3.1,3.7,3.0,4.0,2023-06-06 01:30:04.094681,yr
"$68,161 /yr (est.)",68161.0,3D Effects Artist (Mid Level),2,1,1,Pure Imagination Studios, NY,3.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.6,3.2,3.0,3.4,2023-06-06 01:30:06.386261,yr
"$135,000 /yr (est.)",135000.0,Product Designer,4,2,1,Steady Platform,Remote,3.9,1,6,51 to 200 Employees,2017,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,4.0,4.1,4.0,4.0,2023-06-06 01:30:09.353484,yr
"$175,000 /yr (est.)",175000.0,Level Designer (Unannounced AAA Game),-1,-1,-1,Yotta Games, CA,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.3,2.6,2.5,2.4,2023-06-06 01:30:11.660478,yr
"$75,000 /yr (est.)",75000.0,Associate Quest Designer,0,2,0,Bethesda Game Studios, MD,3.5,0,-1,-1,-1,-1,-1,-1,-1,2.4,3.3,3.6,2.3,3.8,2023-06-06 01:30:14.512752,yr
$37.50 /hr (est.),78000.0,Creative Production Artist,0,2,-1,Midnight Oil, CA,2.8,0,45,201 to 500 Employees,1978,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),2.6,3.0,3.0,2.4,2.9,2023-06-06 01:30:24.180218,hr
"$76,264 /yr (est.)",76264.0,Principal Level Designer,5,2,0,ZeniMax Online Studios, MD,4.4,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,4.6,4.0,4.3,2023-06-06 01:30:26.571830,yr
$42.48 /hr (est.),88358.4,Sound Designer - Overwatch 2,0,1,-1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.5,2.9,3.8,2023-06-06 01:30:33.016098,hr
$22.00 /hr (est.),45760.0,Corporate Communications - Assistant,3,2,0,Creative Artists Agency (CAA), CA,3.8,0,48,1001 to 5000 Employees,1975,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$500 million to $1 billion (USD),3.6,2.9,3.6,3.4,2.8,2023-06-06 01:30:35.162468,hr
"$57,235 /yr (est.)",57235.0,Level Designer - Full Time,1,1,1,Filament Games, WI,4.9,0,18,51 to 200 Employees,2005,Company - Private,Primary & Secondary Schools,Education,$1 to $5 million (USD),3.9,3.9,4.5,4.6,4.9,2023-06-06 01:30:37.435023,yr
