Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$74,474 /yr (est.)",74474.0,Sr Social Producer (Freelance),-1,-1,-1,"CBS Sports
4.0","New York, NY",4.0,0,4,10000+ Employees,2019,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.5,3.5,3.9,3.5,3.8,2023-06-05 16:03:17.163550,yr
"$250,000 /yr (est.)",250000.0,Executive Producer,-1,-1,-1,"Bad Robot Games
5.0","Santa Monica, CA",5.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,4.0,5.0,5.0,4.0,2023-06-05 16:03:18.992520,yr
"$165,000 /yr (est.)",165000.0,Technical Producer,-1,-1,-1,"Epic Games
4.2","Cary, NC",4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-05 16:03:21.506369,yr
"$52,126 /yr (est.)",52126.0,Social Media Producer,0,1,1,"Utah Jazz
4.0","Salt Lake City, UT",4.0,0,44,51 to 200 Employees,1979,Franchise,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.0,3.8,4.1,3.8,3.8,2023-06-05 16:03:23.698370,yr
"$77,500 /yr (est.)",77500.0,Associate Producer,-1,-1,-1,"Possible, Inc.
3.8","Los Angeles, CA",3.8,0,12,201 to 500 Employees,2011,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.4,3.4,3.8,3.4,3.5,2023-06-05 16:03:27.820378,yr
"$123,500 /yr (est.)",123500.0,Game Producer,5,1,1,"IGT
3.8","Reno, NV",3.8,0,42,10000+ Employees,1981,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.5,3.4,3.7,3.4,3.7,2023-06-05 16:03:29.851476,yr
"$107,500 /yr (est.)",107500.0,-1,-1,-1,-1,-1,-1,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.4,3.6,2023-06-05 16:03:31.611610,yr
"$63,064 /yr (est.)",63064.0,Associate Producer,2,1,0,"TapBlaze
5.0","Los Angeles, CA",5.0,0,11,1 to 50 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-06-05 16:03:36.225630,yr
$37.98 /hr (est.),78998.4,"Social Media Producer, Racing TV - Freelance",-1,-1,-1,"FanDuel
4.0","Lexington, KY",4.0,0,14,501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.8,3.8,4.0,3.7,3.8,2023-06-05 16:03:38.925273,hr
"$179,000 /yr (est.)",179000.0,Executive Producer (Games),-1,-1,-1,"Warner Bros. Discovery
3.8","Burbank, CA",3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.6,2023-06-05 16:03:43.864697,yr
"$73,313 /yr (est.)",73313.0,Event Producer,5,1,-1,"Ignited
3.5","Los Angeles, CA",3.5,0,24,51 to 200 Employees,1999,Company - Private,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),3.1,3.2,3.5,3.2,3.3,2023-06-05 16:03:45.594131,yr
$40.00 /hr (est.),83200.0,Producer 1 (Gaming),3,2,-1,"Cyborg Mobile
5.0",Remote,5.0,1,14,1 to 50 Employees,2009,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,5.0,4.7,5.0,5.0,4.4,2023-06-05 16:03:47.570197,hr
"$72,249 /yr (est.)",72249.0,Associate Producer (Mobile - MapleStory M),-1,-1,-1,"Nexon America Inc
3.7","El Segundo, CA",3.7,0,18,201 to 500 Employees,2005,Company - Public,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.5,3.0,3.8,3.4,3.8,2023-06-05 16:03:49.649028,yr
"$83,919 /yr (est.)",83919.0,"Lead Game Producer, Football",8,1,1,"Sorare
5.0","New York, NY",5.0,0,5,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,$100 to $500 million (USD),5.0,5.0,5.0,5.0,4.7,2023-06-05 16:03:51.917549,yr
"$69,159 /yr (est.)",69159.0,Game Producer,5,1,1,"Konami Gaming Inc
2.2","Las Vegas, NV",2.2,0,26,201 to 500 Employees,1997,Company - Public,Machinery Manufacturing,Manufacturing,$25 to $100 million (USD),2.2,2.7,1.9,1.8,2.5,2023-06-05 16:03:54.090937,yr
"$57,184 /yr (est.)",57184.0,Producer,-1,-1,-1,"Carolina Panthers
3.7","Charlotte, NC",3.7,0,34,51 to 200 Employees,1989,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.9,2.9,3.0,3.5,3.6,2023-06-05 16:04:07.131952,yr
"$48,358 /yr (est.)",48358.0,-1,-1,-1,-1,-1,-1,4.4,0,30,201 to 500 Employees,1993,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $25 million (USD),3.7,3.7,4.3,3.9,3.9,2023-06-05 16:04:08.853420,yr
$42.48 /hr (est.),88358.4,-1,-1,-1,-1,-1,"Santa Monica, CA",3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-05 16:04:31.233876,hr
"$65,000 /yr (est.)",65000.0,Multi-platform Gaming Producer,-1,-1,-1,-1,"Los Angeles, CA",3.8,0,18,1 to 50 Employees,2005,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-06-05 16:04:35.681369,yr
"$73,551 /yr (est.)",73551.0,-1,-1,-1,-1,-1,"Naperville, IL",3.9,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,4.3,4.7,4.0,2023-06-05 16:04:38.822875,yr
"$57,670 /yr (est.)",57670.0,Cinematic Producer,-1,-1,-1,"id Software
4.2","Dallas, TX",4.2,0,32,51 to 200 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.0,4.4,3.9,3.5,3.7,2023-06-05 16:04:43.457224,yr
$28.00 /hr (est.),58240.0,Associate Content Producer,-1,-1,-1,-1,"New York, NY",3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.4,3.6,2023-06-05 16:05:00.791209,hr
