Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$135,150 /yr (est.)",135150.0,-1,-1,-1,-1,-1,-1,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:27.797827,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:41.773922,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:43.235771,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:44.601087,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:45.943216,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:47.284085,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:48.608296,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:49.941897,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:51.276702,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:52.648080,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:53.939491,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:55.242132,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:56.573572,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:57.926884,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:06:59.258329,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:07:00.619609,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:07:01.947417,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:07:03.304486,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:07:04.642093,yr
"$99,000 /yr (est.)",99000.0,Writer,-1,-1,-1,"Tencent
4.0","Irvine, CA",4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 16:07:06.006891,yr
