Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$98,280 /yr (est.)",98280.0,Video Game Level Designer,-1,-1,-1,Cold Symmetry,Remote,2.9,1,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:09:49.744844,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:09:52.336093,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:09:53.885972,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:09:55.373651,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:09:56.897293,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:09:58.415427,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:10:00.056744,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:10:01.594243,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:10:03.170047,yr
"$98,280 /yr (est.)",98280.0,"Technical UI Designer, Unreal Engine (Digital D&D)",-1,-1,-1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.6,2.8,2.9,2.4,3.0,2023-06-05 16:10:04.639831,yr
