Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$123,500 /yr (est.)",123500.0,Optics Application Engineer,-1,-1,-1,"Applied Materials
4.1", CA,4.1,0,56,10000+ Employees,1967,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.8,3.9,3.6,3.6,2023-06-06 00:22:47.056936,yr
"$150,000 /yr (est.)",150000.0,Lidar System Engineer,8,1,-1,"Luminar
3.8", MI,3.8,0,11,201 to 500 Employees,2012,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.0,4.2,3.4,3.1,3.4,2023-06-06 00:22:53.397813,yr
"$170,000 /yr (est.)",170000.0,Environment Artist,4,1,-1,"Zoox
4.2", CA,4.2,0,9,1001 to 5000 Employees,2014,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,3.9,4.0,3.5,3.5,2023-06-06 00:22:55.890978,yr
"$119,626 /yr (est.)",119626.0,Software Engineer - Radar,2,1,-1,Recogni, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:22:57.940777,yr
$57.50 /hr (est.),119600.0,Build Software Engineer,8,1,-1,"Excelon Solutions
4.8", CA,4.8,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.3,4.0,4.0,4.0,2023-06-06 00:23:02.659352,hr
"$118,750 /yr (est.)",118750.0,Application Engineer III (E3),-1,-1,-1,"Applied Materials
4.1", AL,4.1,0,56,10000+ Employees,1967,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.8,3.9,3.6,3.6,2023-06-06 00:23:28.963450,yr
"$127,238 /yr (est.)",127238.0,Data Engineer,-1,-1,-1,"Luminar
3.8", CA,3.8,0,11,201 to 500 Employees,2012,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.0,4.2,3.4,3.1,3.4,2023-06-06 00:23:32.340438,yr
"$95,650 /yr (est.)",95650.0,"Autonomous System Test Engineer, Mid",-1,-1,-1,"Booz Allen Hamilton
4.2", CA,4.2,0,109,10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),4.1,3.9,4.3,3.9,4.3,2023-06-06 00:23:34.992117,yr
"$69,889 /yr (est.)",69889.0,ADAS Vehicle Validation Engineer,2,2,0,"Visteon Corporation
3.6", MI,3.6,0,23,10000+ Employees,2000,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.6,3.5,3.3,3.1,3.0,2023-06-06 00:23:37.640618,yr
"$84,550 /yr (est.)",84550.0,Diagnostic Software Engineer,-1,-1,-1,"PACCAR
3.6", TX,3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.4,3.2,3.0,3.6,2023-06-06 00:23:40.253057,yr
