Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$64,804 /yr (est.)",64804.0,Clinical Data Analyst Sr. (Remote),2,1,-1,BayCare, FL,4.0,0,26,10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),4.0,3.7,4.0,3.5,3.7,2023-06-06 00:27:38.234901,yr
"$85,000 /yr (est.)",85000.0,Senior Data Analyst,3,2,-1,Alivi,Remote,4.1,1,11,51 to 200 Employees,2012,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.1,4.0,4.1,4.0,3.9,2023-06-06 00:27:45.935088,yr
"$85,000 /yr (est.)",85000.0,Senior Data Analyst,3,2,-1,Alivi,Remote,4.1,1,11,51 to 200 Employees,2012,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,4.1,4.0,4.1,4.0,3.9,2023-06-06 00:27:47.963493,yr
"$132,635 /yr (est.)",132635.0,Data Science Analyst III (Geo Spatial) Environmental Medicine & Public Health,2,2,0,Mount Sinai, NY,3.5,0,10,10000+ Employees,2013,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.5,3.4,3.3,2.9,3.3,2023-06-06 00:27:50.290282,yr
"$52,480 /yr (est.)",52480.0,TASI HEALTHCARE DATA SCIENTIST ASSOCIATE – ID# 223227,4,1,0,Research Corporation of the University of Hawaii, HI,4.0,0,116,10000+ Employees,1907,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),3.7,3.6,4.2,3.5,4.0,2023-06-06 00:27:58.781097,yr
"$104,500 /yr (est.)",104500.0,Clinical Data Analyst - AI - Remote,4,1,1,Tunnell Consulting,Remote,2.9,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:28:00.999326,yr
"$83,648 /yr (est.)",83648.0,Senior Clinical Data Analyst,2,1,1,Alpha Stats, NJ,4.0,0,-1,-1,-1,-1,-1,-1,-1,2.0,2.0,3.0,4.0,4.0,2023-06-06 00:28:05.113707,yr
"$121,500 /yr (est.)",121500.0,"Senior Clinical Data Analyst, Clinical Data Management",5,1,1,Edwards Lifesciences,California,4.0,0,65,10000+ Employees,1958,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.9,4.1,3.5,3.5,2023-06-06 00:28:08.178003,yr
"$156,750 /yr (est.)",156750.0,"Data Scientist, Continuous Tomography Algorithms",-1,-1,-1,Chan Zuckerberg Initiative, CA,3.8,0,8,201 to 500 Employees,2015,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.3,4.1,3.6,3.2,4.3,2023-06-06 00:28:10.469096,yr
"$84,230 /yr (est.)",84230.0,"Data Analyst, Senior",0,1,1,McLean Hospital(MCL), MA,3.6,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),3.4,2.7,3.5,2.9,3.1,2023-06-06 00:28:12.266673,yr
