Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$170,000 /yr (est.)",170000.0,Research Engineer,0,1,1,PlusAI, CA,4.1,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.0,5.0,5.0,4.0,2023-06-05 15:43:29.956935,yr
"$81,813 /yr (est.)",81813.0,Failure Analysis Engineer,0,1,-1,Analog Devices, MA,4.1,0,58,10000+ Employees,1965,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.0,3.6,3.9,2023-06-05 15:43:33.369007,yr
"$84,960 /yr (est.)",84960.0,"Development Engineer, Telematics Testing and Validation",0,1,0,Mercedes-Benz R&D North America, CA,4.2,0,137,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,4.0,3.9,3.7,4.0,2023-06-05 15:43:35.444882,yr
"$119,626 /yr (est.)",119626.0,Software Engineer - Radar,2,1,-1,Recogni, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:43:37.545653,yr
"$84,550 /yr (est.)",84550.0,Diagnostic Software Engineer,-1,-1,-1,PACCAR, TX,3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.4,3.2,3.0,3.6,2023-06-05 15:43:42.189023,yr
"$232,500 /yr (est.)",232500.0,Application Software Engineer,-1,-1,-1,Applied Intuition, CA,3.8,0,6,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.4,3.9,4.2,4.1,3.0,2023-06-05 15:43:44.288011,yr
$30.00 /hr (est.),62400.0,Reliability Test Engineer,-1,-1,-1,Kett Engineering Corporation, CA,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.4,2.1,2.6,2.2,3.2,2023-06-05 15:43:49.781768,hr
"$200,000 /yr (est.)",200000.0,"Tech Lead, Software Engineer, Autonomous Car Startup",8,1,1,Recruiting From Scratch,Queen Anne,3.9,0,4,1 to 50 Employees,2019,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$1 to $5 million (USD),4.0,3.9,3.6,3.5,3.9,2023-06-05 15:43:52.324679,yr
$57.50 /hr (est.),119600.0,Build Software Engineer,-1,-1,-1,Excelon Solutions, CA,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.3,4.0,4.0,4.0,2023-06-05 15:43:54.365027,hr
$31.13 /hr (est.),64750.4,Autonomous Vehicle Operations Specialist,5,1,0,Aurora Innovation, TX,3.9,0,6,201 to 500 Employees,2017,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,4.2,4.0,3.9,3.7,2023-06-05 15:44:02.733915,hr
