Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:14.624753,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:19.126832,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:23.552670,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:28.076259,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:32.501145,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:36.990215,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:41.354946,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:45.792443,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:50.253275,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:54.569325,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:45:59.036085,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:46:03.452764,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:46:07.913902,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:46:12.309814,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:46:16.728142,yr
"$88,000 /yr (est.)",88000.0,Senior Data Analyst - Healthcare,-1,-1,-1,Positive Psyche,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.6,3.9,4.1,3.9,4.1,2023-06-05 15:46:21.161348,yr
