Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$43,500 /yr (est.)",43500.0,Bookkeeper/Accountant - Quickbooks Online,3,2,1,Zacharin Consulting,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:33:45.162420,yr
$10.00 /hr (est.),20800.0,Appointment Setter,-1,-1,-1,Blue Rabbit Digital LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:33:56.772662,hr
$19.50 /hr (est.),40560.0,Customer Support Specialist (Temp),-1,-1,-1,"Carnegie Learning
3.7",Pennsylvania,3.7,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.4,3.5,3.6,3.3,4.1,2023-06-06 00:34:01.501526,hr
$20.00 /hr (est.),41600.0,Customer Service Specialist-FULLY REMOTE,-1,-1,-1,Slavic Integrated Adminstration Inc, AZ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:34:03.690415,hr
"$65,000 /yr (est.)",65000.0,Customer Concierge,1,1,-1,GreenCourt Legal Technologies,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:34:08.404071,yr
"$75,000 /yr (est.)",75000.0,Wordpress Developer,2,1,1,"SiteCare
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,5.0,4.0,3.0,2023-06-06 00:34:13.547163,yr
$12.50 /hr (est.),26000.0,Customer Support Associate,1,2,1,"Pink Callers
2.0",Remote,2.0,1,-1,-1,-1,-1,-1,-1,-1,1.7,1.3,3.7,2.4,1.7,2023-06-06 00:34:19.079694,hr
$17.63 /hr (est.),36670.4,Care Coordinator I - Workers' Compensation,0,1,0,"One Call
3.5",Remote,3.5,1,30,1001 to 5000 Employees,1993,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.2,3.3,3.5,3.2,3.6,2023-06-06 00:34:25.209606,hr
$19.00 /hr (est.),39520.0,BILINGUAL - Part Time - Remote Customer Service Rep - Emergency Roadside Service,0,1,1,"AAA The Auto Club Group
3.4",United States,3.4,0,121,10000+ Employees,1902,Company - Private,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),3.4,3.5,3.6,3.1,3.3,2023-06-06 00:34:30.620103,hr
$12.50 /hr (est.),26000.0,Home Office Assistant,-1,-1,-1,"Pink Callers
2.0",Remote,2.0,1,-1,-1,-1,-1,-1,-1,-1,1.7,1.3,3.7,2.4,1.7,2023-06-06 00:34:33.159871,hr
