Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$74,627 /yr (est.)",74627.0,Financial Systems Analyst,5,1,1,"Mariani Enterprises, LLC", IL,3.5,0,65,1001 to 5000 Employees,1958,Company - Private,Floral Nursery,Agriculture,Unknown / Non-Applicable,3.5,2.2,2.9,3.5,2.1,2023-06-06 00:40:23.562959,yr
"$61,628 /yr (est.)",61628.0,Financial and Database Specialist,0,1,1,Region 4 Education Service Center, TX,3.8,0,56,201 to 500 Employees,1967,Government,Education & Training Services,Education,$25 to $100 million (USD),3.0,4.1,3.8,3.3,3.8,2023-06-06 00:40:25.831223,yr
"$61,628 /yr (est.)",61628.0,Financial and Database Specialist,-1,-1,-1,Region 4 Education Service Center, TX,3.8,0,56,201 to 500 Employees,1967,Government,Education & Training Services,Education,$25 to $100 million (USD),3.0,4.1,3.8,3.3,3.8,2023-06-06 00:40:27.784099,yr
"$72,000 /yr (est.)",72000.0,Banking Financial Analyst,3,1,-1,Suncoast Credit Union, FL,4.1,0,89,1001 to 5000 Employees,1934,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD),4.1,4.0,4.1,3.8,3.8,2023-06-06 00:40:29.906749,yr
"$122,500 /yr (est.)",122500.0,Investment Banking - Financial Sponsors- Infrastructure - Analyst,0,2,1,"JPMorgan Chase Bank, N.A.", NY,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-06 00:40:31.900619,yr
"$123,711 /yr (est.)",123711.0,Vendor Risk Management Analyst - USDS,5,1,1,TikTok, CA,3.5,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,2023-06-06 00:40:33.998253,yr
"$125,000 /yr (est.)",125000.0,Financial Project Manager,10,1,1,Blu Omega,Remote,4.6,1,3,51 to 200 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,4.5,4.8,4.9,4.8,2023-06-06 00:40:49.240334,yr
$62.98 /hr (est.),130998.4,"Data Solutions Architect I, Financial Business Services",-1,-1,-1,Sutter Health, CA,3.7,0,42,10000+ Employees,1981,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),3.5,3.8,3.7,3.1,3.5,2023-06-06 00:40:51.370375,hr
"$103,764 /yr (est.)",103764.0,"IT - Financial Services Audit, SOC - Technology Risk - Manager - CS - Location OPEN",-1,-1,-1,EY, VA,3.9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:40:55.713198,yr
"$127,122 /yr (est.)",127122.0,Quantitative Researcher,-1,-1,-1,Arrowstreet Capital, MA,4.0,0,24,Unknown,1999,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.5,4.0,3.8,3.7,3.6,2023-06-06 00:40:59.822648,yr
"$87,850 /yr (est.)",87850.0,Cybersecurity Analyst IT,-1,-1,-1,North Texas Municipal Water, TX,3.3,0,24,Unknown,1999,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.0,3.8,3.0,3.1,3.3,2023-06-06 00:41:01.983285,yr
$43.60 /hr (est.),90688.0,Business System Analyst (AFS) Automated Financial Systems,0,2,1,accurogroup.com, MA,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.2,2.9,3.1,3.2,3.3,2023-06-06 00:41:08.754168,hr
$33.50 /hr (est.),69680.0,Financial Systems Analyst - TEMP ( Remote ),4,1,-1,Tailored Shared Services,Remote,3.4,1,50,10000+ Employees,1973,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,Unknown / Non-Applicable,3.3,3.1,3.3,3.1,3.1,2023-06-06 00:41:11.847786,hr
"$64,947 /yr (est.)",64947.0,IT FINANCIAL ANALYST,4,1,-1,"Fulton County, GA",United States,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.3,3.3,3.1,3.2,2023-06-06 00:41:14.114240,yr
"$64,947 /yr (est.)",64947.0,IT FINANCIAL ANALYST,0,1,0,"Fulton County, GA",United States,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.3,3.3,3.1,3.2,2023-06-06 00:41:17.037530,yr
"$210,368 /yr (est.)",210368.0,Deputy Director of Financial Technology & Access,5,1,1,US National Credit Union Administration, VA,3.4,0,53,1001 to 5000 Employees,1970,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.1,3.7,3.1,2.9,3.2,2023-06-06 00:41:20.600128,yr
"$100,550 /yr (est.)",100550.0,Sr. Technology Risk & Compliance Analyst,0,1,1,Guaranteed Rate,Remote,3.0,1,23,5001 to 10000 Employees,2000,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD),2.8,3.0,3.0,2.7,3.2,2023-06-06 00:41:23.302349,yr
"$102,302 /yr (est.)",102302.0,"Scrum Master - Asset Management Technology, FAMS Investment Team",5,2,1,Fidelity Investments, MA,4.3,0,77,10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD),4.2,4.1,4.4,4.0,4.2,2023-06-06 00:41:25.905172,yr
"$190,000 /yr (est.)",190000.0,"Business Intelligence Engineer, Finance",0,2,1,Notion, CA,4.8,0,7,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.8,4.8,4.7,4.4,2023-06-06 00:41:28.389116,yr
"$56,709 /yr (est.)",56709.0,Financial Analyst I,4,2,1,WELLDYNE, FL,3.3,0,33,501 to 1000 Employees,1990,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,2.8,3.0,2.9,2.9,3.3,2023-06-06 00:41:30.576716,yr
$15.50 /hr (est.),32240.0,Financial Support Specialist (Remote),0,2,1,ACS Technologies, SC,4.1,0,45,201 to 500 Employees,1978,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.5,3.9,4.4,3.9,4.6,2023-06-06 00:41:32.735516,hr
"$133,446 /yr (est.)",133446.0,"Software QA Engineer, Financial Services",5,1,-1,Tesla, WA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,2023-06-06 00:41:34.981053,yr
"$70,000 /yr (est.)",70000.0,Financial Crimes Training Analyst,3,1,0,MUFG, TX,3.5,0,159,10000+ Employees,1864,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.2,3.3,3.5,3.2,3.5,2023-06-06 00:41:37.276103,yr
"$46,810 /yr (est.)",46810.0,"Information Technology System Analyst-Student Services, Financial Aid & Student Accounts",5,1,0,Southwest Tech, WI,3.4,0,56,201 to 500 Employees,1967,College / University,Colleges & Universities,Education,$5 to $25 million (USD),2.8,3.8,3.5,3.3,3.6,2023-06-06 00:41:39.641162,yr
$85.00 /hr (est.),176800.0,CAPPS PeopleSoft Financial Functional Analyst,0,2,1,IntegrateUs Services, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:41:41.954118,hr
$65.00 /hr (est.),135200.0,Business Data Analyst Compliance,11,2,-1,Ora Apps,Remote,4.4,1,-1,-1,-1,-1,-1,-1,-1,4.7,2.7,4.0,2.8,3.5,2023-06-06 00:41:54.628801,hr
"$96,500 /yr (est.)",96500.0,PeopleSoft Financial Systems Senior Business Analyst,5,1,1,Chapman University, CA,4.0,0,162,1001 to 5000 Employees,1861,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.3,3.0,3.7,3.5,3.7,2023-06-06 00:41:58.132391,yr
$107.50 /hr (est.),223600.0,PeopleSoft Financial Consultant,0,2,1,Techsara solutions, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:42:00.668354,hr
$62.50 /hr (est.),130000.0,SQL Data Analyst (Finance),11,2,1,CFO's Domain Client, CA,5.0,0,4,1 to 50 Employees,2019,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,5.0,4.9,5.0,5.0,5.0,2023-06-06 00:42:05.823762,hr
