Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$113,750 /yr (est.)",113750.0,Software Engineer (Back End) Post Visit (Hybrid),-1,-1,-1,-1,"Austin, TX",4.3,0,14,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.0,4.2,4.2,4.0,4.3,2023-06-06 00:46:29.995360,yr
"$91,055 /yr (est.)",91055.0,Contract - Senior Accountant,-1,-1,-1,"Willow Innovations
4.4","Mountain View, CA",4.4,0,9,51 to 200 Employees,2014,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.2,3.7,4.2,4.3,4.2,2023-06-06 00:46:33.267610,yr
$20.00 /hr (est.),41600.0,Customer Service Representative,0,1,-1,OneBridge Benefits,"Buffalo, NY",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-06 00:46:35.417252,hr
"$50,375 /yr (est.)",50375.0,Production Technical Operator,0,1,1,"Celestica
3.9","Portland, OR",3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-06 00:46:40.586946,yr
"$79,250 /yr (est.)",79250.0,Recruitment Consultant,3,1,0,"Storm2
2.8","New York, NY",2.8,0,4,201 to 500 Employees,2019,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,3.0,2.9,2.8,2.6,2.5,2023-06-06 00:46:42.701959,yr
"$144,732 /yr (est.)",144732.0,System Engineer Architecture - Network,-1,-1,-1,"Celestica
3.9","San Jose, CA",3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-06 00:46:44.924657,yr
"$58,701 /yr (est.)",58701.0,UX/UI Designer,-1,-1,-1,-1,"Eugene, OR",3.6,0,9,1 to 50 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),2.6,3.6,4.1,3.2,3.2,2023-06-06 00:46:46.619078,yr
"$105,000 /yr (est.)",105000.0,Lead Technical Support Engineer,-1,-1,-1,"StackHawk
4.3","Denver, CO",4.3,0,4,1 to 50 Employees,2019,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.3,4.5,4.2,4.3,4.6,2023-06-06 00:46:49.544726,yr
"$194,000 /yr (est.)",194000.0,"Director, Project Management Office",-1,-1,-1,"Celestica
3.9",Texas,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-06 00:46:51.317718,yr
"$210,000 /yr (est.)",210000.0,Vice President of Product & Technology (Remote),10,1,1,"Plume
3.9",Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-06 00:46:56.649040,yr
