Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$15.00 /hr (est.),31200.0,Remote Fraud Support Call Center Representative (CCC),-1,-1,-1,"Jack Henry and Associates, Inc.", KY,3.9,0,47,5001 to 10000 Employees,1976,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.6,3.6,3.9,3.6,3.9,2023-06-05 15:47:51.668799,hr
"$43,500 /yr (est.)",43500.0,Bookkeeper/Accountant - Quickbooks Online,3,2,1,Zacharin Consulting,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:48:01.453842,yr
$10.00 /hr (est.),20800.0,Appointment Setter,2,2,-1,Blue Rabbit Digital LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:48:11.904432,hr
$19.50 /hr (est.),40560.0,Customer Support Specialist (Temp),1,1,1,Carnegie Learning,Pennsylvania,3.6,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.4,3.5,3.6,3.3,4.1,2023-06-05 15:48:16.497662,hr
$26.00 /hr (est.),54080.0,Accounts Payable Specialist,0,2,1,"Verve Cloud, Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:48:20.757699,hr
"$65,000 /yr (est.)",65000.0,Customer Concierge,1,1,-1,GreenCourt Legal Technologies,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:48:25.392860,yr
$17.63 /hr (est.),36670.4,Care Coordinator I - Workers' Compensation,0,1,0,One Call,Remote,3.5,1,30,1001 to 5000 Employees,1993,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.2,3.3,3.5,3.2,3.6,2023-06-05 15:48:30.099775,hr
$15.50 /hr (est.),32240.0,Medical Biller & Insurance Verification - Mental Healthcare Field,0,2,0,ARM VA Services,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:48:31.917232,hr
$16.50 /hr (est.),34320.0,Part Time - Ecommerce Analyst,0,1,0,TELUS International,Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,3.4,3.3,3.6,3.3,3.6,2023-06-05 15:48:40.368153,hr
$12.50 /hr (est.),26000.0,Customer Support Associate,1,2,1,Pink Callers,Remote,2.0,1,-1,-1,-1,-1,-1,-1,-1,1.7,1.3,3.7,2.4,1.7,2023-06-05 15:48:43.087295,hr
$15.50 /hr (est.),32240.0,Healthcare Customer Service Representative,0,2,1,TTEC, CA,3.6,0,41,10000+ Employees,1982,Company - Public,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),3.5,3.3,3.6,3.3,3.5,2023-06-05 15:48:48.870184,hr
"$42,500 /yr (est.)",42500.0,Project Manager (Remote),0,1,-1,FMG Suite,Remote,4.1,1,12,201 to 500 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.4,3.4,4.4,3.9,4.3,2023-06-05 15:48:50.798129,yr
$25.00 /hr (est.),52000.0,Administrative Assistant,0,2,0,VAUSA, MO,4.6,0,5,51 to 200 Employees,2018,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.3,4.1,4.6,4.5,4.8,2023-06-05 15:48:52.821410,hr
"$106,080 /yr (est.)",106080.0,Visual Designer,0,1,-1,U.S. Bank National Association,Illinois,3.8,0,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-06-05 15:48:54.844809,yr
"$106,080 /yr (est.)",106080.0,Customer Success Program Manager (Pendo),5,1,1,U.S. Bank National Association,Remote,3.8,1,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-06-05 15:48:56.847259,yr
