Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$123,711 /yr (est.)",123711.0,Vendor Risk Management Analyst - USDS,5,1,1,TikTok, CA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,2023-06-05 15:49:40.134399,yr
"$72,841 /yr (est.)",72841.0,Financial Applications Analyst - Remote Opportunity,5,1,-1,University of Maryland Faculty Physicians, MD,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.4,3.4,2.8,3.2,2023-06-05 15:49:45.588213,yr
"$122,500 /yr (est.)",122500.0,Investment Banking - Financial Sponsors- Infrastructure - Analyst,0,2,1,"JPMorgan Chase Bank, N.A.", NY,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-05 15:49:48.173850,yr
"$103,764 /yr (est.)",103764.0,"IT - Financial Services Audit, SOC - Technology Risk - Manager - CS - Location OPEN",5,1,-1,EY, VA,3.9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:49:52.690484,yr
"$127,122 /yr (est.)",127122.0,Quantitative Researcher,0,2,-1,Arrowstreet Capital, MA,4.0,0,24,Unknown,1999,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.5,4.0,3.8,3.7,3.6,2023-06-05 15:49:56.423393,yr
"$55,000 /yr (est.)",55000.0,Financial Administrative Assistant (SharePoint),4,1,1,"Earth Resources Technology, Inc", MD,4.6,0,30,201 to 500 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4.0,4.1,4.4,4.4,4.3,2023-06-05 15:50:00.581118,yr
"$102,302 /yr (est.)",102302.0,"Scrum Master - Asset Management Technology, FAMS Investment Team",5,2,1,Fidelity Investments, MA,4.3,0,77,10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD),4.2,4.1,4.4,4.0,4.2,2023-06-05 15:50:02.487953,yr
"$125,000 /yr (est.)",125000.0,Financial Project Manager,10,1,1,Blu Omega,Remote,4.6,1,3,51 to 200 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.8,4.5,4.8,4.9,4.8,2023-06-05 15:50:04.401445,yr
"$79,610 /yr (est.)",79610.0,Financial Systems Analyst,5,1,1,Aventura Mall, FL,3.4,0,56,1001 to 5000 Employees,1967,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),3.2,3.3,3.3,3.1,3.0,2023-06-05 15:50:06.354031,yr
$62.98 /hr (est.),130998.4,"Data Solutions Architect I, Financial Business Services",5,1,-1,Sutter Health, CA,3.7,0,42,10000+ Employees,1981,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),3.5,3.8,3.7,3.1,3.5,2023-06-05 15:50:08.219071,hr
