Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$50,375 /yr (est.)",50375.0,Production Technical Operator,-1,-1,-1,Celestica, OR,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:51:17.431395,yr
"$79,250 /yr (est.)",79250.0,Recruitment Consultant,3,1,0,Storm2, NY,2.8,0,4,201 to 500 Employees,2019,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,3.0,2.9,2.8,2.6,2.5,2023-06-05 15:51:19.106115,yr
"$58,701 /yr (est.)",58701.0,UX/UI Designer,3,1,-1,Twenty Ideas, OR,3.6,0,9,1 to 50 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),2.6,3.6,4.1,3.2,3.2,2023-06-05 15:51:20.987070,yr
"$105,000 /yr (est.)",105000.0,Lead Technical Support Engineer,0,2,1,StackHawk, CO,4.3,0,4,1 to 50 Employees,2019,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.3,4.5,4.2,4.3,4.6,2023-06-05 15:51:22.798541,yr
"$144,732 /yr (est.)",144732.0,System Engineer Architecture - Network,0,2,1,Celestica, CA,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:51:25.081212,yr
"$90,354 /yr (est.)",90354.0,Business Operations Lead,0,2,1,Aidaly, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:51:35.045554,yr
"$60,978 /yr (est.)",60978.0,Customer Experience Center Administrator,0,1,1,Celestica, CA,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:51:39.885285,yr
"$62,635 /yr (est.)",62635.0,Supply Chain Inventory Analyst,0,1,1,Celestica, AZ,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:51:41.997425,yr
"$210,000 /yr (est.)",210000.0,Vice President of Product & Technology (Remote),10,1,1,Plume,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-05 15:51:44.002246,yr
"$95,000 /yr (est.)",95000.0,Growth Program Manager - Community Engagement & Training,4,1,1,Journey Clinical,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-05 15:51:55.029244,yr
"$65,170 /yr (est.)",65170.0,"Executive Assistant (Hybrid \u007C Denver, CO)",4,1,0,Plume, CO,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-05 15:52:00.872090,yr
"$107,500 /yr (est.)",107500.0,Demand Generation Manager (Remote),5,1,1,Plume,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-05 15:52:04.076972,yr
"$137,500 /yr (est.)",137500.0,Healthcare Business Intelligence Data Manager,3,1,1,StationMD/HealthTech Partners Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:52:10.487266,yr
"$79,250 /yr (est.)",79250.0,Graduate Recruitment Consultant,3,2,0,Levin, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 15:52:15.349583,yr
"$71,144 /yr (est.)",71144.0,UI/UX Designer,0,1,1,eHealth Global Technologies, PA,3.6,0,17,201 to 500 Employees,2006,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.4,3.1,3.5,3.3,3.1,2023-06-05 15:52:19.963377,yr
"$48,103 /yr (est.)",48103.0,Buying Associate,0,1,0,Celestica, MN,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:52:25.475599,yr
"$45,545 /yr (est.)",45545.0,Customer Support Specialist,3,2,1,Celestica, MN,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:52:27.497768,yr
"$206,500 /yr (est.)",206500.0,"Principal, Design Engineering",-1,-1,-1,Celestica, CA,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-05 15:52:37.363363,yr
"$190,000 /yr (est.)",190000.0,Head of Product,7,1,1,Journey Clinical,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-05 15:52:44.414601,yr
"$102,014 /yr (est.)",102014.0,DevOps Engineer,-1,-1,-1,Fusion Health, NJ,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.7,4.4,4.1,4.6,2023-06-05 15:52:47.458235,yr
