Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$100,000 /yr (est.)",100000.0,QA Tester,8,1,-1,Rays Tech Serv,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:02:55.629350,yr
"$71,436 /yr (est.)",71436.0,Quality Analyst / Software Tester,2,1,-1,"Advaiya
3.3", WA,3.3,0,18,51 to 200 Employees,2005,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),3.4,3.1,3.3,2.7,3.0,2023-06-04 01:03:00.875561,yr
"$48,500 /yr (est.)",48500.0,Software Tester,2,1,-1,"ThriveSoft
5.0", WA,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,5.0,5.0,4.0,2023-06-04 01:03:03.169427,yr
$30.00 /hr (est.),62400.0,Agile Automation Tester,3,2,-1,I20 Technologies, IL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:03:16.193027,hr
"$48,179 /yr (est.)",48179.0,Software Tester,2,2,-1,"SecuriGence LLC
5.0", FL,5.0,0,13,51 to 200 Employees,2010,Company - Private,National Agencies,Government & Public Administration,Unknown / Non-Applicable,4.9,5.0,5.0,5.0,5.0,2023-06-04 01:03:21.394326,yr
"$69,129 /yr (est.)",69129.0,Software QA Tester,0,2,-1,"Debt Pay Gateway Inc.
2.0", IL,2.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:03:23.477362,yr
"$60,926 /yr (est.)",60926.0,Software QA Tester (REMOTE),3,1,-1,"ANALYGENCE, Inc.
4.3", MD,4.3,0,13,201 to 500 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.8,3.9,4.3,4.4,4.3,2023-06-04 01:03:27.772149,yr
"$86,295 /yr (est.)",86295.0,Software Engineer/Tester,4,1,1,"ASCENDING
4.2", MD,4.2,0,-1,-1,-1,-1,-1,-1,-1,4.2,3.2,3.8,3.9,4.2,2023-06-04 01:03:29.733190,yr
"$72,500 /yr (est.)",72500.0,Software Tester/QA Analyst,5,2,1,"Yakshna Solutions
4.4", VA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.3,4.4,4.6,4.5,4.4,2023-06-04 01:03:32.786546,yr
"$62,562 /yr (est.)",62562.0,Software Tester,5,1,1,"Spalding Consulting, Inc.
4.0", MD,4.0,0,22,201 to 500 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),3.9,3.5,4.1,3.9,4.2,2023-06-04 01:03:40.319970,yr
"$21,500 /mo (est.)",258000.0,Senior Software Tester,2,1,-1,Kemar Port Automation Pvt ltd, NC,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:03:43.058591,mo
"$115,086 /yr (est.)",115086.0,"Senior Embedded Software Engineer(Tester ,English speaker)-Taufkirchen",1,2,1,"The IG Group
2.2",Remote,2.2,1,-1,-1,-1,-1,-1,-1,-1,1.8,2.7,2.0,1.8,3.0,2023-06-04 01:03:48.281413,yr
$35.00 /hr (est.),72800.0,Android QA Tester,2,2,-1,"ReachMobi
4.4", FL,4.4,0,7,51 to 200 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.3,4.7,4.3,3.9,4.1,2023-06-04 01:03:51.560215,hr
$41.50 /hr (est.),86320.0,Software Tester,6,2,0,Ehub Global solution, CO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:03:54.036451,hr
"$85,000 /yr (est.)",85000.0,Software Engineer,4,1,-1,"Exact Sciences Corporation
3.5",Remote,3.5,1,28,1001 to 5000 Employees,1995,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,3.9,3.4,3.0,3.6,2023-06-04 01:03:59.452852,yr
$49.50 /hr (est.),102960.0,Software Tester,4,1,1,"Dynamic Systems Technology, Inc. (DysTech)", MD,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:04:01.911690,hr
"$69,460 /yr (est.)",69460.0,Software QA Tester,0,1,-1,"GlobalMedia Group, LLC
4.1", AZ,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.4,3.5,3.1,3.6,2023-06-04 01:04:07.047530,yr
"$97,500 /yr (est.)",97500.0,ServiceNow Application Tester,-1,-1,-1,-1,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:04:10.670944,yr
"$62,884 /yr (est.)",62884.0,Software Tester,3,1,1,"Grant Leading Technology
4.0", MD,4.0,0,10,51 to 200 Employees,2013,Government,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,4.1,3.7,3.6,3.7,2023-06-04 01:04:29.160473,yr
"$78,286 /yr (est.)",78286.0,Jr Software Engineer,1,1,1,"Convr
4.8", IL,4.8,0,7,1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.5,3.8,4.5,4.4,4.1,2023-06-04 01:04:31.808399,yr
"$93,094 /yr (est.)",93094.0,QA Engineer Automated II - Software Quality Assurance Tester,0,2,-1,Optimized Technical Solutions, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:04:34.120313,yr
"$81,767 /yr (est.)",81767.0,Automation Tester - APIs,3,1,1,"DLL
4.1", IA,4.1,0,54,1001 to 5000 Employees,1969,Company - Private,Investment & Asset Management,Financial Services,$25 to $100 million (USD),3.5,3.8,4.0,3.4,4.0,2023-06-04 01:04:39.554147,yr
"$60,000 /yr (est.)",60000.0,Manual Tester,5,1,-1,"BiSoft
4.5", WA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.2,4.3,4.4,4.6,4.3,2023-06-04 01:04:44.701255,yr
"$65,000 /yr (est.)",65000.0,Junior/Mid-Level Front-End Software Engineer,1,1,0,"University of Maryland
4.2", MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,3.9,2023-06-04 01:04:49.665377,yr
"$75,307 /yr (est.)",75307.0,Remote Quality Assurance Tester,4,1,-1,"ALEUT FEDERAL LLC
3.6", VA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.9,3.6,3.5,3.7,4.1,2023-06-04 01:05:19.714800,yr
"$103,700 /yr (est.)",103700.0,Software Test Engineer,3,1,1,"PACCAR
3.6", WA,3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.4,3.2,3.0,3.6,2023-06-04 01:05:23.222519,yr
"$64,101 /yr (est.)",64101.0,Software QA Tester,7,2,-1,"Purple Wave, Inc.
4.3", KS,4.3,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,4.4,4.1,4.4,2023-06-04 01:05:25.856052,yr
"$50,000 /yr (est.)",50000.0,Software Quality Assurance Engineer,1,1,0,"University of Maryland
4.2", MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,3.9,2023-06-04 01:05:29.254948,yr
$40.50 /hr (est.),84240.0,QA Tester,8,2,-1,CARITA TECH, MN,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:05:36.202562,hr
"$69,879 /yr (est.)",69879.0,QA Tester,3,1,-1,Sriram Business Solutions, VA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:05:41.331126,yr
$15.50 /hr (est.),32240.0,QA Tester Temp,0,2,1,"Sega Of America Inc
2.9", CA,2.9,0,38,51 to 200 Employees,1985,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$100 to $500 million (USD),2.4,2.8,2.8,2.4,3.1,2023-06-04 01:05:46.579750,hr
$21.50 /hr (est.),44720.0,Software Tester Level I,1,1,0,"Advantage Route Systems
4.2", CA,4.2,0,29,1 to 50 Employees,1994,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),3.8,3.4,4.2,3.8,4.1,2023-06-04 01:05:48.986366,hr
"$82,500 /yr (est.)",82500.0,QUALITY ASSURANCE ANALYST/TESTER,10,2,-1,"VSolvit
4.0",United States,4.0,0,17,201 to 500 Employees,2006,Company - Private,National Agencies,Government & Public Administration,$25 to $100 million (USD),3.6,3.4,4.0,3.8,4.0,2023-06-04 01:05:51.728981,yr
"$93,948 /yr (est.)",93948.0,Automation Tester,5,1,-1,"Cognosante, LLC
4.0",Remote,4.0,1,15,1001 to 5000 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),3.9,3.9,4.1,4.0,4.2,2023-06-04 01:05:59.178828,yr
"$78,612 /yr (est.)",78612.0,Software QA Analyst/Tester,0,1,-1,"DW Matrix Inc
3.5", MA,3.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.0,4.0,4.5,4.0,2023-06-04 01:06:06.513592,yr
"$62,338 /yr (est.)",62338.0,Software Tester,0,2,-1,"Space Dynamics Laboratory
4.5", UT,4.5,0,64,1001 to 5000 Employees,1959,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.2,4.2,4.6,4.4,4.7,2023-06-04 01:06:10.242996,yr
"$81,850 /yr (est.)",81850.0,Software Quality Assurance Analyst - 100% Remote,-1,-1,-1,"Radian
4.2",Pennsylvania,4.2,0,46,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.4,2023-06-04 01:06:13.080311,yr
"$92,500 /yr (est.)",92500.0,QA Tester,8,1,-1,"CONCEPT SOLUTIONS LLC
3.8", VA,3.8,0,24,51 to 200 Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.8,4.1,3.8,4.1,2023-06-04 01:06:16.030990,yr
"$58,380 /yr (est.)",58380.0,QA Analyst II,2,2,1,"Fender
3.8", LA,3.8,0,77,1001 to 5000 Employees,1946,Company - Private,Consumer Product Manufacturing,Manufacturing,$100 to $500 million (USD),3.7,3.5,4.0,3.6,3.8,2023-06-04 01:06:18.724128,yr
"$97,500 /yr (est.)",97500.0,QA Manager,0,2,0,"Backstage
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.2,4.1,4.6,4.1,2023-06-04 01:06:21.515136,yr
"$78,231 /yr (est.)",78231.0,QA Engineer,0,2,1,"Perficient, Inc
4.1", LA,4.1,0,25,5001 to 10000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),4.0,3.7,4.0,3.7,4.1,2023-06-04 01:06:25.395303,yr
"$55,974 /yr (est.)",55974.0,Quality Assurance Software Tester,5,1,-1,"Canal Barge
4.5", LA,4.5,0,90,501 to 1000 Employees,1933,Company - Private,Shipping & Trucking,Transportation & Logistics,$100 to $500 million (USD),4.2,3.8,4.4,4.3,3.8,2023-06-04 01:06:29.563771,yr
"$80,759 /yr (est.)",80759.0,Manual/Automated Tester,0,2,-1,"Perficient, Inc
4.1", OH,4.1,0,25,5001 to 10000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),4.0,3.7,4.0,3.7,4.1,2023-06-04 01:06:43.612817,yr
"$72,067 /yr (est.)",72067.0,Quality Assurance Tester,4,1,-1,"Steampunk
4.5", VA,4.5,0,20,201 to 500 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.5,4.2,4.5,4.3,4.4,2023-06-04 01:06:48.393156,yr
"$85,000 /yr (est.)",85000.0,QA Tester II,5,1,-1,"UST Xpanxion
3.9",Remote,3.9,1,24,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),3.8,3.4,3.9,3.6,3.9,2023-06-04 01:06:51.263631,yr
$47.50 /hr (est.),98800.0,QA Analyst,8,1,1,"Cloud Shift Technologies LLC
5.0", OH,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,5.0,5.0,5.0,2023-06-04 01:06:57.888577,hr
"$90,100 /yr (est.)",90100.0,Software Test Engineer,1,1,1,"PACCAR
3.6", WA,3.6,0,118,10000+ Employees,1905,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.4,3.4,3.2,3.0,3.6,2023-06-04 01:07:09.837444,yr
"$69,879 /yr (est.)",69879.0,QA Tester,3,1,-1,Sriram Business Solutions, VA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 01:07:16.628050,yr
"$97,500 /yr (est.)",97500.0,QA Manager,0,2,0,"Backstage
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.2,4.1,4.6,4.1,2023-06-04 01:07:31.257570,yr
"$81,850 /yr (est.)",81850.0,Software Quality Assurance Analyst - 100% Remote,3,1,1,"Radian
4.2",Pennsylvania,4.2,0,46,1001 to 5000 Employees,1977,Company - Public,Insurance Carriers,Insurance,$1 to $5 billion (USD),3.8,4.1,4.3,3.8,4.4,2023-06-04 01:07:39.185328,yr
"$80,759 /yr (est.)",80759.0,Manual/Automated Tester,0,2,-1,"Perficient, Inc
4.1", OH,4.1,0,25,5001 to 10000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),4.0,3.7,4.0,3.7,4.1,2023-06-04 01:07:42.021969,yr
