Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$100,000 /yr (est.)",100000.0,Data Analyst,5,2,1,Network Coverage,Remote,3.3,1,27,51 to 200 Employees,1996,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,3.5,3.4,3.2,3.3,2023-06-05 13:12:38.769008,yr
"$50,000 /yr (est.)",50000.0,Data Analyst,0,1,-1,Signals, UT,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.3,4.0,4.0,4.3,2023-06-05 13:12:43.700874,yr
"$67,259 /yr (est.)",67259.0,Assistant Data Analyst/Data Analyst,0,1,1,AIPSO, RI,3.9,0,51,201 to 500 Employees,1972,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,3.4,3.4,3.9,3.3,4.7,2023-06-05 13:12:46.513816,yr
$75.00 /hr (est.),156000.0,Data / Information Management Analyst,10,1,0,Techsara solutions, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:12:48.300599,hr
"$84,643 /yr (est.)",84643.0,Data Analyst,-1,-1,-1,"Kyocera International, Inc.", CA,3.2,0,64,10000+ Employees,1959,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),2.9,3.0,3.2,2.8,3.1,2023-06-05 13:12:53.278880,yr
"$117,300 /yr (est.)",117300.0,Data Analyst,-1,-1,-1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-05 13:12:55.132574,yr
"$62,500 /yr (est.)",62500.0,Junior Data Analyst,0,1,-1,Integrated Real Estate Group, TX,4.1,0,20,1001 to 5000 Employees,2003,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4.1,3.9,4.1,4.0,3.9,2023-06-05 13:12:56.769491,yr
"$55,965 /yr (est.)",55965.0,Jr. Data Analyst ( Full Time ),-1,-1,-1,RSA Tech, TX,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,4.8,5.0,5.0,2023-06-05 13:12:58.703748,yr
"$52,000 /yr (est.)",52000.0,Compliance Data Analyst I,0,1,-1,Flagship Credit Acceptance, PA,4.0,0,13,1001 to 5000 Employees,2010,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,3.7,3.8,4.0,4.0,4.1,2023-06-05 13:13:01.834189,yr
$37.50 /hr (est.),78000.0,Data Analyst,5,2,-1,Advize Health LLC,Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,4.1,3.8,4.0,4.0,4.0,2023-06-05 13:13:03.843672,hr
