Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$129,368 /yr (est.)",129368.0,"Game Artist, R&D Tech Lab",5,2,1,Netflix, CA,4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-06-03 20:01:29.912148,yr
"$275,000 /yr (est.)",275000.0,Quantitative Software Developer,0,1,-1,Recruiting From Scratch, WA,3.9,0,4,1 to 50 Employees,2019,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$1 to $5 million (USD),4.0,3.9,3.6,3.5,3.9,2023-06-03 20:01:34.004440,yr
"$62,702 /yr (est.)",62702.0,Game Artist,10,2,-1,"Lionheart Games, LLC", GA,3.2,0,4,1 to 50 Employees,2019,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.2,2.7,2.9,2023-06-03 20:01:36.121336,yr
"$164,190 /yr (est.)",164190.0,"Engine Programmer, UEFN",0,2,-1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:01:38.055506,yr
"$69,067 /yr (est.)",69067.0,Full-Stack Web Developer,-1,-1,-1,Bethesda Game Studios, MD,3.4,0,-1,-1,-1,-1,-1,-1,-1,2.4,3.3,3.6,2.3,3.9,2023-06-03 20:01:39.861197,yr
"$115,806 /yr (est.)",115806.0,UI Engineer (remote),0,1,1,Disruptive Games, CA,5.0,0,14,1 to 50 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.7,4.7,4.7,5.0,4.7,2023-06-03 20:01:42.441294,yr
"$85,000 /yr (est.)",85000.0,WordPress Developer,5,1,0,Urban Insight,Remote,4.7,1,22,1 to 50 Employees,2001,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD),4.5,4.4,4.8,4.7,4.7,2023-06-03 20:01:44.341879,yr
"$232,420 /yr (est.)",232420.0,Player Lifecycle Lead,10,1,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:01:48.639045,yr
"$114,305 /yr (est.)",114305.0,IOS Developer,3,2,-1,Logicnext, CA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.3,4.0,4.0,2023-06-03 20:01:53.531592,yr
"$70,000 /yr (est.)",70000.0,QA Tester,3,2,1,Rec Room,United States,4.5,0,7,51 to 200 Employees,2016,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.6,4.6,4.5,4.3,4.5,2023-06-03 20:02:00.832302,yr
"$171,150 /yr (est.)",171150.0,Senior Concept Artist,0,1,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:02:02.750146,yr
"$90,000 /yr (est.)",90000.0,Unreal Engine Artist,4,1,1,"Anatomage, Inc.", CA,4.3,0,2,51 to 200 Employees,2021,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,4.0,3.5,4.5,4.0,4.0,2023-06-03 20:02:04.614675,yr
"$88,094 /yr (est.)",88094.0,Software Engineer IV / Game Engine Specialist,8,1,-1,CAE, FL,3.9,0,76,10000+ Employees,1947,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),3.7,3.7,3.9,3.6,3.7,2023-06-03 20:02:14.204294,yr
"$118,531 /yr (est.)",118531.0,Developer Advocate (Unity SDK),10,1,1,Consensys, NY,4.0,0,9,501 to 1000 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.9,4.2,4.1,3.5,4.4,2023-06-03 20:02:17.214403,yr
"$203,730 /yr (est.)",203730.0,Paid Media Director,6,2,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:02:21.102656,yr
"$148,852 /yr (est.)",148852.0,Lead Animator,0,1,1,Epic Games, CA,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:02:42.016740,yr
$16.00 /hr (est.),33280.0,Game Designer Jr.,3,2,0,Next Mission - Heroes League Game Day, UT,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:02:47.369941,hr
"$80,000 /yr (est.)",80000.0,Gameplay Programmer (Unreal),3,2,-1,Triiodide Studios,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:02:57.067897,yr
"$75,496 /yr (est.)",75496.0,Graphics Engineer,0,1,1,Arkane Studios, TX,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.9,3.8,3.4,3.9,2023-06-03 20:03:06.197677,yr
"$57,676 /yr (est.)",57676.0,2D Artist,3,2,-1,Lionheart Games, GA,3.2,0,4,1 to 50 Employees,2019,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.2,2.7,2.9,2023-06-03 20:03:11.696044,yr
"$138,000 /yr (est.)",138000.0,Senior Game Engineer - AAA Game Developer,5,1,1,The UpTeam Consultants,Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:03:15.669418,yr
"$85,952 /yr (est.)",85952.0,Game Software Developer,5,1,0,"Torch Technologies, Inc.", AL,4.5,0,21,1001 to 5000 Employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.8,4.0,4.6,4.3,4.6,2023-06-03 20:03:22.303996,yr
"$65,411 /yr (est.)",65411.0,3d ARTIST,-1,-1,-1,Perilous Orbit, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:03:31.826015,yr
"$110,000 /yr (est.)",110000.0,Unity Interactive Developer (FT),10,1,1,"PSI Proteam Solutions Inc,",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:03:47.166791,yr
"$160,000 /yr (est.)",160000.0,Senior .NET Developer (C# / SQL / ASP.NET MVC),8,1,1,"Red Dog Media, Inc.",Remote,4.5,1,15,1 to 50 Employees,2008,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.2,4.6,4.4,4.3,2023-06-03 20:03:55.674313,yr
"$275,000 /yr (est.)",275000.0,Quantitative Software Developer,0,1,-1,Recruiting From Scratch, NJ,3.9,0,4,1 to 50 Employees,2019,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$1 to $5 million (USD),4.0,3.9,3.6,3.5,3.9,2023-06-03 20:04:04.312735,yr
"$77,512 /yr (est.)",77512.0,Junior Software Developer/Engineer,2,1,-1,"Anyar, Inc.", FL,4.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.5,5.0,5.0,5.0,2023-06-03 20:04:11.909878,yr
$52.50 /hr (est.),109200.0,Software Gameplay Developer,2,1,-1,Geologics Corporation, IN,4.4,0,34,501 to 1000 Employees,1989,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),3.7,4.1,4.1,4.3,4.3,2023-06-03 20:04:25.408943,hr
"$83,834 /yr (est.)",83834.0,Web Application Developer,5,1,-1,Newman Services, TX,5.0,0,19,1 to 50 Employees,2004,Unknown,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-06-03 20:04:28.598607,yr
