Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$40.00 /hr (est.),83200.0,CONTRACT - Localization Specialist,0,1,-1,Nintendo, WA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.3,4.4,4.2,4.1,2023-06-03 20:09:47.612375,hr
$50.00 /hr (est.),104000.0,CONTRACT - Associate Localization Project Management (LPM) Specialist,0,1,-1,Nintendo, WA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.3,4.4,4.2,4.1,2023-06-03 20:09:50.732266,hr
"$72,240 /yr (est.)",72240.0,Localization Specialist,0,2,1,Yotta Games, CA,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.3,2.6,2.5,2.4,2023-06-03 20:09:53.716277,yr
"$59,836 /yr (est.)",59836.0,Localization Specialist - Bilingual (Japanese/English) - Fixed Term Contract (18 Months),4,1,1,The Pokémon Company International, WA,4.5,0,22,501 to 1000 Employees,2001,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.4,4.4,4.0,4.1,2023-06-03 20:09:57.347815,yr
"$64,750 /yr (est.)",64750.0,Finnish Translation & Localization Specialist,0,2,1,Blueprint Technologies, WA,3.5,0,10,501 to 1000 Employees,2013,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.2,3.5,3.4,3.1,3.7,2023-06-03 20:09:59.788580,yr
"$79,515 /yr (est.)",79515.0,Digital Supply Chain Specialist,2,1,1,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-03 20:10:02.301965,yr
$15.00 /hr (est.),31200.0,Chinese (Simplied) to Chinese (Taiwan Traditional) Gaming Localization Proj,2,2,1,Gientech,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:10:04.801207,hr
"$67,143 /yr (est.)",67143.0,Digital Operations Specialist,2,1,1,Bandai Namco Entertainment America, CA,3.2,0,33,51 to 200 Employees,1990,Company - Public,Video Game Publishing,Media & Communication,$100 to $500 million (USD),2.0,2.9,3.1,2.2,3.3,2023-06-03 20:10:09.817157,yr
$37.66 /hr (est.),78332.8,Product Planning and Development Specialist (Bilingual Japanese),0,1,-1,Nintendo, WA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.3,4.4,4.2,4.1,2023-06-03 20:10:13.093807,hr
"$139,660 /yr (est.)",139660.0,"Manager, Editing & Rules (Studio X)",5,1,1,Wizards of the Coast, WA,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.4,2.8,2.8,2.2,3.0,2023-06-03 20:10:19.023926,yr
"$58,500 /yr (est.)",58500.0,Associate Producer (Japanese Bilingual),0,1,0,"GungHo Online Entertainment America, Inc.", CA,3.7,0,11,1 to 50 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.0,3.9,2.8,3.5,2023-06-03 20:10:21.580142,yr
"$49,500 /yr (est.)",49500.0,Product Coordinator (Japanese Bilingual),0,1,1,"GungHo Online Entertainment America, Inc.", CA,3.7,0,11,1 to 50 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.0,3.9,2.8,3.5,2023-06-03 20:10:23.671660,yr
