Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$173,190 /yr (est.)",173190.0,Lead Gameplay Programmer,10,1,1,Activision, CA,3.2,0,44,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),3.1,3.1,3.2,3.0,3.0,2023-06-03 20:11:46.780245,yr
"$137,500 /yr (est.)",137500.0,Gameplay Engineer,2,1,-1,Striking Distance Studios, CA,4.0,0,4,201 to 500 Employees,2019,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.5,3.9,3.5,4.2,2023-06-03 20:11:49.179597,yr
"$104,000 /yr (est.)",104000.0,Artificial Intelligence Programmer,0,1,-1,Noble Public Adjusting Group, GA,3.6,0,7,1 to 50 Employees,2016,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,3.6,4.0,3.5,3.4,3.4,2023-06-03 20:11:51.888201,yr
"$66,735 /yr (est.)",66735.0,Audio Programmer,0,1,1,Bit Reactor, MD,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:11:54.151766,yr
"$186,150 /yr (est.)",186150.0,Senior/Principal AI Programmer,3,1,1,Tencent, WA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 20:11:59.057190,yr
"$137,500 /yr (est.)",137500.0,Senior Gameplay Programmer - Remote or On Site,5,1,1,Studio Wildcard, WA,3.9,0,9,51 to 200 Employees,2014,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.1,3.9,3.1,2.9,2023-06-03 20:12:03.399141,yr
"$95,901 /yr (est.)",95901.0,"Senior Unity Programmer - VR/ AR/ Mixed Reality, Automotive",4,1,1,izmocars, CA,3.5,0,21,201 to 500 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,3.2,3.0,3.1,3.4,2023-06-03 20:12:05.855705,yr
"$125,500 /yr (est.)",125500.0,Gameplay Engineer,5,1,-1,Turtle Rock Studios, CA,4.2,0,14,51 to 200 Employees,2009,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.6,4.2,3.8,4.2,2023-06-03 20:12:11.273697,yr
"$74,159 /yr (est.)",74159.0,Mid to Sr. Unity 3D Programmer - US Citizenship Required,5,1,1,"AVNIK Defense Solutions, Inc.", AL,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.7,5.0,5.0,5.0,5.0,2023-06-03 20:12:13.665592,yr
"$90,966 /yr (est.)",90966.0,Senior Gameplay Programmer [New IP],0,1,0,KRAFTON, WI,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.0,4.0,2.0,3.0,2023-06-03 20:12:17.063038,yr
"$68,578 /yr (est.)",68578.0,Roblox Game Programmer - Freelance,3,1,1,Filament Games, WI,4.9,0,18,51 to 200 Employees,2005,Company - Private,Primary & Secondary Schools,Education,$1 to $5 million (USD),3.9,3.9,4.5,4.6,4.9,2023-06-03 20:12:23.785807,yr
"$66,424 /yr (est.)",66424.0,Senior Gameplay Programmer [New IP],0,1,0,PUBG Madison, WI,4.2,0,6,501 to 1000 Employees,2017,Company - Private,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),4.3,4.3,4.0,3.6,3.9,2023-06-03 20:12:26.121213,yr
"$83,416 /yr (est.)",83416.0,Senior Gameplay Programmer,5,1,1,Gearbox Software, TX,3.8,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.3,3.4,3.8,3.6,4.1,2023-06-03 20:12:28.739434,yr
"$81,146 /yr (est.)",81146.0,Lead Gameplay Engineer (Combat),7,2,1,ZeniMax Online Studios, MD,4.4,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,4.6,4.0,4.3,2023-06-03 20:12:31.201463,yr
"$143,877 /yr (est.)",143877.0,"Senior Software Engineer, Gameplay (Anti-Cheat) - Overwatch (Relocation Assistance Available)",5,1,1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 20:12:34.433876,yr
