Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$140,000 /yr (est.)",140000.0,"Senior Open World Level Designer, P13",5,2,1,"Cryptic Studios, Inc.", CA,3.4,0,23,51 to 200 Employees,2000,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.1,3.1,3.7,3.0,4.0,2023-06-03 20:16:04.728653,yr
"$138,550 /yr (est.)",138550.0,Principal Gameplay Systems Designer - Unannounced Survival Game,8,1,1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 20:16:09.256129,yr
"$76,264 /yr (est.)",76264.0,Principal Level Designer,5,2,0,ZeniMax Online Studios, MD,4.4,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,4.6,4.0,4.3,2023-06-03 20:16:11.277171,yr
"$122,220 /yr (est.)",122220.0,Senior Gameplay Designer,5,2,1,Archetype Entertainment, TX,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.4,2.8,2.8,2.2,3.0,2023-06-03 20:16:14.265806,yr
"$160,000 /yr (est.)",160000.0,Game Economy Designer,5,1,1,Hang,California,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 20:16:16.392772,yr
$16.00 /hr (est.),33280.0,Game Designer Jr.,3,2,0,Next Mission - Heroes League Game Day, UT,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:16:19.792686,hr
"$55,129 /yr (est.)",55129.0,Technical Designer,0,2,-1,ZeniMax Online Studios, MD,4.4,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.9,4.6,4.0,4.3,2023-06-03 20:16:24.689540,yr
"$92,855 /yr (est.)",92855.0,"Senior Level Designer, Games Studio",0,1,1,Netflix, CA,4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-06-03 20:16:27.622992,yr
"$66,297 /yr (est.)",66297.0,Technical UI Designer (Apex Legends),3,2,1,Electronic Arts, WI,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 20:16:29.621763,yr
"$64,657 /yr (est.)",64657.0,UX Designer (Apex Legends),3,2,1,Electronic Arts, WI,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 20:16:31.582439,yr
"$124,381 /yr (est.)",124381.0,Senior Systems Designer,0,2,-1,31st Union, CA,4.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.5,4.0,4.0,5.0,2023-06-03 20:16:33.788353,yr
"$57,637 /yr (est.)",57637.0,Level Designer,3,2,1,"Take-Two Interactive Software, Inc.", MA,3.9,0,30,1001 to 5000 Employees,1993,Company - Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.7,3.8,3.7,3.5,3.7,2023-06-03 20:16:36.707637,yr
"$120,000 /yr (est.)",120000.0,Senior Systems Designer,3,1,1,Cold Iron Studios,Remote,4.1,1,8,51 to 200 Employees,2015,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.6,4.2,4.0,3.7,4.4,2023-06-03 20:16:38.813284,yr
"$53,142 /yr (est.)",53142.0,Marketing Motion Graphic Designer,-1,-1,-1,Asmodee North America Inc, MN,3.0,0,28,501 to 1000 Employees,1995,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,2.6,2.8,2.9,2.9,3.0,2023-06-03 20:16:41.253627,yr
"$178,500 /yr (est.)",178500.0,Principal Combat Designer,-1,-1,-1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 20:16:42.971857,yr
"$61,982 /yr (est.)",61982.0,"Live Service Game Designer (Systems, Content, Narrative)",0,2,-1,BIGBOX VR, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:16:47.820921,yr
"$74,171 /yr (est.)",74171.0,Associate Systems Designer,0,2,0,ZeniMax Media Inc., MD,3.7,0,24,201 to 500 Employees,1999,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.4,3.7,3.2,3.9,2023-06-03 20:16:52.910337,yr
"$141,855 /yr (est.)",141855.0,"Lead Systems Designer, Games Studio",0,2,1,Netflix, CA,4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-06-03 20:16:55.126734,yr
"$156,900 /yr (est.)",156900.0,Senior/Principal AI Designer,0,1,1,Tencent, DC,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 20:16:57.193001,yr
"$110,341 /yr (est.)",110341.0,Lead Level Designer (remote),10,1,1,Disruptive Games, CA,5.0,0,14,1 to 50 Employees,2009,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.7,4.7,4.7,5.0,4.7,2023-06-03 20:16:59.234668,yr
"$116,062 /yr (est.)",116062.0,Senior / Principal Sound Designer,5,2,1,id Software, TX,4.2,0,32,51 to 200 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.0,4.4,3.9,3.5,3.7,2023-06-03 20:17:01.507674,yr
