Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$76,883 /yr (est.)",76883.0,Audio Programmer,0,1,-1,PlayStation Global, CA,3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,2023-06-03 20:22:15.564098,yr
"$97,994 /yr (est.)",97994.0,UI/UX Developer,5,1,1,Ericsson, CA,3.9,0,147,10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.4,3.8,4.1,3.5,3.8,2023-06-03 20:22:18.017384,yr
"$121,000 /yr (est.)",121000.0,Software Developer,1,1,1,Stanford University, CA,4.3,0,132,10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD),4.1,3.6,4.1,3.8,3.8,2023-06-03 20:22:20.089001,yr
"$140,000 /yr (est.)",140000.0,Unreal Engine / C++ Engineer,0,2,1,"Imerza, LLC",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 20:22:22.564314,yr
"$25,000 /mo (est.)",300000.0,"Backend Developer (Nest/Node.js, all seniority levels)",0,1,-1,Actum Lab, TX,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.0,4.0,4.0,5.0,2023-06-03 20:22:25.539910,mo
"$51,504 /yr (est.)",51504.0,Junior Serious Games Programmer,8,1,0,"Applied Research Associates, Inc", NC,4.2,0,44,1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.0,4.0,4.3,4.1,4.3,2023-06-03 20:22:28.704157,yr
"$72,500 /yr (est.)",72500.0,Web Developer,5,1,1,United States Space Foundation, CO,2.7,0,40,51 to 200 Employees,1983,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),2.3,3.1,2.1,1.5,2.5,2023-06-03 20:22:32.970778,yr
"$102,500 /yr (est.)",102500.0,Front-End React Developer,5,2,1,Brightly,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:22:41.361773,yr
"$112,023 /yr (est.)",112023.0,Unity3D Developer/Game Developer,4,2,-1,Xebrium, CA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.0,4.5,4.5,4.4,2023-06-03 20:22:46.451642,yr
$75.00 /hr (est.),156000.0,Software Engineer,3,1,-1,Fresh Consulting,Remote,3.9,1,16,201 to 500 Employees,2007,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.7,3.6,3.8,3.5,4.2,2023-06-03 20:22:49.554960,hr
"$95,901 /yr (est.)",95901.0,"Senior Unity Programmer - VR/ AR/ Mixed Reality, Automotive",4,1,1,izmocars, CA,3.5,0,21,201 to 500 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,3.2,3.0,3.1,3.4,2023-06-03 20:22:51.748791,yr
"$97,177 /yr (est.)",97177.0,Software Developer - VR/RE,8,1,0,Iron EagleX, MD,4.9,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.8,5.0,5.0,4.8,2023-06-03 20:22:53.916786,yr
$52.50 /hr (est.),109200.0,Software Gameplay Developer,2,1,-1,Geologics Corporation, IN,4.4,0,34,501 to 1000 Employees,1989,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),3.7,4.1,4.1,4.3,4.3,2023-06-03 20:23:03.205526,hr
"$120,000 /yr (est.)",120000.0,"Software Engineer, Gaming & VR",0,1,-1,Major League Baseball, NY,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.5,3.6,2023-06-03 20:23:05.582087,yr
"$207,000 /yr (est.)",207000.0,"Software Engineer, Gameplay - Reality Labs",6,1,1,Meta,Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-03 20:23:07.846998,yr
