Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$125,473 /yr (est.)",125473.0,"Sr Software Engineer, Graviton Graphics",5,1,1,Annapurna Labs (U.S.) Inc., TX,3.8,0,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-06-03 20:38:08.410046,yr
$27.50 /hr (est.),57200.0,Learning Design and Learning Software Coordinator,8,1,1,Jazz Hands For Autism,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:38:13.528878,hr
"$42,913 /yr (est.)",42913.0,HTML/Graphic Designers,0,1,1,Webmasters.com, FL,2.0,0,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,2.0,2023-06-03 20:38:18.568476,yr
"$159,038 /yr (est.)",159038.0,"Sr. Software Engineer - Software Platforms, Graphics",4,2,-1,Tesla, CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,2023-06-03 20:38:21.469122,yr
"$109,054 /yr (est.)",109054.0,"Graphics Engineer, Simulation",0,1,1,Ouva, CA,3.0,0,8,1 to 50 Employees,2015,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-06-03 20:38:26.709372,yr
"$22,500 /mo (est.)",270000.0,Graphic Designer/ Website Developer,0,1,-1,Plan My Interior,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:38:29.856780,mo
"$168,000 /yr (est.)",168000.0,"Senior, Software Engineer, Graphics Systems",5,1,1,"Magic Leap, Inc.", CA,4.0,0,12,1001 to 5000 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.8,4.1,4.0,3.3,4.1,2023-06-03 20:38:34.887171,yr
"$107,319 /yr (est.)",107319.0,Graphics Software Engineer,8,1,-1,SHINE Systems, MD,4.0,0,15,51 to 200 Employees,2008,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.5,3.8,3.8,3.7,4.1,2023-06-03 20:38:37.311886,yr
"$77,222 /yr (est.)",77222.0,Graphics Engineer,0,1,1,ZeniMax Media Inc., TX,3.7,0,24,201 to 500 Employees,1999,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.4,3.7,3.2,3.9,2023-06-03 20:38:39.351185,yr
"$143,877 /yr (est.)",143877.0,"Senior Software Engineer, Graphics - Overwatch (Relocation Assistance Available)",5,1,1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 20:38:44.526377,yr
