Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$90,000 /yr (est.)",90000.0,Unreal Engine Artist,4,1,1,"Anatomage, Inc.", CA,4.3,0,2,51 to 200 Employees,2021,Company - Private,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,4.0,3.5,4.5,4.0,4.0,2023-06-03 20:44:51.624609,yr
"$105,001 /yr (est.)",105001.0,VR/AR Software Engineer,5,1,-1,Schlumberger, TX,4.0,0,97,10000+ Employees,1926,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.9,3.9,4.0,3.6,3.4,2023-06-03 20:44:53.895720,yr
"$67,239 /yr (est.)",67239.0,Graphics Programmer,7,1,1,"Lionheart Games, LLC", GA,3.2,0,4,1 to 50 Employees,2019,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.2,2.7,2.9,2023-06-03 20:44:55.806684,yr
"$115,000 /yr (est.)",115000.0,Lead Game Developer (Unreal Engine),-1,-1,-1,"Torque3, Inc.", UT,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:44:58.232276,yr
"$51,356 /yr (est.)",51356.0,vr Tech artist,-1,-1,-1,Perilous Orbit, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:45:02.810927,yr
"$120,000 /yr (est.)",120000.0,"Software Engineer, Gaming & VR",0,1,-1,Major League Baseball, NY,3.9,0,154,201 to 500 Employees,1869,Self-employed,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,3.5,3.6,3.8,3.5,3.6,2023-06-03 20:45:07.930215,yr
"$65,378 /yr (est.)",65378.0,"Graphics Engineer, Shader Platform Support",0,1,-1,Unity Technologies, WA,3.7,0,18,5001 to 10000 Employees,2005,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.5,3.8,3.8,3.1,4.0,2023-06-03 20:45:10.288394,yr
"$172,433 /yr (est.)",172433.0,Gaming Graphics Software Engineer,5,1,1,"Big Fish Games, Inc.", NV,3.8,0,21,201 to 500 Employees,2002,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.7,3.7,4.1,3.6,4.5,2023-06-03 20:45:12.372861,yr
"$146,993 /yr (est.)",146993.0,"Software Engineer, Core Technology",7,1,-1,PlayStation Global, CA,3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,2023-06-03 20:45:20.988264,yr
"$210,053 /yr (est.)",210053.0,Senior Rendering Engineer,0,2,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:45:23.320340,yr
"$59,892 /yr (est.)",59892.0,Visual Effects Artist,0,1,0,Gearbox Software, TX,3.8,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.3,3.4,3.8,3.6,4.1,2023-06-03 20:45:25.445971,yr
"$60,000 /yr (est.)",60000.0,--SW Engineer 1 (KA),2,1,1,SimIS Inc., VA,4.2,0,16,1 to 50 Employees,2007,Company - Private,National Agencies,Government & Public Administration,$1 to $5 million (USD),4.0,4.2,5.0,4.7,4.8,2023-06-03 20:45:33.530350,yr
"$130,000 /yr (est.)",130000.0,Lead Environment Artist,5,1,1,Survios, CA,3.6,0,10,51 to 200 Employees,2013,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.7,2.6,4.2,2023-06-03 20:45:35.862632,yr
"$215,000 /yr (est.)",215000.0,"Rendering / Graphics Programmer (Unannounced AAA Game, UE5)",3,2,-1,Yotta Games, CA,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.3,2.6,2.5,2.4,2023-06-03 20:45:38.368120,yr
"$87,154 /yr (est.)",87154.0,UE Gameplay Programmer,4,1,-1,Pure Imagination Studios, CA,3.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.6,3.2,3.0,3.4,2023-06-03 20:45:41.432596,yr
"$195,530 /yr (est.)",195530.0,"Senior Mobile Rendering Engineer, Unreal Engine",7,2,1,Epic Games, CA,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 20:45:44.409456,yr
"$49,307 /yr (est.)",49307.0,"Senior 3D Artist, Gov Tech",0,1,1,Unity Technologies, FL,3.7,0,18,5001 to 10000 Employees,2005,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.5,3.8,3.8,3.1,4.0,2023-06-03 20:45:46.892923,yr
"$81,713 /yr (est.)",81713.0,C++ Software Engineer - 3D Printing Graphics and Visualization,3,2,-1,Simplify3D, OH,2.6,0,10,1 to 50 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,2.4,3.6,2.7,2.5,3.8,2023-06-03 20:45:49.039354,yr
"$68,900 /yr (est.)",68900.0,Sentinel (GBSD) Interactive Multimedia Developer / Principal Interactive Multimedia Developer - 9931,-1,-1,-1,Northrop Grumman, UT,4.0,0,84,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),4.0,3.8,3.8,3.5,4.0,2023-06-03 20:45:51.214439,yr
"$98,007 /yr (est.)",98007.0,"Software Engineer, Full Stack Developer",0,1,1,Glydways, PA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 20:45:56.424269,yr
"$46,928 /yr (est.)",46928.0,Technical Artist For Fortnite Creative (UEFN),0,1,1,Oni Studios, TX,4.3,0,3,1 to 50 Employees,2020,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.5,4.4,4.3,4.1,3.8,2023-06-03 20:46:01.707979,yr
