Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$127,500 /yr (est.)",127500.0,Software Engineer - Unity,2,1,1,Jam City, CA,4.0,0,13,201 to 500 Employees,2010,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.7,3.6,4.0,3.3,4.3,2023-06-03 20:59:29.769688,yr
"$85,000 /yr (est.)",85000.0,Cyber Engineer,5,1,-1,Dataprise,Remote,3.5,1,28,201 to 500 Employees,1995,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.6,3.6,3.5,3.2,3.4,2023-06-03 20:59:34.008432,yr
$48.41 /hr (est.),100692.8,Technical Support Engineer- Remote,0,1,-1,Splunk,Remote,3.9,1,20,5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),3.7,4.2,4.0,3.5,4.0,2023-06-03 20:59:42.785696,hr
$40.00 /hr (est.),83200.0,CONTRACT - Associate Software Engineer (NST),0,1,-1,Nintendo, WA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.3,4.4,4.2,4.1,2023-06-03 20:59:49.234250,hr
"$85,000 /yr (est.)",85000.0,Software Engineer,4,1,-1,Exact Sciences Corporation,Remote,3.5,1,28,1001 to 5000 Employees,1995,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,3.9,3.4,3.0,3.6,2023-06-03 20:59:52.114383,yr
"$128,500 /yr (est.)",128500.0,Cloud Engineer (Remote),0,1,0,GEICO, MD,3.0,0,87,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),3.3,3.5,2.9,2.6,2.7,2023-06-03 20:59:54.163533,yr
"$112,050 /yr (est.)",112050.0,Software Engineer/Computer Scientist,0,2,-1,Parsons, MD,3.9,0,79,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),3.7,3.6,3.8,3.5,3.8,2023-06-03 21:00:05.011598,yr
$67.50 /hr (est.),140400.0,DevOps Engineer,4,1,-1,BEPC Inc,Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,2.3,2.8,3.0,2.6,3.2,2023-06-03 21:00:12.902869,hr
"$82,500 /yr (est.)",82500.0,QA Engineer I (REMOTE-Pacific Time Zone Only),2,1,-1,Ambry Genetics Corporation, CA,3.3,0,24,501 to 1000 Employees,1999,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,2.8,3.1,3.3,2.5,3.2,2023-06-03 21:00:15.904745,yr
"$105,000 /yr (est.)",105000.0,SDET Engineer,5,1,-1,x2loogicsstaffingsolution.com,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:00:18.307200,yr
"$116,046 /yr (est.)",116046.0,QA Engineer,-1,-1,-1,Fortinet, CA,4.3,0,23,10000+ Employees,2000,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),4.2,4.1,4.2,4.1,4.2,2023-06-03 21:00:23.279609,yr
"$140,000 /yr (est.)",140000.0,Machine Learning Engineer,3,1,1,Radformation,Remote,5.0,1,7,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,5.0,5.0,5.0,4.6,2023-06-03 21:00:25.257978,yr
"$134,641 /yr (est.)",134641.0,"Software Engineer, Computer Vision",0,1,-1,Forward, CA,3.7,0,7,Unknown,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.5,3.0,3.9,3.6,3.4,2023-06-03 21:00:27.705987,yr
"$85,000 /yr (est.)",85000.0,Frontend Engineer,3,1,-1,Bare,Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,1.5,1.5,1.0,1.0,1.5,2023-06-03 21:00:34.202385,yr
