Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$62,665 /yr (est.)",62665.0,Matte Painting Artist,5,2,-1,Pure Imagination Studios, NY,3.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.6,3.2,3.0,3.4,2023-06-03 21:07:43.588190,yr
"$37,704 /yr (est.)",37704.0,3D Grooming Artist,0,2,-1,Epoch Games, NC,3.4,0,10,1 to 50 Employees,2013,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,2.7,1.4,3.9,3.3,2.7,2023-06-03 21:07:48.537651,yr
"$48,088 /yr (est.)",48088.0,2023 Entry Level CMF Designer,0,1,1,General Motors, MI,4.0,0,115,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.7,4.0,3.9,3.5,3.8,2023-06-03 21:07:53.650534,yr
"$58,000 /yr (est.)",58000.0,3D Character Artist,-1,-1,-1,Designity,Remote,4.4,1,8,51 to 200 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),4.6,4.3,4.6,4.5,4.4,2023-06-03 21:07:56.141825,yr
"$127,500 /yr (est.)",127500.0,Senior Texture Artist (Characters),5,1,1,Turtle Rock Studios, CA,4.2,0,14,51 to 200 Employees,2009,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.6,4.2,3.8,4.2,2023-06-03 21:07:57.872383,yr
"$232,500 /yr (est.)",232500.0,Lead Environment Artist,0,1,1,Applied Intuition, CA,3.8,0,6,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.4,3.9,4.2,4.1,3.0,2023-06-03 21:08:00.189213,yr
"$77,500 /yr (est.)",77500.0,Associate Medical Illustrator,0,1,0,Osso VR,Remote,5.0,1,7,201 to 500 Employees,2016,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,4.8,4.4,5.0,4.9,5.0,2023-06-03 21:08:06.132081,yr
"$85,000 /yr (est.)",85000.0,"Technical Artist, Flexi Game Engine",2,1,-1,Snail Games USA,Remote,3.0,1,14,51 to 200 Employees,2009,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,2.4,2.3,2.3,2.0,3.4,2023-06-03 21:08:08.280836,yr
"$80,000 /yr (est.)",80000.0,Visual Effects Artist (Games),3,1,1,SKYBOUND LLC,Remote,3.3,1,13,51 to 200 Employees,2010,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,2.7,2.5,2.6,2.6,2.4,2023-06-03 21:08:12.950014,yr
"$77,605 /yr (est.)",77605.0,"Artist , Environment - DCUO",5,1,1,Daybreak Games, TX,2.7,0,8,201 to 500 Employees,2015,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,2.7,3.0,2.9,2.2,3.3,2023-06-03 21:08:15.200785,yr
"$110,500 /yr (est.)",110500.0,Senior Material Artist,5,1,1,Intrepid Studios, CA,4.6,0,14,201 to 500 Employees,2009,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD),4.3,4.7,4.7,4.6,4.5,2023-06-03 21:08:17.591932,yr
"$39,794 /yr (est.)",39794.0,3-D Gaming Artist,-1,-1,-1,HII, FL,3.6,0,12,10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.6,3.6,3.2,3.2,3.5,2023-06-03 21:08:19.830840,yr
"$115,100 /yr (est.)",115100.0,Senior Weapon Artist,5,1,1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 21:08:22.058159,yr
$55.91 /hr (est.),116292.8,Assistant Art Director - Phineas & Ferb (Disney Television Animation),2,1,0,Disney, CA,3.9,0,100,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.6,3.7,3.9,3.3,3.4,2023-06-03 21:08:24.172841,hr
"$142,122 /yr (est.)",142122.0,Brand Consulting - Creative Director,10,1,1,Creative Artists Agency (CAA), CA,3.8,0,48,1001 to 5000 Employees,1975,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$500 million to $1 billion (USD),3.6,2.8,3.6,3.4,2.8,2023-06-03 21:08:26.402854,yr
"$110,500 /yr (est.)",110500.0,VFX Artist,3,1,-1,"Obsidian Entertainment, Inc.", CA,3.5,0,20,51 to 200 Employees,2003,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.2,3.5,3.0,3.6,2023-06-03 21:08:28.562345,yr
"$72,800 /yr (est.)",72800.0,Environment Artist,0,1,-1,Keywords Studios,Remote,3.9,1,25,10000+ Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$25 to $100 million (USD),3.8,3.4,4.1,3.8,4.1,2023-06-03 21:08:30.666496,yr
"$71,500 /yr (est.)",71500.0,VFX Artist,-1,-1,-1,NCSOFT, WA,3.7,0,26,501 to 1000 Employees,1997,Company - Public,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,2.8,3.6,3.1,2.7,3.5,2023-06-03 21:08:32.882021,yr
"$67,600 /yr (est.)",67600.0,Hair & Makeup Artist (Temporary),0,1,-1,Warner Bros. Discovery, NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 21:08:34.709914,yr
"$78,451 /yr (est.)",78451.0,Lead 3D Artist,0,1,1,Fortis Games, WA,4.4,0,2,201 to 500 Employees,2021,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,4.1,4.1,4.5,4.2,4.3,2023-06-03 21:08:37.232634,yr
"$59,388 /yr (est.)",59388.0,Senior Weapon / Prop Artist,4,1,1,ZeniMax Media Inc., TX,3.7,0,24,201 to 500 Employees,1999,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.4,3.7,3.2,3.9,2023-06-03 21:08:39.634502,yr
"$64,101 /yr (est.)",64101.0,Character Artist,3,1,1,ZeniMax Media Inc., TX,3.7,0,24,201 to 500 Employees,1999,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.4,3.7,3.2,3.9,2023-06-03 21:08:41.694593,yr
"$66,959 /yr (est.)",66959.0,Lead Concept Artist - New Game,5,1,1,Zynga, TX,4.4,0,16,1001 to 5000 Employees,2007,Company - Public,Video Game Publishing,Media & Communication,$500 million to $1 billion (USD),4.3,4.1,4.6,3.9,4.3,2023-06-03 21:08:43.888500,yr
