Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$60,000 /yr (est.)",60000.0,3D Character Artist,3,2,1,Spacetime Studios,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:08:09.832541,yr
"$49,000 /yr (est.)",49000.0,Junior 3D Artist [mobile video games],2,1,0,FUN-GI GAMES, CA,-1,0,9,1 to 50 Employees,2014,Company - Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-06-03 19:08:19.629351,yr
"$62,566 /yr (est.)",62566.0,Character Artist,3,1,1,Arkane Studios, TX,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.9,3.8,3.4,3.9,2023-06-03 19:08:23.930768,yr
"$100,000 /yr (est.)",100000.0,Gameplay Programmer,3,2,-1,Easy Games,Remote,4.7,1,3,1 to 50 Employees,2020,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-06-03 19:08:26.954056,yr
"$91,725 /yr (est.)",91725.0,Unity Game Developer,3,1,-1,TapBlaze, CA,5.0,0,11,1 to 50 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-06-03 19:08:28.967055,yr
"$107,336 /yr (est.)",107336.0,Technical Game Designer,0,2,-1,Funovus, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:08:32.075766,yr
$40.00 /hr (est.),83200.0,Video Game Level Designer,3,2,-1,Cold Symmetry,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:08:37.083711,hr
"$69,250 /yr (est.)",69250.0,Senior Game Artist,5,1,0,Light & Wonder, NV,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.5,3.7,3.2,3.7,2023-06-03 19:08:42.055758,yr
$37.50 /hr (est.),78000.0,Creative Production Artist,0,2,-1,Midnight Oil, CA,2.8,0,45,201 to 500 Employees,1978,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),2.6,3.0,3.0,2.4,2.9,2023-06-03 19:08:45.045409,hr
"$59,856 /yr (est.)",59856.0,Unreal Artist (Architectural Visualization),5,1,-1,Neoscape, MA,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.1,3.8,4.7,4.4,4.0,2023-06-03 19:08:55.225104,yr
"$108,576 /yr (est.)",108576.0,Lead Character Concept Artist - Disney Games,8,1,1,Disney, CA,3.9,0,100,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.6,3.7,3.9,3.3,3.4,2023-06-03 19:09:08.233911,yr
"$171,150 /yr (est.)",171150.0,Senior Concept Artist,0,1,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 19:09:13.720416,yr
"$53,500 /yr (est.)",53500.0,3D Artist,0,1,-1,"Metropolitan Industries, Inc.", IL,1.0,0,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,2023-06-03 19:09:15.922444,yr
"$140,000 /yr (est.)",140000.0,"Senior Environment Artist, P12",3,1,1,"Cryptic Studios, Inc.", CA,3.4,0,23,51 to 200 Employees,2000,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.1,3.1,3.7,3.0,4.0,2023-06-03 19:09:19.322269,yr
"$89,739 /yr (est.)",89739.0,Artist II (NST),2,1,-1,Nintendo, WA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.3,4.4,4.2,4.1,2023-06-03 19:09:24.955529,yr
"$95,530 /yr (est.)",95530.0,Technical Artist,3,1,-1,Funovus, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:09:28.139251,yr
$25.00 /hr (est.),52000.0,Receptionist,3,1,1,UnitedMasters, NY,3.9,0,6,51 to 200 Employees,2017,Company - Private,Broadcast Media,Media & Communication,Unknown / Non-Applicable,3.8,4.0,3.9,3.5,3.6,2023-06-03 19:09:33.223445,hr
"$115,595 /yr (est.)",115595.0,3D Artist,5,1,1,HTC.com, WA,3.7,0,26,10000+ Employees,1997,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.2,3.4,3.4,3.1,3.6,2023-06-03 19:09:38.741397,yr
"$45,341 /yr (est.)",45341.0,Outsourcing Character Artist 2,5,1,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 19:09:51.360076,yr
"$148,720 /yr (est.)",148720.0,Lead Artist,4,2,1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 19:09:53.638278,yr
"$65,000 /yr (est.)",65000.0,Level Artist (Unreal),0,2,1,Serenity Forge, CO,2.9,0,-1,-1,-1,-1,-1,-1,-1,2.4,1.0,2.8,2.1,2.8,2023-06-03 19:10:03.552780,yr
"$55,000 /yr (est.)",55000.0,3D Artist,3,1,1,GROVER GAMING, NC,4.5,0,10,201 to 500 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),4.4,4.2,4.6,4.4,4.4,2023-06-03 19:10:06.609003,yr
$28.50 /hr (est.),59280.0,Gameplay Animator,0,2,1,SKYBOUND LLC,Remote,3.3,1,13,51 to 200 Employees,2010,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,2.7,2.5,2.6,2.6,2.4,2023-06-03 19:10:09.185252,hr
"$81,225 /yr (est.)",81225.0,Technical Artist,0,1,1,Stan’s Assets, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:10:11.659788,yr
$31.15 /hr (est.),64792.0,"Amazon Robotics - Technical Artist Co-op - July to December 2023, Virtual Systems",0,1,-1,Amazon.com Services LLC, MA,3.8,0,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-06-03 19:10:20.265932,hr
"$102,300 /yr (est.)",102300.0,Gameplay Animator,3,2,-1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 19:10:22.906250,yr
