Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$57,669 /yr (est.)",57669.0,2D Artist,3,2,-1,"Lionheart Games, LLC", GA,3.2,0,4,1 to 50 Employees,2019,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.2,2.7,2.9,2023-06-03 21:29:02.541402,yr
"$66,450 /yr (est.)",66450.0,ROBLOX- 3D Artist,3,1,1,"Jazplus, LLC", CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:29:09.162513,yr
$75.00 /hr (est.),156000.0,3D Artist (broadcast),3,2,-1,Createch, NY,4.2,0,30,201 to 500 Employees,1993,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD),3.9,3.6,4.3,4.2,4.3,2023-06-03 21:29:14.086174,hr
"$64,101 /yr (est.)",64101.0,Character Artist,-1,-1,-1,ZeniMax Media Inc., TX,3.7,0,24,201 to 500 Employees,1999,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.4,3.7,3.2,3.9,2023-06-03 21:29:16.150236,yr
"$87,204 /yr (est.)",87204.0,Senior Character Technical Artist,5,2,0,Warner Bros. Discovery, UT,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 21:29:18.726213,yr
"$67,055 /yr (est.)",67055.0,Senior Character Artist,0,2,1,Ember Lab, CA,3.1,0,-1,-1,-1,-1,-1,-1,-1,1.7,3.1,3.3,3.3,5.0,2023-06-03 21:29:20.894938,yr
"$91,365 /yr (est.)",91365.0,Senior Character Artist,5,1,0,Ubisoft, NC,3.8,0,37,10000+ Employees,1986,Company - Public,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.6,3.1,3.9,3.3,4.2,2023-06-03 21:29:23.996617,yr
"$56,184 /yr (est.)",56184.0,Character Tech Artist,2,2,0,SuperGenius, OR,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.5,5.0,4.5,4.8,2023-06-03 21:29:26.181545,yr
"$188,500 /yr (est.)",188500.0,Lead Character Concept Artist,5,1,1,That's No Moon Entertainment, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:29:29.136227,yr
"$55,245 /yr (est.)",55245.0,Game Artist,0,2,1,Cosmic Games ULC, TX,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 21:29:34.174331,yr
"$122,881 /yr (est.)",122881.0,Senior Character Artist (Contract),5,1,1,PlayStation Global, CA,3.9,0,29,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$10+ billion (USD),3.4,3.7,3.9,3.4,3.7,2023-06-03 21:29:37.345004,yr
"$80,000 /yr (est.)",80000.0,Concept Artist (Full-Time),0,1,-1,"GungHo Online Entertainment America, Inc.", CA,3.7,0,11,1 to 50 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.0,3.9,2.8,3.5,2023-06-03 21:29:39.670870,yr
"$171,150 /yr (est.)",171150.0,Senior Concept Artist,0,1,1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 21:29:42.004889,yr
"$80,964 /yr (est.)",80964.0,Character Designer,3,1,-1,Super Evil Megacorp, CA,3.8,0,11,51 to 200 Employees,2012,Company - Private,Video Game Publishing,Media & Communication,$5 to $25 million (USD),3.8,3.3,3.9,3.7,3.7,2023-06-03 21:29:44.068966,yr
"$154,600 /yr (est.)",154600.0,Senior/Principal Concept Artist (Character),8,2,1,Tencent,California,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 21:29:46.153089,yr
"$89,739 /yr (est.)",89739.0,Artist II (NST),2,1,-1,Nintendo, WA,4.6,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.3,4.4,4.2,4.1,2023-06-03 21:29:48.212332,yr
