Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$42.48 /hr (est.),88358.4,Environment Technical Artist – Unannounced Survival Game,5,1,-1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 21:35:01.713243,hr
"$65,000 /yr (est.)",65000.0,Level Artist (Unreal),0,2,1,Serenity Forge, CO,2.9,0,-1,-1,-1,-1,-1,-1,-1,2.4,1.0,2.8,2.1,2.8,2023-06-03 21:35:04.076942,yr
"$130,000 /yr (est.)",130000.0,Lead Environment Artist,5,1,1,Survios, CA,3.6,0,10,51 to 200 Employees,2013,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.7,2.6,4.2,2023-06-03 21:35:06.942779,yr
"$157,500 /yr (est.)",157500.0,Lead Concept Artist (Environment),7,2,1,Turtle Rock Studios, CA,4.2,0,14,51 to 200 Employees,2009,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.8,4.6,4.2,3.8,4.2,2023-06-03 21:35:13.065325,yr
"$166,620 /yr (est.)",166620.0,Lead Environment Artist,7,1,1,Wizards of the Coast, NC,2.9,0,24,1001 to 5000 Employees,1999,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),2.4,2.8,2.8,2.2,3.0,2023-06-03 21:35:15.179328,yr
"$48,278 /yr (est.)",48278.0,Scenic Artist- Themed Environment,2,2,-1,DCL Design Communications, FL,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:35:17.612841,yr
"$115,100 /yr (est.)",115100.0,Senior Environment Artist - Unannounced Survival Game,8,1,1,Blizzard Entertainment, CA,3.6,0,32,1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$1 to $5 billion (USD),3.3,3.2,3.6,2.9,3.8,2023-06-03 21:35:22.784010,yr
"$98,927 /yr (est.)",98927.0,Lead Environment Artist - VR,5,2,1,SKYDANCE, CA,3.8,0,13,51 to 200 Employees,2010,Company - Private,Film Production,Media & Communication,$1 to $5 million (USD),3.8,3.4,3.7,3.3,3.5,2023-06-03 21:35:27.257039,yr
"$110,500 /yr (est.)",110500.0,VFX Artist,3,1,-1,"Obsidian Entertainment, Inc.", CA,3.5,0,20,51 to 200 Employees,2003,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.1,3.2,3.5,3.0,3.6,2023-06-03 21:35:29.354185,yr
"$157,500 /yr (est.)",157500.0,Lead Environment Concept Artist,5,1,1,That's No Moon Entertainment, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:35:31.342308,yr
