Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$112,500 /yr (est.)",112500.0,ETL Informatica Developer,10,1,-1,AKT Corp,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:42:29.056116,yr
"$71,142 /yr (est.)",71142.0,Junior Software Developer - Remote,1,1,1,"Agile5 Technologies, Inc.
4.8","Fairmont, WV",4.8,0,-1,-1,-1,-1,-1,-1,-1,4.8,4.0,4.8,4.6,4.8,2023-06-03 21:42:37.234809,yr
"$175,579 /yr (est.)",175579.0,Blockchain Developer,0,1,1,x137Labs,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:42:41.418780,yr
"$70,000 /yr (est.)",70000.0,SQL BI Developer (PAID TRAINING),3,1,-1,"PCS Globaltech
4.7","Santa Cruz, CA",4.7,0,-1,-1,-1,-1,-1,-1,-1,4.6,4.5,4.6,4.6,4.2,2023-06-03 21:42:46.550773,yr
"$88,136 /yr (est.)",88136.0,ETL Developer,2,1,0,"Food City
3.7","Chattanooga, TN",3.7,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.5,4.2,3.3,3.8,2023-06-03 21:42:49.777412,yr
"$85,000 /yr (est.)",85000.0,Database Developer,3,1,-1,CoreBridge,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:42:53.001244,yr
$42.50 /hr (est.),88400.0,Software Developer I,3,-1,-1,Zaportiv,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:42:57.876176,hr
"$67,500 /yr (est.)",67500.0,PHP Developer,0,1,-1,Lean Discovery Group,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:43:02.711063,yr
"$100,000 /yr (est.)",100000.0,Mid Level UI Developer - Front End,3,1,-1,Lincoln Heritage Life Insurance Company,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:43:10.977445,yr
$80.00 /hr (est.),166400.0,Power BI Developer,3,1,0,"CFONE, Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 21:43:15.975357,hr
"$75,000 /yr (est.)",75000.0,Wordpress Developer,2,1,1,"SiteCare
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,4.0,5.0,4.0,3.0,2023-06-03 21:43:20.921242,yr
