Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$53,231 /yr (est.)",53231.0,Training Specialist -Direct Marketing,0,1,0,Hilton Grand Vacations, NV,3.8,0,31,5001 to 10000 Employees,1992,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,3.7,3.9,3.8,3.6,3.7,2023-06-03 21:57:42.578534,yr
"$77,401 /yr (est.)",77401.0,Assoc Training Specialist,2,1,0,Exelon Corporation, PA,4.0,0,23,10000+ Employees,2000,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.8,4.0,3.9,3.6,3.4,2023-06-03 21:57:46.831185,yr
"$72,110 /yr (est.)",72110.0,Learning and Organizational Development Specialist (Hybrid/Remote),3,1,1,Northwell Health, NY,4.0,0,26,10000+ Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.8,3.8,3.9,3.5,3.5,2023-06-03 21:57:51.193222,yr
$42.39 /hr (est.),88171.2,Training Specialist - 2491 (No C2C - W2 only),3,1,1,Bridgewater Consulting Group,Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,2.7,3.2,3.3,3.6,3.1,2023-06-03 21:57:53.245188,hr
$28.60 /hr (est.),59488.0,Training Specialist,10,1,1,Harris County, TX,3.4,0,187,10000+ Employees,1836,Government,Municipal Agencies,Government & Public Administration,Less than $1 million (USD),3.0,3.5,2.9,2.6,3.1,2023-06-03 21:57:56.301535,hr
"$75,000 /yr (est.)",75000.0,ONBOARDING AND TRAINING SPECIALIST - REMOTE,5,1,0,Chartwells Higher Education, NC,3.6,0,26,10000+ Employees,1997,Subsidiary or Business Segment,Catering & Food Service Contractors,Restaurants & Food Service,Unknown / Non-Applicable,3.4,3.1,3.4,3.1,3.4,2023-06-03 21:58:06.042916,yr
"$75,000 /yr (est.)",75000.0,Enrollment Specialist---TRAINING PROVIDED!!!,1,2,0,Aflac, FL,3.8,0,68,10000+ Employees,1955,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.7,3.8,3.9,3.5,3.8,2023-06-03 21:58:12.119609,yr
"$63,925 /yr (est.)",63925.0,Training and Development Specialist,0,2,1,HITACHI ENERGY USA INC, VA,4.0,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.5,4.0,3.5,4.0,2023-06-03 21:58:14.246292,yr
"$64,500 /yr (est.)",64500.0,Training Specialist,3,1,0,BW Flexible Systems,Remote,3.5,1,104,1001 to 5000 Employees,1919,Company - Private,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),2.6,2.8,3.4,2.9,3.7,2023-06-03 21:58:17.460457,yr
"$70,000 /yr (est.)",70000.0,EHR Training Specialist - RCM/Billing,4,1,1,Office Practicum,Remote,3.3,1,31,201 to 500 Employees,1992,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),3.6,3.6,3.5,3.4,3.9,2023-06-03 21:58:19.853844,yr
"$76,357 /yr (est.)",76357.0,Training Specialist / Sr. Training Specialist,4,1,1,Brookhaven National Laboratory, NY,3.8,0,76,1001 to 5000 Employees,1947,Government,National Agencies,Government & Public Administration,$500 million to $1 billion (USD),3.5,3.6,3.6,3.1,3.7,2023-06-03 21:58:22.055520,yr
