Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$111,479 /yr (est.)",111479.0,Simulation Platform – Senior Software Engineer- Remote,5,1,1,Ford Motor Company, MI,4.1,0,120,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.8,4.0,3.9,3.5,3.9,2023-06-03 22:03:42.476195,yr
"$79,813 /yr (est.)",79813.0,Programmer Analyst,-1,-1,-1,"Transportation Research Center, Inc.", OH,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.5,3.3,3.2,3.5,2023-06-03 22:03:44.521400,yr
"$124,400 /yr (est.)",124400.0,Application Development Advisor - Remote,3,1,1,The Cigna Group, CT,3.7,0,158,10000+ Employees,1865,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.6,3.6,3.8,3.4,3.8,2023-06-03 22:03:47.170641,yr
"$59,274 /yr (est.)",59274.0,Robotic Programmer,2,1,-1,Jacobs, MI,4.0,0,76,10000+ Employees,1947,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$10+ billion (USD),3.9,3.6,4.1,3.7,3.9,2023-06-03 22:03:49.169823,yr
"$69,709 /yr (est.)",69709.0,Software Engineer I/II - Scientific Python Developer,-1,-1,-1,University Corporation for Atmospheric Research, CO,3.2,0,72,1001 to 5000 Employees,1951,Nonprofit Organization,Research & Development,Management & Consulting,$100 to $500 million (USD),3.1,3.4,3.3,2.4,3.4,2023-06-03 22:03:54.653349,yr
"$65,134 /yr (est.)",65134.0,Junior Back-End Web-Application Developer,1,1,0,American Electronic Warfare Associates, MD,4.2,0,40,201 to 500 Employees,1983,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,3.9,4.0,4.3,3.9,4.2,2023-06-03 22:04:00.150867,yr
"$95,878 /yr (est.)",95878.0,Application Software Developer,7,1,-1,"Applied Research Associates, Inc", VA,4.2,0,44,1001 to 5000 Employees,1979,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),4.0,4.0,4.3,4.1,4.3,2023-06-03 22:04:02.669054,yr
"$142,350 /yr (est.)",142350.0,"Software QA Engineer, Autopilot Simulation",2,1,-1,Tesla, CA,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,2023-06-03 22:04:04.941680,yr
"$205,700 /yr (est.)",205700.0,Principal/Senior Vehicle AI/Gameplay Programmer,0,1,-1,Tencent, CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-03 22:04:12.717221,yr
"$137,056 /yr (est.)",137056.0,Software Engineer (Simulation),2,2,1,Remedy Robotics, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:04:14.731286,yr
"$169,791 /yr (est.)",169791.0,Modeling and Simulation Software Engineer,0,1,1,Lawrence Livermore National Laboratory, CA,4.4,0,71,5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD),4.3,4.0,4.3,4.1,4.5,2023-06-03 22:04:19.882166,yr
