Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$49,012 /yr (est.)",49012.0,Training/HR Coordinator,0,1,1,"Schneider Electric
4.2", TN,4.2,0,187,10000+ Employees,1836,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),4.0,3.9,4.2,3.8,3.9,2023-06-03 22:10:33.005097,yr
"$55,487 /yr (est.)",55487.0,Corporate Training & Development Coordinator,3,1,1,"Hoskin Ryan
3.8", TX,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.6,3.6,3.8,3.1,2023-06-03 22:10:35.007357,yr
"$58,144 /yr (est.)",58144.0,Training Coordinator,0,1,1,"V2Soft
4.0", MI,4.0,0,25,1001 to 5000 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),4.1,4.0,3.8,3.8,4.1,2023-06-03 22:10:38.074754,yr
"$75,000 /yr (est.)",75000.0,Retail Training Coordinator- West Coast,4,2,1,"Loewe
4.2", CA,4.2,0,177,201 to 500 Employees,1846,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$25 to $100 million (USD),3.6,3.6,4.0,3.7,3.6,2023-06-03 22:10:40.231551,yr
"$49,988 /yr (est.)",49988.0,Training Coordinator,0,1,-1,"American Regent, Inc.
3.3", OH,3.3,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.5,3.2,2.8,3.5,2023-06-03 22:10:42.073817,yr
"$39,890 /yr (est.)",39890.0,TRAINING COORDINATOR - DC,2,2,-1,"Dollar General
2.7", GA,2.7,0,84,10000+ Employees,1939,Company - Public,Other Retail Stores,Retail & Wholesale,$10+ billion (USD),2.9,2.5,2.6,2.5,2.3,2023-06-03 22:10:45.002238,yr
"$46,115 /yr (est.)",46115.0,Training Coordinator (Remote),0,1,1,"Keystone Peer Review Organization, Inc.
3.2", TN,3.2,0,38,501 to 1000 Employees,1985,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.0,2.9,2.9,2.9,3.3,2023-06-03 22:10:46.910114,yr
"$75,000 /yr (est.)",75000.0,eVA P2P Support Manager & Training Coordinator - P0154,0,1,1,"Department of General Services
3.6", VA,3.6,0,-1,-1,-1,-1,-1,-1,-1,2.8,3.3,3.7,3.7,4.3,2023-06-03 22:10:48.975272,yr
$38.50 /hr (est.),80080.0,Technical Training Developer – Project Coordinator (Remote – Harrisburg PA),3,1,1,"Stage 4 Solutions Inc
4.6", PA,4.6,0,22,51 to 200 Employees,2001,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),4.6,4.2,4.5,4.6,4.5,2023-06-03 22:10:58.747209,hr
$19.00 /hr (est.),39520.0,HR Coordinator | Paid Training,0,1,0,"Behavior Matters
2.6", CA,2.6,0,-1,-1,-1,-1,-1,-1,-1,3.1,2.9,2.8,2.6,2.9,2023-06-03 22:11:01.019587,hr
