Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$175,500 /yr (est.)",175500.0,"Director, Interactive Storytelling - National Geographic",8,1,1,"Disney
3.9", DC,3.9,0,6,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.6,3.7,3.9,3.3,3.4,2023-06-03 22:40:00.847739,yr
"$77,283 /yr (est.)",77283.0,Instructional Designer,0,1,-1,"InfoQuest Consulting Group Inc.
4.5", NC,4.5,0,-1,-1,-1,-1,-1,-1,-1,4.5,4.1,4.5,4.3,3.1,2023-06-03 22:40:03.517692,yr
"$59,996 /yr (est.)",59996.0,Associate Digital Designer,3,1,0,"Pacsun
3.4", CA,3.4,0,43,5001 to 10000 Employees,1980,Subsidiary or Business Segment,"Department, Clothing & Shoe Stores",Retail & Wholesale,$500 million to $1 billion (USD),3.1,2.8,3.4,3.0,3.3,2023-06-03 22:40:06.609911,yr
"$208,000 /yr (est.)",208000.0,Senior Visual & Motion Designer,4,2,1,"Nike
4.2", CA,4.2,0,51,10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.9,4.1,3.6,3.8,2023-06-03 22:40:08.893766,yr
"$78,123 /yr (est.)",78123.0,"Digital Designer (Plano, TX)",5,2,1,"Alkami Technology
4.0", TX,4.0,0,14,501 to 1000 Employees,2009,Company - Public,Banking & Lending,Financial Services,$25 to $100 million (USD),4.0,3.8,4.1,3.9,4.1,2023-06-03 22:40:17.168103,yr
"$49,000 /yr (est.)",49000.0,Junior 3D Artist [mobile video games],-1,-1,-1,-1, CA,-1,0,9,1 to 50 Employees,2014,Company - Private,Video Game Publishing,Media & Communication,$1 to $5 million (USD),-1,-1,-1,-1,-1,2023-06-03 22:40:25.694137,yr
"$89,477 /yr (est.)",89477.0,Visual UX Designer,3,1,0,"Mercedes-Benz R&D North America
4.2", CA,4.2,0,137,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,3.6,4.0,3.9,3.7,4.0,2023-06-03 22:40:30.426913,yr
"$78,982 /yr (est.)",78982.0,Interactive Web Designer,-1,-1,-1,"Steadfast Creative
4.3", TX,4.3,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.5,4.5,2.9,5.0,2023-06-03 22:40:35.966267,yr
"$79,643 /yr (est.)",79643.0,3D Artist and Interactive Designer,0,1,-1,"Polygon Labs
3.5", NY,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.0,2.7,3.5,3.7,2.8,2023-06-03 22:40:38.640886,yr
"$72,544 /yr (est.)",72544.0,Digital Designer,3,1,1,"Nebo Agency
3.9", GA,3.9,0,19,51 to 200 Employees,2004,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.5,3.9,4.4,3.6,4.0,2023-06-03 22:40:41.538149,yr
"$125,991 /yr (est.)",125991.0,UI Artist,2,1,-1,"Epic Games
4.2", NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 22:40:43.823677,yr
"$140,000 /yr (est.)",140000.0,Head of Brand & Creative,4,2,1,"Verbit
3.5",Remote,3.5,1,6,501 to 1000 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.3,3.1,3.3,3.0,3.7,2023-06-03 22:40:46.000562,yr
"$65,000 /yr (est.)",65000.0,Social Media Specialist,0,2,1,"Vagaro
3.6", CA,3.6,0,14,201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.7,3.5,3.9,3.3,3.3,2023-06-03 22:40:48.396602,yr
$33.30 /hr (est.),69264.0,Instructional Designer [contract],5,1,-1,"U.S. LawShield
2.4",Remote,2.4,1,14,201 to 500 Employees,2009,Company - Private,Legal,Legal,$100 to $500 million (USD),2.5,2.8,2.2,2.2,2.3,2023-06-03 22:40:50.753518,hr
"$39,856 /yr (est.)",39856.0,Jr. Graphic Designer,3,1,1,"ASM Global
3.5", TX,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.0,3.3,3.3,3.3,2023-06-03 22:40:52.930666,yr
"$70,000 /yr (est.)",70000.0,"Creative Strategist, Vox Creative (Evergreen Job)",2,1,-1,"Vox Media, LLC
3.6", NY,3.6,0,15,501 to 1000 Employees,2008,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,3.5,3.6,3.8,3.3,3.7,2023-06-03 22:41:03.563679,yr
"$78,495 /yr (est.)",78495.0,Experiential Designer,5,1,1,"IA Interior Architects
4.0", MA,4.0,0,39,501 to 1000 Employees,1984,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $100 million (USD),3.9,3.9,3.9,3.6,3.7,2023-06-03 22:41:06.186691,yr
"$52,861 /yr (est.)",52861.0,Graphic Designer,2,2,-1,Milked Media, CA,-1,0,5,1 to 50 Employees,2018,Company - Public,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-06-03 22:41:08.196955,yr
"$166,573 /yr (est.)",166573.0,"Senior Animation Technical Designer, Fortnite",0,2,1,"Epic Games
4.2", NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 22:41:12.303952,yr
$25.50 /hr (est.),53040.0,Associate Web Designer/Developer,0,1,-1,Ideatech Creatives, AZ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:41:14.759442,hr
$31.04 /hr (est.),64563.2,Digital Graphic Designer,4,1,0,"City of Austin
3.8", TX,3.8,0,184,10000+ Employees,1839,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,3.6,3.7,3.4,2.8,3.8,2023-06-03 22:41:19.783444,hr
"$125,000 /yr (est.)",125000.0,Creative Director,0,1,1,"Love & Company
3.0",Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,3.3,3.8,2.9,2.9,3.5,2023-06-03 22:41:22.257503,yr
"$66,499 /yr (est.)",66499.0,Senior Designer - Remote,0,1,1,"The Jackson Laboratory
3.8",Remote,3.8,1,94,1001 to 5000 Employees,1929,Nonprofit Organization,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.9,3.9,3.7,3.2,3.5,2023-06-03 22:41:25.735332,yr
"$110,000 /yr (est.)",110000.0,Unity Interactive Developer (FT),10,1,1,"PSI Proteam Solutions Inc,",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:41:38.924969,yr
"$87,095 /yr (est.)",87095.0,Senior Instructional Designer - Learning Architect - Hybrid,0,1,-1,"GP Strategies Corporation
3.5", CT,3.5,0,57,1001 to 5000 Employees,1966,Company - Public,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),2.9,2.9,3.3,3.1,3.7,2023-06-03 22:41:44.442813,yr
"$55,000 /yr (est.)",55000.0,Web Designer,3,1,1,"Geniqom Technologies
5.0", NY,5.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.0,4.0,5.0,5.0,2023-06-03 22:41:46.978385,yr
"$116,979 /yr (est.)",116979.0,Instructional Designer/Web-Based Training Developer - Flex Term,0,1,1,"Lawrence Livermore National Laboratory
4.4", CA,4.4,0,71,5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD),4.3,4.0,4.3,4.1,4.5,2023-06-03 22:41:50.266490,yr
"$81,011 /yr (est.)",81011.0,Senior Instructional Designer - REMOTE,-1,-1,-1,"Molina Healthcare
3.4", CA,3.4,0,43,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.2,3.5,3.4,3.0,3.4,2023-06-03 22:42:01.137751,yr
"$75,000 /yr (est.)",75000.0,Graphic Designer,3,2,1,"Apartment Therapy Media
3.2", NY,3.2,0,-1,-1,-1,-1,-1,-1,-1,2.9,3.2,3.0,2.5,3.8,2023-06-03 22:42:03.242288,yr
$22.50 /hr (est.),46800.0,Production Specialist (Research Assistant/Proofreader/Quality Assurance),0,1,0,"Sonata Learning, Inc.",Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:42:06.980846,hr
"$108,000 /yr (est.)",108000.0,Learning Experience Designer,3,1,1,"Contentful
3.9", CO,3.9,0,10,501 to 1000 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.7,3.9,4.0,3.5,4.0,2023-06-03 22:42:12.333709,yr
"$55,000 /yr (est.)",55000.0,Web Designer,1,1,1,zivahh, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:42:14.904085,yr
"$85,127 /yr (est.)",85127.0,UI/UX Designer (Virtual + Augmented Reality),0,1,-1,Three Space Lab, MA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:42:20.404138,yr
"$51,639 /yr (est.)",51639.0,Creative Designer,0,1,1,"Utah Valley University
4.1", UT,4.1,0,82,1001 to 5000 Employees,1941,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.4,3.3,4.0,3.6,4.3,2023-06-03 22:42:25.695472,yr
"$148,523 /yr (est.)",148523.0,UI Technical Designer,6,1,-1,"Epic Games
4.2", NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 22:42:28.183993,yr
"$68,038 /yr (est.)",68038.0,Senior Integrated Graphic Designer,5,1,1,"Salt River Project
4.1", AZ,4.1,0,120,1001 to 5000 Employees,1903,Government,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.5,3.9,3.9,3.4,4.0,2023-06-03 22:42:30.702387,yr
"$46,309 /yr (est.)",46309.0,Graphic Designer,-1,-1,-1,"Slayden
2.5", OR,2.5,0,-1,-1,-1,-1,-1,-1,-1,2.0,3.3,2.9,2.3,2.8,2023-06-03 22:42:33.189794,yr
"$70,878 /yr (est.)",70878.0,Graphic Designer,5,1,1,"SAP
4.4", CA,4.4,0,51,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),4.1,4.0,4.5,4.0,4.3,2023-06-03 22:42:36.689260,yr
"$66,526 /yr (est.)",66526.0,UX/UI Designer,5,1,0,"University of Maryland
4.2", MD,4.2,0,167,10000+ Employees,1856,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.6,4.1,3.8,3.9,2023-06-03 22:42:39.289060,yr
"$77,244 /yr (est.)",77244.0,Learning Experience Designer,3,1,1,"Crunchyroll
3.1", CA,3.1,0,17,1001 to 5000 Employees,2006,Subsidiary or Business Segment,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,2.9,3.4,3.1,2.7,3.1,2023-06-03 22:42:45.497952,yr
$26.50 /hr (est.),55120.0,Designer,0,1,-1,"Jazz at Lincoln Center
3.6", NY,3.6,0,27,51 to 200 Employees,1996,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$25 to $100 million (USD),3.1,2.8,3.6,3.0,3.8,2023-06-03 22:42:48.184252,hr
"$182,500 /yr (est.)",182500.0,Product Designer,2,1,-1,"Substack
4.8", CA,4.8,0,6,51 to 200 Employees,2017,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable,4.6,4.4,4.8,4.8,4.9,2023-06-03 22:42:51.052974,yr
$55.29 /hr (est.),115003.2,Senior E-Learning Content Designer,-1,-1,-1,Oxygen, WA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:43:00.534436,hr
"$115,000 /yr (est.)",115000.0,"Sr. Interactive Designer, Ad Innovation",5,1,0,"Dow Jones
3.9", NY,3.9,0,141,5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),3.6,3.7,3.9,3.3,4.1,2023-06-03 22:43:06.301755,yr
"$122,500 /yr (est.)",122500.0,Senior Graphic Designer,0,2,1,"Dimensional Fund Advisors
3.7", TX,3.7,0,42,1001 to 5000 Employees,1981,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),3.3,3.4,3.6,3.1,4.2,2023-06-03 22:43:09.000948,yr
"$76,942 /yr (est.)",76942.0,Learning Experience Designer,4,1,-1,"allen interactions
3.5", MN,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.3,3.5,2.8,3.4,2023-06-03 22:43:15.664744,yr
"$61,485 /yr (est.)",61485.0,Web Designer,2,1,1,"Mt. San Antonio College
4.6", CA,4.6,0,77,1001 to 5000 Employees,1946,College / University,Colleges & Universities,Education,$5 to $25 million (USD),4.1,4.0,4.5,4.0,4.3,2023-06-03 22:43:19.011892,yr
"$75,000 /yr (est.)",75000.0,Graphic Designer,3,2,1,"Apartment Therapy Media
3.2", NY,3.2,0,-1,-1,-1,-1,-1,-1,-1,2.9,3.2,3.0,2.5,3.8,2023-06-03 22:43:33.866573,yr
"$75,000 /yr (est.)",75000.0,Instructional Designer I,5,2,1,"Embry-Riddle Aeronautical University
4.1",Remote,4.1,1,-1,-1,-1,-1,-1,-1,-1,2.9,3.2,3.0,2.5,3.8,2023-06-03 22:43:37.415911,yr
"$59,306 /yr (est.)",59306.0,Web Designer,9,1,-1,"Alliance Computer Consultants
5.0", NY,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 22:43:55.097231,yr
$26.50 /hr (est.),55120.0,Designer,0,1,-1,"Jazz at Lincoln Center
3.6", NY,3.6,0,27,51 to 200 Employees,1996,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$25 to $100 million (USD),3.1,2.8,3.6,3.0,3.8,2023-06-03 22:43:58.614791,hr
"$76,942 /yr (est.)",76942.0,Learning Experience Designer,4,1,-1,"allen interactions
3.5", MN,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.3,3.5,2.8,3.4,2023-06-03 22:44:01.416386,yr
