Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$80,451 /yr (est.)",80451.0,Associate Software Engineer,1,1,0,Warner Bros. Discovery, UT,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:53:30.639669,yr
"$113,413 /yr (est.)",113413.0,"VP, Communications – Games",10,1,1,SKYDANCE, CA,3.8,0,13,51 to 200 Employees,2010,Company - Private,Film Production,Media & Communication,$1 to $5 million (USD),3.8,3.4,3.7,3.3,3.5,2023-06-03 22:53:45.862267,yr
"$103,200 /yr (est.)",103200.0,"Manager, Creative Growth Strategy",6,1,1,Warner Bros. Discovery, CA,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:53:51.317664,yr
"$70,878 /yr (est.)",70878.0,Graphic Designer,5,1,1,SAP, CA,4.4,0,51,10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),4.1,4.0,4.5,4.0,4.3,2023-06-03 22:53:53.382578,yr
"$79,134 /yr (est.)",79134.0,Consumer Insight Sr Analyst- (Part-time) (CR),3,2,1,Disney, FL,3.9,0,100,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.6,3.7,3.9,3.3,3.4,2023-06-03 22:53:57.730554,yr
"$68,662 /yr (est.)",68662.0,Sr. Weather Producer - Local Now,5,1,1,Weather Group Television LLC, GA,3.1,0,42,201 to 500 Employees,1981,Company - Private,Broadcast Media,Media & Communication,$25 to $100 million (USD),3.1,3.4,2.8,2.6,3.0,2023-06-03 22:53:59.848917,yr
"$142,500 /yr (est.)",142500.0,"Director, Partner Marketing",8,1,1,Warner Bros. Discovery, CA,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:54:01.852194,yr
"$175,000 /yr (est.)",175000.0,"Creative Director, Luxury, Lifestyle and B2C",10,1,1,Dow Jones, NY,3.9,0,141,5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),3.6,3.7,3.9,3.3,4.1,2023-06-03 22:54:03.956733,yr
$20.50 /hr (est.),42640.0,Costumed Interperters,0,1,1,Lower East Side Tenement Museum, NY,2.8,0,-1,-1,-1,-1,-1,-1,-1,1.9,2.0,3.6,2.2,2.9,2023-06-03 22:54:06.372186,hr
"$64,657 /yr (est.)",64657.0,UX Designer (Apex Legends),3,2,1,Electronic Arts, WI,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:54:09.620060,yr
"$65,223 /yr (est.)",65223.0,Associate Designer (Temp),0,2,0,Warner Bros. Discovery, IL,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:54:11.654851,yr
"$64,480 /yr (est.)",64480.0,Campaign Management Coordinator,2,2,1,Warner Bros. Discovery, NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:54:13.762226,yr
"$68,038 /yr (est.)",68038.0,Senior Integrated Graphic Designer,5,1,1,Salt River Project, AZ,4.1,0,120,1001 to 5000 Employees,1903,Government,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),3.5,3.9,3.9,3.4,4.0,2023-06-03 22:54:16.048030,yr
$45.00 /hr (est.),93600.0,History Walking Tour Guide,0,1,1,Junket, HI,5.0,0,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-03 22:54:18.078315,hr
"$56,375 /yr (est.)",56375.0,Senior Workplace Coordinator,2,2,0,Electronic Arts, TX,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:54:21.636469,yr
"$140,000 /yr (est.)",140000.0,Creative Director,5,1,1,COGNITION Labs, CA,5.0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:54:23.795701,yr
"$47,000 /yr (est.)",47000.0,Social Media Specialist,2,1,0,International Tennis Hall of Fame, RI,3.5,0,-1,-1,-1,-1,-1,-1,-1,2.5,2.5,3.5,3.3,3.9,2023-06-03 22:54:27.996870,yr
$62.50 /hr (est.),130000.0,Tour Guide,1,1,1,Junket, CA,4.6,0,7,51 to 200 Employees,2016,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,4.1,4.4,4.4,4.4,4.6,2023-06-03 22:54:31.431801,hr
"$93,250 /yr (est.)",93250.0,"Manager, Partner Marketing",5,1,1,Warner Bros. Discovery, CA,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:54:33.994531,yr
"$130,000 /yr (est.)",130000.0,Producer,5,1,1,VisualCreatures, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.1,5.0,5.0,3.1,2023-06-03 22:54:36.503589,yr
"$77,629 /yr (est.)",77629.0,Exhibition Developer,5,1,1,Los Angeles County Museum Of Natural History Foundation, CA,3.7,0,110,201 to 500 Employees,1913,Nonprofit Organization,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 million (USD),2.9,2.8,4.1,3.1,4.1,2023-06-03 22:54:39.678558,yr
"$64,405 /yr (est.)",64405.0,Utah Copywriter / Content Strategist,0,1,-1,Red Olive, NV,4.8,0,24,1 to 50 Employees,1999,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.3,4.2,4.5,4.5,4.6,2023-06-03 22:54:41.942818,yr
"$67,165 /yr (est.)",67165.0,"Social Media Manager, Endoscopy",3,1,0,Boston Scientific Corporation, MA,4.1,0,44,10000+ Employees,1979,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.9,4.2,3.8,3.8,2023-06-03 22:54:44.136338,yr
"$110,025 /yr (est.)",110025.0,"Associate Manager, People Development",7,1,0,Tesla, TX,3.6,0,20,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),3.7,3.7,3.3,3.1,2.9,2023-06-03 22:54:46.539160,yr
"$124,458 /yr (est.)",124458.0,"Director, Content",10,1,1,DailyPay, NY,3.5,0,8,501 to 1000 Employees,2015,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,3.5,3.6,3.6,3.1,3.6,2023-06-03 22:54:51.845764,yr
$30.03 /hr (est.),62462.4,Graphic Designer,3,1,0,HDR, NY,4.0,0,106,10000+ Employees,1917,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD),3.8,3.8,3.9,3.5,3.6,2023-06-03 22:55:05.012101,hr
"$50,000 /yr (est.)",50000.0,Marketing Copywriter,0,1,1,Philadelphia Museum of Art, PA,2.5,0,148,501 to 1000 Employees,1875,Nonprofit Organization,Culture & Entertainment,"Arts, Entertainment & Recreation",$25 to $100 million (USD),2.4,2.0,2.5,1.7,2.8,2023-06-03 22:55:07.416481,yr
"$102,344 /yr (est.)",102344.0,Creative Director,8,2,1,Spinifex Group, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.1,3.5,3.4,2.8,2023-06-03 22:55:09.834344,yr
"$134,400 /yr (est.)",134400.0,Integrated Communications Manager,0,1,1,"Millennium Space Systems, A Boeing Company", CA,4.1,0,22,201 to 500 Employees,2001,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.8,4.1,3.3,3.8,2023-06-03 22:55:13.306583,yr
"$95,000 /yr (est.)",95000.0,Content Marketing Manager,2,1,1,"Yes Energy, LLC", CO,4.6,0,15,51 to 200 Employees,2008,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.5,4.6,4.7,4.5,4.9,2023-06-03 22:55:19.519349,yr
"$163,400 /yr (est.)",163400.0,Creative Director - Madden,10,2,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:55:22.546319,yr
"$44,226 /yr (est.)",44226.0,Social Media Specialist,2,1,1,Cirrus Aircraft, TN,3.7,0,29,1001 to 5000 Employees,1994,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.4,3.3,3.5,2.9,3.0,2023-06-03 22:55:24.923832,yr
"$55,634 /yr (est.)",55634.0,Marketing Editor,5,2,1,Meow Wolf, NM,3.0,0,15,201 to 500 Employees,2008,Company - Private,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 million (USD),2.7,3.4,2.9,2.5,2.8,2023-06-03 22:55:27.276083,yr
"$180,000 /yr (est.)",180000.0,"Senior Product Manager, Mobile",5,1,1,Brilliant,Remote,4.1,1,14,51 to 200 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.2,4.2,4.3,2023-06-03 22:55:33.329482,yr
"$87,204 /yr (est.)",87204.0,Senior Character Technical Artist,5,2,0,Warner Bros. Discovery, UT,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:55:35.723400,yr
$35.00 /hr (est.),72800.0,Production Coordinator - VFX & Animation,3,1,0,VisualCreatures, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.1,5.0,5.0,3.1,2023-06-03 22:55:38.142955,hr
"$99,075 /yr (est.)",99075.0,Sr. Desktop Support Engineer,5,1,1,Electronic Arts, CA,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:55:41.834880,yr
"$52,452 /yr (est.)",52452.0,front end web designer,11,1,-1,Think Tank PR & Marketing., MO,2.6,0,-1,-1,-1,-1,-1,-1,-1,2.6,2.2,3.0,2.9,2.8,2023-06-03 22:55:44.651001,yr
"$128,120 /yr (est.)",128120.0,Senior Software Engineer,6,2,1,Warner Bros. Discovery, IL,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:55:59.167680,yr
"$65,482 /yr (est.)",65482.0,"Manager, Controls",5,1,1,Disney, FL,3.9,0,100,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.6,3.7,3.9,3.3,3.4,2023-06-03 22:56:01.796394,yr
"$153,000 /yr (est.)",153000.0,Sr. Design,5,1,0,Warner Bros. Discovery, NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:56:04.654688,yr
"$76,491 /yr (est.)",76491.0,Online Software Engineer,3,1,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:56:07.168028,yr
"$150,000 /yr (est.)",150000.0,Director/Senior Director of Marketing,8,1,1,MANTICORE GAMES, CA,3.3,0,7,51 to 200 Employees,2016,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.4,3.2,2.7,3.4,2023-06-03 22:56:09.647342,yr
"$95,000 /yr (est.)",95000.0,UI Designer / Artist,4,2,-1,Digital Eclipse, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:56:12.419624,yr
"$143,960 /yr (est.)",143960.0,"Director, Software Development Engineering",7,1,1,Warner Bros. Discovery, NY,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:56:17.859205,yr
"$122,673 /yr (est.)",122673.0,Design Director,5,1,1,Spinifex Group, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.1,3.5,3.4,2.8,2023-06-03 22:56:21.040891,yr
"$195,000 /yr (est.)",195000.0,Senior Android Engineer,4,1,1,Brilliant, CA,4.1,0,14,51 to 200 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.2,4.2,4.3,2023-06-03 22:56:29.016662,yr
"$68,450 /yr (est.)",68450.0,DEI Project Manager - Anti-Racism,3,1,1,WellPower - All External Jobs, CO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:56:31.884023,yr
"$95,421 /yr (est.)",95421.0,Digital Strategist,10,1,1,Kompleks Creative, NC,3.2,0,-1,-1,-1,-1,-1,-1,-1,3.5,2.7,3.5,3.2,3.2,2023-06-03 22:56:37.522741,yr
"$44,226 /yr (est.)",44226.0,Social Media Specialist,2,1,1,Cirrus Aircraft, TN,3.7,0,29,1001 to 5000 Employees,1994,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),3.4,3.3,3.5,2.9,3.0,2023-06-03 22:56:52.398012,yr
"$134,400 /yr (est.)",134400.0,Integrated Communications Manager,0,1,1,"Millennium Space Systems, A Boeing Company", CA,4.1,0,22,201 to 500 Employees,2001,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,4.1,3.8,4.1,3.3,3.8,2023-06-03 22:56:55.157953,yr
"$95,000 /yr (est.)",95000.0,Content Marketing Manager,2,1,1,"Yes Energy, LLC", CO,4.6,0,15,51 to 200 Employees,2008,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,4.5,4.6,4.7,4.5,4.9,2023-06-03 22:57:02.292218,yr
"$86,168 /yr (est.)",86168.0,"Senior Manager, Exhibition Development",0,1,1,Los Angeles County Museum Of Natural History Foundation, CA,3.7,0,110,201 to 500 Employees,1913,Nonprofit Organization,Culture & Entertainment,"Arts, Entertainment & Recreation",$1 to $5 million (USD),2.9,2.8,4.1,3.1,4.1,2023-06-03 22:57:11.846068,yr
"$155,000 /yr (est.)",155000.0,Senior Product Designer,5,2,1,Vida Health,United States,3.2,0,9,501 to 1000 Employees,2014,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,2.9,3.0,3.5,3.0,3.8,2023-06-03 22:57:18.037225,yr
"$99,075 /yr (est.)",99075.0,Sr. Desktop Support Engineer,5,1,1,Electronic Arts, CA,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:57:20.865008,yr
"$89,562 /yr (est.)",89562.0,Development Director,8,1,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:57:23.921496,yr
"$108,553 /yr (est.)",108553.0,Senior Designer,7,1,0,Hook, CA,3.7,0,17,51 to 200 Employees,2006,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),2.9,3.1,3.4,3.0,3.2,2023-06-03 22:57:26.665664,yr
"$128,120 /yr (est.)",128120.0,Senior Software Engineer,6,2,1,Warner Bros. Discovery, IL,3.8,0,20,10000+ Employees,2003,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.3,3.6,3.6,3.2,3.7,2023-06-03 22:57:29.859386,yr
"$95,421 /yr (est.)",95421.0,Digital Strategist,10,1,1,Kompleks Creative, NC,3.2,0,-1,-1,-1,-1,-1,-1,-1,3.5,2.7,3.5,3.2,3.2,2023-06-03 22:57:32.921909,yr
"$117,360 /yr (est.)",117360.0,Creative Technology Director,0,1,1,Reel FX, TX,4.3,0,30,201 to 500 Employees,1993,Company - Private,Film Production,Media & Communication,Unknown / Non-Applicable,4.1,4.2,4.3,4.2,4.3,2023-06-03 22:57:36.409725,yr
"$38,250 /yr (est.)",38250.0,Communications Coordinator,3,1,1,Adoption Network Cleveland, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:57:43.327361,yr
"$230,000 /yr (est.)",230000.0,Product Engineer (Tech Lead),5,1,1,Brilliant, CA,4.1,0,14,51 to 200 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,4.2,4.0,4.2,4.2,4.3,2023-06-03 22:57:48.886024,yr
$35.00 /hr (est.),72800.0,Production Coordinator - VFX & Animation,3,1,0,VisualCreatures, CA,3.6,0,-1,-1,-1,-1,-1,-1,-1,5.0,3.1,5.0,5.0,3.1,2023-06-03 22:57:55.966210,hr
"$44,399 /yr (est.)",44399.0,Content Manager - Madden (12 month Contract),0,2,1,Electronic Arts, FL,4.0,0,41,10000+ Employees,1982,Company - Public,Video Game Publishing,Media & Communication,$5 to $10 billion (USD),3.8,3.8,4.1,3.6,4.0,2023-06-03 22:57:59.910368,yr
"$151,567 /yr (est.)",151567.0,"Consumer Experience Design Research Lead, Associate Director",10,1,1,Sanofi, MA,4.0,0,50,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.6,3.9,3.8,3.4,3.7,2023-06-03 22:58:02.895200,yr
"$150,000 /yr (est.)",150000.0,Director/Senior Director of Marketing,8,1,1,MANTICORE GAMES, CA,3.3,0,7,51 to 200 Employees,2016,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.4,3.2,2.7,3.4,2023-06-03 22:58:06.225234,yr
"$55,353 /yr (est.)",55353.0,Digital Marketing Specialist,3,1,1,Summit Academy O I C, MN,4.0,0,28,501 to 1000 Employees,1995,Company - Private,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.6,3.8,4.0,4.0,3.9,2023-06-03 22:58:09.255693,yr
"$78,917 /yr (est.)",78917.0,Sr. Learning Manager,0,2,1,Stand Together, VA,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.8,3.3,3.0,3.7,2023-06-03 22:58:12.750346,yr
