Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$147,500 /yr (est.)",147500.0,"Senior Scientist, Lentiviral Drug Product Development",0,1,1,Umoja Biopharma, CO,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 22:59:58.083760,yr
"$84,304 /yr (est.)",84304.0,Senior/Principal R&D Scientist,3,2,1,Vascudyne, MN,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:00:05.634714,yr
"$75,850 /yr (est.)",75850.0,Strategy Research Associate,0,1,0,Rockstar Games, NY,4.3,0,25,1001 to 5000 Employees,1998,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$5 to $25 million (USD),4.1,4.3,4.2,3.9,4.0,2023-06-03 23:00:11.458045,yr
"$116,500 /yr (est.)",116500.0,Product Scientist,4,1,1,Lion Studios, CA,3.0,0,-1,-1,-1,-1,-1,-1,-1,3.0,3.0,3.0,3.0,3.0,2023-06-03 23:00:13.869567,yr
"$80,696 /yr (est.)",80696.0,Endangered Species Review Biologist,0,1,1,Department of Fish And Game, MA,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.2,3.4,2.8,3.6,2023-06-03 23:00:17.166130,yr
"$83,500 /yr (est.)",83500.0,Education Research and Assessment Analyst,0,1,1,Colorado School of Mines, CO,4.4,0,149,501 to 1000 Employees,1874,College / University,Colleges & Universities,Education,$100 to $500 million (USD),4.0,3.9,4.2,4.0,3.9,2023-06-03 23:00:22.663093,yr
"$56,719 /yr (est.)",56719.0,Molecular Genomics Scientist,5,2,1,"Medpace, Inc.", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:00:25.042064,yr
"$68,867 /yr (est.)",68867.0,Associate Clinical Data Analyst (US),2,2,1,CluePoints, PA,4.0,0,-1,-1,-1,-1,-1,-1,-1,4.0,4.2,4.2,4.2,3.9,2023-06-03 23:00:27.109593,yr
"$78,967 /yr (est.)",78967.0,Research Scientist,5,2,1,SAFT AMERICA INC., MD,3.8,0,105,1001 to 5000 Employees,1918,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,3.2,3.7,3.5,3.0,3.6,2023-06-03 23:00:30.265474,yr
"$88,500 /yr (est.)",88500.0,Senior Scientist,-1,-1,-1,Henkel, CT,4.3,0,147,10000+ Employees,1876,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),4.0,4.0,4.2,3.9,4.0,2023-06-03 23:00:36.501077,yr
"$75,815 /yr (est.)",75815.0,R&D Lead – Sports Science,5,2,1,Blast Motion, CA,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.2,3.1,3.1,3.9,2023-06-03 23:00:47.608775,yr
"$60,000 /yr (est.)",60000.0,Postdoctoral Research Associate,0,1,-1,University of Colorado Boulder, CO,3.8,0,147,10000+ Employees,1876,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.3,3.5,3.7,3.3,3.6,2023-06-03 23:00:50.764518,yr
"$95,000 /yr (est.)",95000.0,Commercial Agronomist – Coastal Southeast,0,1,1,Pivot Bio, NC,4.7,0,12,51 to 200 Employees,2011,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.7,4.5,4.6,4.7,4.3,2023-06-03 23:00:53.178501,yr
"$42,926 /yr (est.)",42926.0,Clinical Research Opportunities- Entry Level,2,1,0,"Medpace, Inc.", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:00:58.663205,yr
"$54,546 /yr (est.)",54546.0,Fisheries Management Biologist,3,1,1,Missouri Department of Conservation, MO,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.3,2.4,3.7,3.2,4.3,2023-06-03 23:01:01.175619,yr
"$108,500 /yr (est.)",108500.0,Senior Wetland Scientist,0,1,1,Tighe & Bond, ME,4.2,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.6,4.5,3.7,3.6,2023-06-03 23:01:11.297082,yr
"$194,228 /yr (est.)",194228.0,Engagement Manager - R&D,0,1,0,Syneos Health Clinical, NY,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.5,3.8,3.5,3.8,2023-06-03 23:01:14.455461,yr
"$66,106 /yr (est.)",66106.0,Staff Environmental Scientist,0,1,1,Stantec, CA,3.9,0,69,10000+ Employees,1954,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD),3.8,3.5,3.9,3.6,3.8,2023-06-03 23:01:18.168638,yr
"$85,000 /yr (est.)",85000.0,Research Associate/Sr. Research Associate,2,1,0,Addition Therapeutics, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:01:20.734814,yr
"$92,000 /yr (est.)",92000.0,"Scientist, Climate Resilient Water Systems",2,2,1,Environmental Defense Fund, CA,3.9,0,56,1001 to 5000 Employees,1967,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$100 to $500 million (USD),3.3,3.7,3.8,3.1,3.8,2023-06-03 23:01:26.006298,yr
"$116,300 /yr (est.)",116300.0,Game User Interaction and Intelligence Lab: Project Scientist,0,1,-1,University of California Santa Cruz, CA,4.0,0,58,1001 to 5000 Employees,1965,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.6,3.4,4.0,3.5,4.0,2023-06-03 23:01:31.692063,yr
"$45,848 /yr (est.)",45848.0,FISHERIES & WILDLIFE BIO SCIENTIST IV,0,1,0,The State of Florida, FL,3.4,0,178,10000+ Employees,1845,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.0,3.2,3.1,2.9,3.4,2023-06-03 23:01:34.082642,yr
"$73,159 /yr (est.)",73159.0,Epidemiologist,0,2,0,"Medpace, Inc.", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:01:36.486260,yr
"$3,716 /mo (est.)",44592.0,Fish Culturist 1 (PCN 7617),0,1,0,State of Alaska, AK,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.9,3.6,3.4,4.0,2023-06-03 23:01:38.796315,mo
"$115,879 /yr (est.)",115879.0,Lead Data Scientist,-1,-1,-1,Bayer, MO,4.1,0,160,10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.8,4.0,4.1,3.6,4.0,2023-06-03 23:01:49.633217,yr
"$83,500 /yr (est.)",83500.0,Education Research and Assessment Analyst,0,1,1,State of Colorado Job Opportunities, CO,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.3,3.3,3.4,3.2,3.7,2023-06-03 23:01:52.040937,yr
"$130,500 /yr (est.)",130500.0,Clinical Research Associate,6,1,0,BridgeBio, CA,3.9,0,8,201 to 500 Employees,2015,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,4.0,4.3,4.0,3.6,3.7,2023-06-03 23:01:55.727350,yr
"$63,015 /yr (est.)",63015.0,Staff Environmental Scientist,0,1,1,Stantec, CA,3.9,0,69,10000+ Employees,1954,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD),3.8,3.5,3.9,3.6,3.8,2023-06-03 23:01:58.326840,yr
"$58,638 /yr (est.)",58638.0,Clinical Research Associate - Research Nurses,1,1,0,"Medpace, Inc.", OH,3.3,0,31,1001 to 5000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,2.9,3.1,2.9,3.1,2023-06-03 23:02:00.670208,yr
"$54,302 /yr (est.)",54302.0,Environmental Biologist,6,1,1,FirstCarbon Solutions, CA,3.0,0,15,51 to 200 Employees,2008,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.0,2.7,2.8,2.6,3.2,2023-06-03 23:02:03.584166,yr
"$4,012 /mo (est.)",48144.0,"WILDLIFE BIOLOGIST II, III AND IV - DOWNTOWN, OAHU",2,1,0,State of Hawaii,Oahu Island,3.8,0,63,201 to 500 Employees,1960,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,2.7,3.3,3.7,3.4,3.7,2023-06-03 23:02:06.100100,mo
