Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$120,000 /yr (est.)",120000.0,UX Researcher / Designer,7,2,1,Caden, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:14:29.849674,yr
"$150,000 /yr (est.)",150000.0,Sr. Visual Designer - IT SecOps (Remote),0,1,1,CrowdStrike,Remote,4.2,1,12,1001 to 5000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),4.0,4.1,4.0,3.8,4.0,2023-06-03 23:14:36.910524,yr
"$141,000 /yr (est.)",141000.0,"UX Researcher II, Interaction",0,2,1,Match Group, NY,3.7,0,8,1001 to 5000 Employees,2015,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD),3.4,3.8,3.4,3.1,3.7,2023-06-03 23:14:39.407626,yr
"$176,500 /yr (est.)",176500.0,Computer Vision Engineer,3,2,1,Niantic, CA,3.5,0,12,501 to 1000 Employees,2011,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.3,3.8,3.5,2.6,3.7,2023-06-03 23:14:41.887392,yr
"$150,000 /yr (est.)",150000.0,Sr. UI Engineer (Remote),0,1,1,CrowdStrike,Remote,4.2,1,12,1001 to 5000 Employees,2011,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),4.0,4.1,4.0,3.8,4.0,2023-06-03 23:14:44.259037,yr
"$76,721 /yr (est.)",76721.0,Build Your Own Role,0,1,1,Novig, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:14:46.357443,yr
"$162,500 /yr (est.)",162500.0,Protocol Researcher,0,1,1,Monad, NY,-1,0,1,1 to 50 Employees,2022,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,-1,-1,-1,-1,-1,2023-06-03 23:14:55.274358,yr
"$90,000 /yr (est.)",90000.0,Front End Developer (Data Collection Applications),-1,-1,-1,The Possible Zone, MA,3.4,0,-1,-1,-1,-1,-1,-1,-1,3.5,4.0,3.4,2.9,4.5,2023-06-03 23:14:59.517657,yr
"$150,000 /yr (est.)",150000.0,"Director, Market Research - Brand Tracking",10,1,1,"Suzy, Inc.",United States,4.1,0,14,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD),3.8,4.5,4.2,3.6,4.1,2023-06-03 23:15:05.189366,yr
"$85,644 /yr (est.)",85644.0,UI / UX Designer,-1,-1,-1,Topaz Labs, TX,3.5,0,15,1 to 50 Employees,2008,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,3.4,3.9,3.6,3.5,3.4,2023-06-03 23:15:07.282696,yr
