Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$95,000 /yr (est.)",95000.0,Senior FP&A Analyst,2,1,1,MarketCast, NY,3.2,0,36,201 to 500 Employees,1987,Company - Private,Research & Development,Management & Consulting,$25 to $100 million (USD),3.0,2.9,3.3,3.0,3.0,2023-06-03 23:26:35.875662,yr
"$70,008 /yr (est.)",70008.0,Pricing Analyst I (Hybrid),0,1,1,BAE Systems, NY,3.9,0,24,10000+ Employees,1999,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.7,3.6,3.6,3.4,3.9,2023-06-03 23:26:38.181671,yr
"$66,250 /yr (est.)",66250.0,Reporting & Analytics Analyst,2,1,-1,Warner Music Group,Remote,3.7,1,20,1001 to 5000 Employees,2003,Company - Public,Broadcast Media,Media & Communication,$1 to $5 billion (USD),3.2,3.3,3.7,3.2,3.5,2023-06-03 23:26:40.406922,yr
"$75,000 /yr (est.)",75000.0,Customer Success Manager,3,1,0,FORM.com,Remote,4.2,1,-1,-1,-1,-1,-1,-1,-1,3.9,3.5,4.1,3.8,4.2,2023-06-03 23:26:42.399217,yr
"$105,515 /yr (est.)",105515.0,CSIS Open Source Intelligence Senior Analyst (hybrid),5,1,1,Citi, FL,3.9,0,211,10000+ Employees,1812,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD),3.9,3.8,3.8,3.5,3.5,2023-06-03 23:26:48.041236,yr
"$104,300 /yr (est.)",104300.0,Senior Game Data Analyst,7,1,1,Amazon.com Services LLC, CA,3.8,0,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-06-03 23:26:50.256345,yr
"$84,642 /yr (est.)",84642.0,Financial Analyst Principal - Facilities (Full-time Remote),0,1,1,BAE Systems, NH,3.9,0,24,10000+ Employees,1999,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),3.7,3.6,3.6,3.4,3.9,2023-06-03 23:26:52.232626,yr
"$76,500 /yr (est.)",76500.0,Financial Analyst,2,1,1,Best Choice Products, CA,3.8,0,21,201 to 500 Employees,2002,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable,3.7,3.7,3.9,3.8,3.8,2023-06-03 23:26:54.407331,yr
"$91,040 /yr (est.)",91040.0,Business Systems Analyst,5,1,1,Bates White Economic Consulting, DC,4.2,0,24,201 to 500 Employees,1999,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.2,3.9,4.5,4.1,3.5,2023-06-03 23:26:56.723174,yr
"$127,286 /yr (est.)",127286.0,Senior Competitive Intelligence Analyst,0,1,1,Aristocrat, NV,4.0,0,70,5001 to 10000 Employees,1953,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.8,4.0,4.1,3.8,4.1,2023-06-03 23:27:02.019137,yr
