Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$74,418 /yr (est.)",74418.0,"Associate Producer, Soccer (Freelance)",6,1,-1,CBS Sports, CT,4.0,0,4,10000+ Employees,2019,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.5,3.5,4.0,3.5,3.8,2023-06-03 19:42:04.070021,yr
"$187,265 /yr (est.)",187265.0,Senior Producer,0,2,1,"Big Fish Games, Inc.", NV,3.8,0,21,201 to 500 Employees,2002,Subsidiary or Business Segment,Video Game Publishing,Media & Communication,$25 to $100 million (USD),3.7,3.7,4.1,3.6,4.5,2023-06-03 19:42:15.388410,yr
"$123,500 /yr (est.)",123500.0,Game Producer,5,1,1,IGT, NV,3.8,0,42,10000+ Employees,1981,Company - Public,Gambling,"Arts, Entertainment & Recreation",$1 to $5 billion (USD),3.5,3.4,3.7,3.4,3.7,2023-06-03 19:42:19.994141,yr
"$65,000 /yr (est.)",65000.0,Game Producer,6,2,-1,Design Works Gaming, AZ,4.7,0,18,1 to 50 Employees,2005,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,5.0,5.0,5.0,5.0,5.0,2023-06-03 19:42:21.859651,yr
"$165,000 /yr (est.)",165000.0,Technical Producer,0,2,-1,Epic Games, NC,4.2,0,32,1001 to 5000 Employees,1991,Company - Private,Video Game Publishing,Media & Communication,Unknown / Non-Applicable,3.9,4.6,4.1,3.6,3.9,2023-06-03 19:42:23.733551,yr
"$77,500 /yr (est.)",77500.0,Associate Producer,3,2,0,"Possible, Inc.", CA,3.8,0,12,201 to 500 Employees,2011,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.4,3.4,3.8,3.4,3.5,2023-06-03 19:42:31.095594,yr
$40.00 /hr (est.),83200.0,Producer 1 (Gaming),3,2,-1,Cyborg Mobile,Remote,5.0,1,14,1 to 50 Employees,2009,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,5.0,4.7,5.0,5.0,4.4,2023-06-03 19:42:33.633971,hr
$16.00 /hr (est.),33280.0,Game Designer Jr.,3,2,0,Next Mission - Heroes League Game Day, UT,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 19:42:39.820106,hr
"$74,446 /yr (est.)",74446.0,Sr Social Producer (Freelance),2,1,1,CBS Sports, NY,4.0,0,4,10000+ Employees,2019,Company - Public,Film Production,Media & Communication,$10+ billion (USD),3.5,3.5,4.0,3.5,3.8,2023-06-03 19:42:44.520299,yr
$37.98 /hr (est.),78998.4,"Social Media Producer, Racing TV - Freelance",3,1,1,FanDuel, KY,4.0,0,14,501 to 1000 Employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),3.8,3.8,4.0,3.7,3.8,2023-06-03 19:42:46.676547,hr
