Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$97,500 /yr (est.)",97500.0,Quality Assurance Engineer,5,1,1,Yay Lunch,Remote,4.4,1,5,201 to 500 Employees,2018,Company - Private,Catering & Food Service Contractors,Restaurants & Food Service,$1 to $5 million (USD),4.0,4.2,4.7,4.4,4.7,2023-06-05 13:02:27.320060,yr
"$112,287 /yr (est.)",112287.0,"Sr. Engineer I, Data Engineering",3,2,-1,Oak Street Health, IL,3.7,0,11,1001 to 5000 Employees,2012,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,3.7,3.8,3.4,3.5,2023-06-05 13:02:33.497031,yr
"$122,736 /yr (est.)",122736.0,Cloud Data Engineer-DBA,8,2,1,Locate Software,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:02:35.305720,yr
$72.50 /hr (est.),150800.0,Data Engineering Manager,11,2,1,Sansutek,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-05 13:02:39.825440,hr
"$170,000 /yr (est.)",170000.0,Director of Data Engineering,-1,-1,-1,"SalesIntel Research, Inc.",Remote,3.2,1,5,51 to 200 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,2.9,3.1,3.1,2.9,3.2,2023-06-05 13:02:44.702249,yr
"$100,955 /yr (est.)",100955.0,Data Engineer,-1,-1,-1,Adtalem Global Education,Remote,3.5,1,92,10000+ Employees,1931,Company - Public,Colleges & Universities,Education,Unknown / Non-Applicable,3.3,3.3,3.4,3.1,3.7,2023-06-05 13:02:46.618916,yr
"$123,984 /yr (est.)",123984.0,Data Scientist,5,1,1,Northrop Grumman Federal Credit Union (NGFCU),Remote,2.6,1,77,51 to 200 Employees,1946,Nonprofit Organization,Banking & Lending,Financial Services,$25 to $100 million (USD),2.3,2.5,2.1,2.2,2.3,2023-06-05 13:02:48.333485,yr
"$110,000 /yr (est.)",110000.0,Azure Data Engineer,2,1,-1,ArchsystemInc,Remote,4.1,1,17,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,4.1,4.3,4.3,4.2,2023-06-05 13:02:50.205251,yr
"$90,000 /yr (est.)",90000.0,Data Engineer,3,1,-1,Green Street,Remote,4.4,1,38,201 to 500 Employees,1985,Company - Private,Investment & Asset Management,Financial Services,$100 to $500 million (USD),4.4,3.7,4.3,4.0,4.0,2023-06-05 13:02:51.910143,yr
"$85,000 /yr (est.)",85000.0,UX/UI (Jr.-Mid),4,2,-1,RS21,Remote,3.6,1,8,51 to 200 Employees,2015,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.7,3.6,3.7,3.6,3.4,2023-06-05 13:02:53.734127,yr
