Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
$42.44 /hr (est.),88275.2,"Decision Support Analyst, Artificial Intelligence",2,1,1,UF Health Shands Hospital, FL,3.6,0,65,10000+ Employees,1958,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.9,3.6,3.5,3.2,3.4,2023-06-03 23:32:25.823548,hr
"$125,100 /yr (est.)",125100.0,Assistant Research Scientist AI Ethics Center for Human Compatible Artificial Intelligence,0,1,0,University of California Berkeley, CA,4.2,0,-1,-1,-1,-1,-1,-1,-1,4.0,3.7,4.1,4.2,4.1,2023-06-03 23:32:27.820447,yr
"$90,428 /yr (est.)",90428.0,Artificial Intelligence,0,1,-1,MILL5, MA,4.5,0,8,51 to 200 Employees,2015,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),4.5,4.7,4.7,4.3,4.8,2023-06-03 23:32:36.262986,yr
"$117,948 /yr (est.)",117948.0,Artificial Intelligence - Computational Linguist,-1,-1,-1,VASS IT, MA,3.8,0,-1,-1,-1,-1,-1,-1,-1,3.4,3.0,3.1,3.0,3.6,2023-06-03 23:32:42.326022,yr
"$150,150 /yr (est.)",150150.0,Sr Creative Evangelist - Artificial Intelligence,7,1,1,Adobe,California,4.4,0,41,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.0,4.4,4.4,3.9,4.3,2023-06-03 23:32:44.872638,yr
"$72,500 /yr (est.)",72500.0,"Postdoctoral Associate, Institute for Artificial Intelligence & Data Sciences",-1,-1,-1,University at Buffalo, NY,4.3,0,191,5001 to 10000 Employees,1832,College / University,Colleges & Universities,Education,$100 to $500 million (USD),4.1,3.8,4.2,4.0,4.2,2023-06-03 23:32:50.372120,yr
"$259,110 /yr (est.)",259110.0,"Senior Director of Marketing, Artificial Intelligence",10,1,1,INTEL, OR,4.2,0,55,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,2023-06-03 23:32:52.336163,yr
"$105,086 /yr (est.)",105086.0,Artificial intelligence / Machine Learning Engineer,8,1,1,Cotocus, CA,4.4,0,-1,-1,-1,-1,-1,-1,-1,4.4,4.2,4.1,4.3,4.2,2023-06-03 23:32:54.532669,yr
"$164,000 /yr (est.)",164000.0,"Artificial Intelligence Research Scientist - Sr Associate, Optimization",3,1,-1,"JPMorgan Chase Bank, N.A.", NY,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-03 23:32:57.557889,yr
"$67,343 /yr (est.)",67343.0,Tenure-Track s in Artificial Intelligence,0,1,-1,New York University, NY,4.3,0,192,10000+ Employees,1831,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),3.9,3.9,4.1,3.8,4.1,2023-06-03 23:32:59.740868,yr
"$94,291 /yr (est.)",94291.0,Post Doctoral Fellow - Artificial Intelligence/Machine Learning,0,1,0,Emory University, GA,4.2,0,49,10000+ Employees,1974,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.9,3.7,4.1,3.7,4.0,2023-06-03 23:33:02.126977,yr
"$135,046 /yr (est.)",135046.0,Artificial Intelligence Performance Engineer,5,1,-1,"Advanced Micro Devices, Inc", CA,4.2,0,54,10000+ Employees,1969,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.2,3.7,4.2,3.9,3.9,2023-06-03 23:33:07.546401,yr
$18.00 /hr (est.),37440.0,Call Center Representative,0,2,-1,EXL Services,Remote,3.8,1,24,10000+ Employees,1999,Company - Public,Business Consulting,Management & Consulting,$500 million to $1 billion (USD),3.7,3.3,3.6,3.5,3.7,2023-06-03 23:33:19.185246,hr
"$240,000 /yr (est.)",240000.0,"Principal Software Engineer, Artificial Intelligence and Machine Learning",10,1,1,Credit Acceptance,Remote,3.9,1,51,1001 to 5000 Employees,1972,Company - Public,Banking & Lending,Financial Services,$500 million to $1 billion (USD),3.8,4.2,4.2,3.7,4.2,2023-06-03 23:33:21.428561,yr
"$195,200 /yr (est.)",195200.0,Principal Artificial Intelligence (AI) Advocate for Startups,10,1,1,Microsoft, CA,4.3,0,48,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.1,4.1,4.3,3.9,4.1,2023-06-03 23:33:24.038924,yr
$13.50 /hr (est.),28080.0,AI Quality Assurance Analyst,-1,-1,-1,AdVon Commerce,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:33:26.399426,hr
"$109,832 /yr (est.)",109832.0,Global Strategic Sourcing Analyst- Artificial Intelligence -Proteins,-1,-1,-1,Mars, IL,4.3,0,112,10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),4.0,4.1,4.4,3.9,4.0,2023-06-03 23:33:34.832708,yr
"$75,000 /yr (est.)",75000.0,Support Engineer - Commercial,0,1,-1,Lambda,Remote,4.0,1,-1,-1,-1,-1,-1,-1,-1,4.1,4.0,4.1,3.6,3.8,2023-06-03 23:33:40.169838,yr
"$151,500 /yr (est.)",151500.0,"Senior Data Scientist, Predictive Analytics/Artificial Intelligence – (JRD DS)",2,2,1,Johnson & Johnson, PA,4.2,0,136,10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.9,4.0,4.2,3.8,4.0,2023-06-03 23:33:43.348780,yr
"$165,200 /yr (est.)",165200.0,Senior Azure Artificial Intelligence (AI) Advocate,8,1,1,Microsoft, CA,4.3,0,48,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.1,4.1,4.3,3.9,4.1,2023-06-03 23:33:45.526412,yr
"$98,489 /yr (est.)",98489.0,Artificial Intelligence Scientist,0,1,-1,Mayo Clinic, MN,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.8,3.9,3.3,3.5,2023-06-03 23:33:47.948421,yr
$25.00 /hr (est.),52000.0,AI Training for Poetry Writing,0,2,-1,Remo, PA,4.1,0,-1,-1,-1,-1,-1,-1,-1,3.8,4.0,4.0,4.2,3.9,2023-06-03 23:33:51.027050,hr
"$167,870 /yr (est.)",167870.0,Staff Software Engineer - Applied Machine Learning,10,1,-1,Discord, CA,3.5,0,8,501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD),3.5,4.1,3.5,3.1,3.4,2023-06-03 23:34:04.843926,yr
"$115,000 /yr (est.)",115000.0,Data Scientist,0,1,-1,Zest AI,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-03 23:34:11.809202,yr
"$140,000 /yr (est.)",140000.0,Senior Data Scientist / Artificial Intelligence / Machine Learning / AI/ML Scientist,2,1,0,Vanguard,Remote,3.7,1,48,10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.6,3.4,3.8,3.3,3.9,2023-06-03 23:34:17.057553,yr
"$185,007 /yr (est.)",185007.0,Machine Learning Research Scientist - Natural Language Processing,0,1,1,Toyota Research Institute, CA,4.1,0,7,201 to 500 Employees,2016,Subsidiary or Business Segment,Research & Development,Management & Consulting,Unknown / Non-Applicable,3.6,4.5,4.0,4.0,4.2,2023-06-03 23:34:19.600462,yr
"$201,625 /yr (est.)",201625.0,"Research Scientist, Generative AI - New College Grad",0,1,-1,NVIDIA, CA,4.6,0,30,10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),4.4,4.5,4.6,4.4,4.2,2023-06-03 23:34:22.121495,yr
"$215,840 /yr (est.)",215840.0,Director of Creative Strategy and Agency Management,0,1,1,INTEL, OR,4.2,0,55,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,2023-06-03 23:34:24.550317,yr
"$93,153 /yr (est.)",93153.0,Senior Data Scientist - Motorsports - Artificial Intelligence and Machine Learning,2,1,1,General Motors, NC,4.0,0,115,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.7,4.0,3.9,3.5,3.8,2023-06-03 23:34:27.245458,yr
"$133,000 /yr (est.)",133000.0,Data Scientist,0,1,1,Verizon, NY,3.9,0,23,10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.7,4.1,3.8,3.4,3.5,2023-06-03 23:34:29.940460,yr
"$114,588 /yr (est.)",114588.0,Data Science Analyst - Platform - Remote,0,1,1,Mayo Clinic, MN,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.8,3.9,3.3,3.5,2023-06-03 23:34:36.177890,yr
