Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$79,250 /yr (est.)",79250.0,Recruitment Consultant,3,1,0,"Storm2
2.8", NY,2.8,0,4,201 to 500 Employees,2019,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,3.1,2.9,2.9,2.7,2.5,2023-06-04 00:29:14.945701,yr
"$113,750 /yr (est.)",113750.0,Software Engineer (Back End) Post Visit (Hybrid),2,1,-1,"Apixio
4.3", TX,4.3,0,14,51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD),4.0,4.2,4.2,4.0,4.3,2023-06-04 00:29:17.262733,yr
$12.50 /hr (est.),26000.0,Patient Connection Specialist-Fluent in Spanish & English,1,1,1,"EasyHealth
2.4",Puerto Rico,2.4,0,3,201 to 500 Employees,2020,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,2.3,2.4,2.6,2.6,2.6,2023-06-04 00:29:19.701127,hr
"$101,951 /yr (est.)",101951.0,DevOps Engineer,-1,-1,-1,"Fusion Health
3.9", NJ,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.7,4.4,4.1,4.6,2023-06-04 00:29:29.019970,yr
"$107,500 /yr (est.)",107500.0,Demand Generation Manager (Remote),-1,-1,-1,"Plume
3.9",Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-04 00:29:31.619688,yr
"$90,475 /yr (est.)",90475.0,Business Operations Lead,0,2,1,Aidaly, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:29:34.224505,yr
"$58,701 /yr (est.)",58701.0,UX/UI Designer,3,1,-1,"Twenty Ideas
3.6", OR,3.6,0,9,1 to 50 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),2.6,3.6,4.1,3.2,3.2,2023-06-04 00:29:39.386485,yr
"$210,000 /yr (est.)",210000.0,Vice President of Product & Technology (Remote),10,1,1,"Plume
3.9",Remote,3.9,1,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-04 00:29:44.405338,yr
"$60,978 /yr (est.)",60978.0,Customer Experience Center Administrator,0,1,1,"Celestica
3.9", CA,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-04 00:29:47.964496,yr
"$62,635 /yr (est.)",62635.0,Supply Chain Inventory Analyst,0,1,1,"Celestica
3.9", AZ,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-04 00:29:50.317219,yr
"$95,000 /yr (est.)",95000.0,Growth Program Manager - Community Engagement & Training,4,1,1,"Journey Clinical
5.0",Remote,5.0,1,-1,-1,-1,-1,-1,-1,-1,5.0,5.0,5.0,5.0,5.0,2023-06-04 00:29:52.629666,yr
"$105,000 /yr (est.)",105000.0,Lead Technical Support Engineer,-1,-1,-1,"StackHawk
4.3", CO,4.3,0,4,1 to 50 Employees,2019,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.3,4.5,4.2,4.3,4.6,2023-06-04 00:30:00.488921,yr
"$65,170 /yr (est.)",65170.0,"Executive Assistant (Hybrid \u007C Denver, CO)",-1,-1,-1,-1, CO,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.9,4.3,5.0,3.9,3.9,2023-06-04 00:30:02.435232,yr
"$45,534 /yr (est.)",45534.0,Customer Support Specialist,3,2,1,"Celestica
3.9", MN,3.9,0,29,10000+ Employees,1994,Company - Public,Electronics Manufacturing,Manufacturing,$5 to $10 billion (USD),3.7,3.5,3.9,3.5,3.5,2023-06-04 00:30:07.155782,yr
"$79,250 /yr (est.)",79250.0,Graduate Recruitment Consultant,3,2,0,Levin, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:30:09.557367,yr
"$137,500 /yr (est.)",137500.0,Healthcare Business Intelligence Data Manager,3,1,1,StationMD/HealthTech Partners Inc,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:30:23.851216,yr
