Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$119,908 /yr (est.)",119908.0,Information Technology Specialist,1,1,1,"U.S. Department of State
4.0", DC,4.0,0,234,10000+ Employees,1789,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.9,4.0,3.7,3.3,3.4,2023-06-04 00:52:50.757899,yr
"$97,750 /yr (est.)",97750.0,Technology Analyst,0,1,-1,"Southwest Airlines
4.1", TX,4.1,0,56,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.1,4.0,3.5,3.6,2023-06-04 00:52:57.371537,yr
"$66,500 /yr (est.)",66500.0,Graphic Designer,5,1,-1,Arillic,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:53:02.943424,yr
$26.00 /hr (est.),54080.0,SEO Content Writer,1,1,-1,"Miaplaza Inc.
3.6",Remote,3.6,1,-1,-1,-1,-1,-1,-1,-1,4.3,3.6,3.6,3.6,3.6,2023-06-04 00:53:17.130662,hr
$23.90 /hr (est.),49712.0,Customer Service Associate Post 2001,0,1,0,"PSEG
3.9", NY,3.9,0,120,10000+ Employees,1903,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD),3.7,4.0,3.5,3.2,3.4,2023-06-04 00:53:26.285709,hr
"$163,250 /yr (est.)",163250.0,Recruiting Product Owner (Remote Option*),2,1,1,"Nike
4.2", OR,4.2,0,51,10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.9,4.1,3.6,3.8,2023-06-04 00:53:28.738268,yr
"$75,000 /yr (est.)",75000.0,Software Support Analyst,2,2,1,"Devoted Health
3.9",Remote,3.9,1,6,1001 to 5000 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.8,4.2,4.0,3.9,3.7,2023-06-04 00:53:31.007403,yr
"$83,000 /yr (est.)",83000.0,Employee Engagement Specialist,5,2,1,EarthOptics, VA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:53:37.490714,yr
"$107,021 /yr (est.)",107021.0,Jr. Software Developer,1,1,1,"SogoTrade
4.2", NY,4.2,0,-1,-1,-1,-1,-1,-1,-1,3.7,3.3,4.1,3.9,4.5,2023-06-04 00:53:42.684850,yr
"$103,432 /yr (est.)",103432.0,INFORMATION TECHNOLOGY SPECIALIST (INFOSEC),0,1,1,"US Commander, Navy Installations
3.7",Guam,3.7,0,-1,-1,-1,-1,-1,-1,-1,3.6,3.8,3.4,3.2,3.5,2023-06-04 00:53:46.090047,yr
$20.95 /hr (est.),43576.0,Junior Retail Sales Associate,0,2,1,Splendor signs,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:53:50.340478,hr
"$41,256 /yr (est.)",41256.0,"Patient Access Specialist - Boise, McCall, Wood River",0,2,-1,"St. Luke's Health System
3.9", ID,3.9,0,121,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.8,3.6,3.8,3.5,3.8,2023-06-04 00:53:55.618992,yr
"$37,000 /yr (est.)",37000.0,Remote Medical Assistant,3,2,0,"Ria Technology Management Inc.
4.1",Remote,4.1,1,-1,-1,-1,-1,-1,-1,-1,4.0,3.9,3.9,3.9,3.8,2023-06-04 00:53:57.841540,yr
"$70,504 /yr (est.)",70504.0,QA Tester Co-Op,0,1,-1,"Massachusetts Medical Society
4.3", MA,4.3,0,242,501 to 1000 Employees,1781,Nonprofit Organization,Publishing,Media & Communication,$100 to $500 million (USD),3.3,3.8,4.3,3.7,4.4,2023-06-04 00:54:04.688928,yr
"$87,120 /yr (est.)",87120.0,College Graduate - Materials Science (BS/MS),0,1,-1,"INTEL
4.2", CA,4.2,0,55,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.0,4.0,4.2,3.7,4.1,2023-06-04 00:54:07.161780,yr
$32.50 /hr (est.),67600.0,Educational Copy Editors/ Editors,5,2,-1,The Reimagined Classroom,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:54:09.561033,hr
"$124,550 /yr (est.)",124550.0,Technology Consultant,0,1,1,"Southwest Airlines
4.1", TX,4.1,0,56,10000+ Employees,1967,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),4.1,4.1,4.0,3.5,3.6,2023-06-04 00:54:24.489347,yr
"$118,664 /yr (est.)",118664.0,"SVP, Information Technology",-1,-1,-1,-1, FL,4.0,0,103,1001 to 5000 Employees,1920,Company - Public,Consumer Product Manufacturing,Manufacturing,$100 to $500 million (USD),4.0,3.9,4.2,4.0,4.1,2023-06-04 00:54:27.395296,yr
