Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$276,000 /yr (est.)",276000.0,"Machine Learning Engineer 10+, Spotlight",10,1,1,Snapchat, CA,3.9,0,12,5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.3,4.0,3.1,3.7,2023-06-03 23:59:42.696810,yr
"$146,000 /yr (est.)",146000.0,"3D Character Artist, Avatars",5,2,-1,Meta,Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-03 23:59:56.718432,yr
"$200,000 /yr (est.)",200000.0,"Head of Product, Augmented Reality",8,1,1,Child Mind Institute, NY,3.5,0,14,201 to 500 Employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),3.7,3.4,3.0,3.0,3.3,2023-06-04 00:00:01.149650,yr
"$181,000 /yr (est.)",181000.0,"Research Scientist, Computer Vision",0,1,0,Snapchat, CA,3.9,0,12,5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.6,4.3,4.0,3.1,3.7,2023-06-04 00:00:03.581548,yr
"$145,000 /yr (est.)",145000.0,Product Designer - Reality Labs,2,1,-1,Meta, CA,3.9,0,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-04 00:00:05.939360,yr
"$207,000 /yr (est.)",207000.0,Security Partner,10,2,1,Meta,Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-04 00:00:07.917368,yr
"$57,500 /yr (est.)",57500.0,Junior Data Scientist,1,1,0,Augray, WI,3.9,0,9,51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.6,3.4,3.5,3.6,2023-06-04 00:00:09.997698,yr
"$77,031 /yr (est.)",77031.0,Virtual Reality App Developer,3,2,-1,Invonto, NJ,4.1,0,15,1 to 50 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),4.2,3.9,4.2,4.3,4.3,2023-06-04 00:00:11.946884,yr
"$320,000 /yr (est.)",320000.0,"Vice President, IT Infrastructure",10,1,1,"MKS Instruments, Inc.",Remote,3.9,1,62,5001 to 10000 Employees,1961,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),3.8,3.7,3.8,3.7,3.8,2023-06-04 00:00:13.948923,yr
"$74,687 /yr (est.)",74687.0,Computer Science - Virtual Reality Engineer,5,1,-1,Jacobs, AL,4.0,0,76,10000+ Employees,1947,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$10+ billion (USD),3.9,3.6,4.1,3.7,3.9,2023-06-04 00:00:16.194798,yr
"$95,901 /yr (est.)",95901.0,"Senior Unity Programmer - VR/ AR/ Mixed Reality, Automotive",4,1,1,izmocars, CA,3.5,0,21,201 to 500 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.1,3.2,3.0,3.1,3.4,2023-06-04 00:00:18.525168,yr
"$70,000 /yr (est.)",70000.0,Sales Representative,-1,-1,-1,Symspace Labs Inc.,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:00:24.275804,yr
"$172,000 /yr (est.)",172000.0,"Software Engineer, Security - Reality Labs",5,1,-1,Meta,Remote,3.9,1,19,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.0,4.6,3.7,3.3,3.6,2023-06-04 00:00:29.089078,yr
