Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$66,000 /yr (est.)",66000.0,Web Developer / Webmaster,3,1,-1,Big Deal Media,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:09:41.379346,yr
$21.39 /hr (est.),44491.2,Junior Web Developer,0,1,1,Loyola Marymount University, CA,4.4,0,112,1001 to 5000 Employees,1911,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.8,3.7,4.3,3.9,4.1,2023-06-04 00:09:46.913540,hr
$30.77 /hr (est.),64001.6,Temporary Web Developer,2,1,1,University of Colorado Boulder, CO,3.8,0,147,10000+ Employees,1876,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),3.3,3.5,3.7,3.3,3.6,2023-06-04 00:09:56.567484,hr
$52.50 /hr (est.),109200.0,Remote Web Development Instructor - Python (US / Canada),0,2,1,Skills Union,Remote,4.3,1,-1,-1,-1,-1,-1,-1,-1,3.7,2.8,3.7,3.3,2.9,2023-06-04 00:10:01.101809,hr
$20.50 /hr (est.),42640.0,web developer entry level,4,1,-1,Skin Perfect Brothers, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:10:08.913229,hr
"$43,808 /yr (est.)",43808.0,Software Engineer - Web/API C# .Net - (REMOTE OPPORTUNITY),0,1,0,Regions, AL,3.5,0,52,10000+ Employees,1971,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),3.5,3.6,3.7,3.3,3.7,2023-06-04 00:10:13.965418,yr
"$84,230 /yr (est.)",84230.0,Web Applications Developer I,2,2,-1,Goldschmitt and Associates, DC,4.8,0,25,201 to 500 Employees,1998,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.3,4.6,4.6,4.6,4.6,2023-06-04 00:10:16.242643,yr
"$80,000 /yr (est.)",80000.0,Backend Laravel PHP Web Engineer,5,1,1,Procal Technologies,Remote,3.8,1,-1,-1,-1,-1,-1,-1,-1,4.5,4.5,4.5,5.0,5.0,2023-06-04 00:10:18.647727,yr
$52.50 /hr (est.),109200.0,Front-end React Developer,2,1,1,Cenzen Media, NY,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:10:21.593164,hr
"$97,500 /yr (est.)",97500.0,Web Producer,0,1,1,Fortinet, CA,4.3,0,23,10000+ Employees,2000,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),4.2,4.1,4.2,4.1,4.2,2023-06-04 00:10:26.464661,yr
$24.91 /hr (est.),51812.8,Web Programmer - Hybrid,0,1,-1,UC San Diego Health, CA,3.8,0,57,10000+ Employees,1966,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,3.6,3.8,3.4,3.7,2023-06-04 00:10:28.778880,hr
$75.00 /hr (est.),156000.0,Web Developer,7,2,-1,"Landscape Communications, Inc.", CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:10:30.983028,hr
"$72,084 /yr (est.)",72084.0,Frontend Engineer,3,1,1,Landus Cooperative, IA,2.9,0,7,501 to 1000 Employees,2016,Self-employed,Farm Support,Agriculture,$1 to $5 billion (USD),2.3,3.0,2.5,2.0,2.6,2023-06-04 00:10:40.903641,yr
"$89,000 /yr (est.)",89000.0,Web Developer,1,1,-1,KesarWeb, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:10:55.438007,yr
$90.00 /hr (est.),187200.0,Web Designer (Contract),3,1,1,EZ Street Asphalt / Granite Construction,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:11:00.953669,hr
"$152,500 /yr (est.)",152500.0,Web Development,6,1,1,Moveworks.ai, CA,3.8,0,7,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,3.7,4.0,3.6,3.5,3.2,2023-06-04 00:11:06.295178,yr
