Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$43,500 /yr (est.)",43500.0,Bookkeeper/Accountant - Quickbooks Online,3,2,1,Zacharin Consulting,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:16:32.357887,yr
$20.00 /hr (est.),41600.0,Customer Service Specialist-FULLY REMOTE,2,1,1,Slavic Integrated Adminstration Inc, AZ,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:16:43.787480,hr
"$58,499 /yr (est.)",58499.0,PROGRAMMER,1,1,1,State of Alabama Personnel Department,Alabama,3.3,0,27,10000+ Employees,1996,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.0,3.6,2.8,2.7,3.5,2023-06-04 00:16:49.125518,yr
$20.50 /hr (est.),42640.0,Bilingual Online English Tutor,0,2,-1,AmazingTalker,Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,3.5,3.3,3.5,3.3,3.6,2023-06-04 00:16:51.226140,hr
"$106,080 /yr (est.)",106080.0,Customer Success Program Manager (Pendo),5,1,1,U.S. Bank National Association,Remote,3.8,1,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-06-04 00:16:56.608876,yr
$19.00 /hr (est.),39520.0,BILINGUAL - Part Time - Remote Customer Service Rep - Emergency Roadside Service,0,1,1,AAA The Auto Club Group,United States,3.5,0,121,10000+ Employees,1902,Company - Private,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),3.4,3.5,3.6,3.1,3.3,2023-06-04 00:16:58.967981,hr
"$59,339 /yr (est.)",59339.0,EPIDEMIOLOGIST,0,1,1,State of Alabama Personnel Department,Alabama,3.3,0,27,10000+ Employees,1996,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,3.0,3.6,2.8,2.7,3.5,2023-06-04 00:17:01.087469,yr
"$46,386 /yr (est.)",46386.0,Customer Support Agent,0,1,-1,Ad Hoc Labs, CA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:17:03.318124,yr
$10.00 /hr (est.),20800.0,Appointment Setter,-1,-1,-1,Blue Rabbit Digital LLC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:17:11.425175,hr
"$42,500 /yr (est.)",42500.0,Project Manager (Remote),0,1,-1,FMG Suite,Remote,4.1,1,12,201 to 500 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.4,3.4,4.4,3.9,4.3,2023-06-04 00:17:16.790164,yr
$17.63 /hr (est.),36670.4,Care Coordinator I - Workers' Compensation,0,1,0,One Call,Remote,3.5,1,30,1001 to 5000 Employees,1993,Subsidiary or Business Segment,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.2,3.3,3.5,3.2,3.6,2023-06-04 00:17:19.393419,hr
"$99,463 /yr (est.)",99463.0,Sr. Software Engineer – Internet of Things (IoT),5,1,-1,Bosch Group, MA,4.4,0,137,10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),4.1,4.1,4.4,4.0,4.1,2023-06-04 00:17:21.686884,yr
"$47,500 /yr (est.)",47500.0,"Digital Marketing Assistant, Paid and Email",2,1,0,Santanna Energy Services,Remote,2.7,1,35,1 to 50 Employees,1988,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,2.5,2.8,2.6,2.5,3.0,2023-06-04 00:17:24.427793,yr
$12.50 /hr (est.),26000.0,Customer Support Associate,1,2,1,Pink Callers,Remote,2.0,1,-1,-1,-1,-1,-1,-1,-1,1.7,1.3,3.7,2.4,1.7,2023-06-04 00:17:27.165122,hr
"$54,000 /yr (est.)",54000.0,Amazon SEO Specialist,0,2,0,4Media Marketing,Remote,3.0,1,-1,-1,-1,-1,-1,-1,-1,3.0,2.4,3.0,2.7,2.4,2023-06-04 00:17:33.598046,yr
$16.50 /hr (est.),34320.0,Part Time - Ecommerce Analyst,0,1,0,TELUS International,Remote,3.7,1,-1,-1,-1,-1,-1,-1,-1,3.4,3.3,3.6,3.3,3.6,2023-06-04 00:17:36.935992,hr
$19.50 /hr (est.),40560.0,Customer Support Specialist (Temp),1,1,1,Carnegie Learning,Pennsylvania,3.6,0,24,501 to 1000 Employees,1999,Company - Private,Computer Hardware Development,Information Technology,$5 to $25 million (USD),3.6,3.7,3.7,3.5,4.1,2023-06-04 00:17:40.164279,hr
$15.50 /hr (est.),32240.0,Remote Member Services Representative,2,1,-1,RJR COMMUNICATIONS INC,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:17:42.379384,hr
"$134,453 /yr (est.)",134453.0,Data Analytics and Reporting,0,1,-1,U.S. Bank National Association,Remote,3.8,1,160,10000+ Employees,1863,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.5,3.8,3.4,3.7,2023-06-04 00:17:47.550260,yr
$15.50 /hr (est.),32240.0,Healthcare Customer Service Representative,0,2,1,TTEC, CA,3.6,0,41,10000+ Employees,1982,Company - Public,HR Consulting,Human Resources & Staffing,$1 to $5 billion (USD),3.5,3.3,3.6,3.3,3.5,2023-06-04 00:17:50.107806,hr
$16.00 /hr (est.),33280.0,Expeditor/ Coordinator /Record Retrieval Position/ Release of Information,0,2,-1,Legal Copy Services,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:17:52.485724,hr
$18.00 /hr (est.),37440.0,REMOTE CALL CENTER CUSTOMER EXPERIENCE ASSOCIATE,2,2,0,Cox Communications, NV,4.0,0,61,10000+ Employees,1962,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),3.8,4.1,4.0,3.7,3.9,2023-06-04 00:18:01.169871,hr
$14.50 /hr (est.),30160.0,eCommerce Listing Expert,1,2,1,SellHound,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:18:04.172018,hr
$19.00 /hr (est.),39520.0,BILINGUAL - Full Time - Remote Customer Service Rep - Emergency Roadside Service,0,1,1,AAA The Auto Club Group,United States,3.5,0,121,10000+ Employees,1902,Company - Private,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),3.4,3.5,3.6,3.1,3.3,2023-06-04 00:18:16.644138,hr
$15.00 /hr (est.),31200.0,Remote Fraud Support Call Center Representative (CCC),-1,-1,-1,"Jack Henry and Associates, Inc.", MO,3.9,0,47,5001 to 10000 Employees,1976,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD),3.6,3.6,3.9,3.6,3.9,2023-06-04 00:18:19.487121,hr
$21.75 /hr (est.),45240.0,"Remote - Insurance, Customer Sales and Service Rep",0,1,1,AAA The Auto Club Group,United States,3.5,0,121,10000+ Employees,1902,Company - Private,Insurance Agencies & Brokerages,Insurance,$1 to $5 billion (USD),3.4,3.5,3.6,3.1,3.3,2023-06-04 00:18:26.049586,hr
$26.59 /hr (est.),55307.2,Customer Service Representative - Health Plan Services,-1,-1,-1,Scripps Health, CA,3.9,0,99,10000+ Employees,1924,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),3.9,3.8,3.9,3.4,3.8,2023-06-04 00:18:28.643826,hr
"$2,750 /mo (est.)",33000.0,Part-time Accountant,0,1,-1,Lovely Financials Group,Remote,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:18:30.806228,mo
"$38,466 /yr (est.)",38466.0,Member Specialist - Support Center- Remote,0,2,1,AAA Central Penn, PA,3.6,0,-1,-1,-1,-1,-1,-1,-1,3.1,3.3,3.5,3.2,3.7,2023-06-04 00:18:36.181915,yr
