Salary Estimate,Annual Salary,Job Title,Experience,Education,Position,Company Name,Location,Rating,Is Remote,Company Old,Company Size,Founded,Type of Ownership,Industry,Sector,Revenue,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Time of Scrape,Time Unit
"$56,693 /yr (est.)",56693.0,Financial Analyst I,4,2,1,"WELLDYNE
3.3", FL,3.3,0,33,501 to 1000 Employees,1990,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,2.8,3.0,2.9,2.9,3.3,2023-06-04 00:23:18.210960,yr
"$72,000 /yr (est.)",72000.0,Banking Financial Analyst,3,1,-1,"Suncoast Credit Union
4.1", FL,4.1,0,89,1001 to 5000 Employees,1934,Nonprofit Organization,Banking & Lending,Financial Services,$100 to $500 million (USD),4.1,4.0,4.1,3.8,3.8,2023-06-04 00:23:23.635271,yr
"$172,500 /yr (est.)",172500.0,Machine Learning Engineer (Associate),2,1,1,"PubMatic
4.4",Remote,4.4,1,17,501 to 1000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,$25 to $100 million (USD),4.2,4.3,4.4,4.1,4.1,2023-06-04 00:23:26.053441,yr
"$237,500 /yr (est.)",237500.0,Equity Quantitative Research | Equity Model Research | Quantitative Researcher,0,1,-1,"Citadel Enterprise Americas
3.9", NY,3.9,0,33,1001 to 5000 Employees,1990,Company - Private,Investment & Asset Management,Financial Services,$25 to $100 million (USD),3.9,4.3,3.3,3.5,2.7,2023-06-04 00:23:28.419088,yr
"$72,841 /yr (est.)",72841.0,Financial Applications Analyst - Remote Opportunity,5,1,-1,"University of Maryland Faculty Physicians
3.3", MD,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.5,3.4,3.4,2.8,3.2,2023-06-04 00:23:34.014279,yr
"$103,764 /yr (est.)",103764.0,"IT - Financial Services Audit, SOC - Technology Risk - Manager - CS - Location OPEN",5,1,-1,"EY
3.9", VA,3.9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:23:37.140329,yr
"$100,105 /yr (est.)",100105.0,Financial Application Development Manager,8,1,-1,"Deloitte
4.1", FL,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-06-04 00:23:43.921483,yr
$62.98 /hr (est.),130998.4,"Data Solutions Architect I, Financial Business Services",5,1,-1,"Sutter Health
3.7", CA,3.7,0,42,10000+ Employees,1981,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),3.5,3.8,3.7,3.1,3.5,2023-06-04 00:23:53.438636,hr
"$190,000 /yr (est.)",190000.0,"Business Intelligence Engineer, Finance",0,2,1,"Notion
4.8", CA,4.8,0,7,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.8,4.8,4.8,4.7,4.4,2023-06-04 00:23:55.675135,yr
"$79,639 /yr (est.)",79639.0,Financial Systems Analyst,5,1,1,"Aventura Mall
3.4", FL,3.4,0,56,1001 to 5000 Employees,1967,Company - Private,Real Estate,Real Estate,$100 to $500 million (USD),3.2,3.3,3.3,3.1,3.0,2023-06-04 00:23:57.772767,yr
"$102,302 /yr (est.)",102302.0,"Scrum Master - Asset Management Technology, FAMS Investment Team",5,2,1,"Fidelity Investments
4.3", MA,4.3,0,77,10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD),4.2,4.1,4.4,4.0,4.2,2023-06-04 00:24:00.067106,yr
"$74,627 /yr (est.)",74627.0,Financial Systems Analyst,5,1,1,"Mariani Enterprises, LLC
3.5", IL,3.5,0,65,1001 to 5000 Employees,1958,Company - Private,Floral Nursery,Agriculture,Unknown / Non-Applicable,3.5,2.2,2.9,3.5,2.1,2023-06-04 00:24:02.164018,yr
"$64,947 /yr (est.)",64947.0,IT FINANCIAL ANALYST,0,1,0,"Fulton County, GA
3.5",United States,3.5,0,-1,-1,-1,-1,-1,-1,-1,3.2,3.3,3.3,3.1,3.3,2023-06-04 00:24:09.012960,yr
"$81,011 /yr (est.)",81011.0,"Analyst, Finance & Analytics - SQL Programming - REMOTE",4,1,0,"Molina Healthcare
3.4", CA,3.4,0,43,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),3.2,3.5,3.4,3.0,3.4,2023-06-04 00:24:12.492360,yr
$15.50 /hr (est.),32240.0,Financial Support Specialist (Remote),0,2,1,"ACS Technologies
4.1", SC,4.1,0,45,201 to 500 Employees,1978,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),3.5,3.9,4.4,3.9,4.6,2023-06-04 00:24:21.419293,hr
"$123,711 /yr (est.)",123711.0,Vendor Risk Management Analyst - USDS,5,1,1,"TikTok
3.6", CA,3.6,0,7,1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.4,3.6,3.4,3.1,3.0,2023-06-04 00:24:23.818503,yr
$120.00 /hr (est.),249600.0,PeopleSoft Financial Management Consultant,0,2,1,Techsara solutions, OH,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:24:26.115986,hr
"$145,000 /yr (est.)",145000.0,Director Financial Planning + Analysis (FP+A),10,1,1,"Apkudo, Inc.
4.2",Remote,4.2,1,13,1 to 50 Employees,2010,Company - Private,Telecommunications Services,Telecommunications,$5 to $25 million (USD),4.0,4.0,4.2,4.1,4.0,2023-06-04 00:24:31.220460,yr
"$67,810 /yr (est.)",67810.0,Information Technology Asset Management Specialist,4,1,-1,"City of El Paso, TX
3.3", TX,3.3,0,152,5001 to 10000 Employees,1871,Government,Municipal Agencies,Government & Public Administration,Unknown / Non-Applicable,3.3,2.8,3.4,3.1,3.5,2023-06-04 00:24:33.945441,yr
$43.60 /hr (est.),90688.0,Business System Analyst (AFS) Automated Financial Systems,0,2,1,"accurogroup.com
3.3", MA,3.3,0,-1,-1,-1,-1,-1,-1,-1,3.0,2.6,2.7,2.9,3.0,2023-06-04 00:24:36.400736,hr
"$55,000 /yr (est.)",55000.0,Financial Administrative Assistant (SharePoint),4,1,1,"Earth Resources Technology, Inc
4.6", MD,4.6,0,30,201 to 500 Employees,1993,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),4.0,4.1,4.4,4.4,4.3,2023-06-04 00:24:39.538029,yr
"$122,500 /yr (est.)",122500.0,Financial Business System Analyst,8,2,-1,INA Solution Inc, TX,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:24:42.127647,yr
"$210,368 /yr (est.)",210368.0,Deputy Director of Financial Technology & Access,5,1,1,"US National Credit Union Administration
3.4", VA,3.4,0,53,1001 to 5000 Employees,1970,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,3.1,3.7,3.1,2.9,3.2,2023-06-04 00:24:47.278823,yr
"$77,900 /yr (est.)",77900.0,Financial Systems Analyst,2,1,-1,"Constellation
3.8",Remote,3.8,1,24,10000+ Employees,1999,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.8,4.1,3.7,3.4,3.4,2023-06-04 00:24:57.257612,yr
$62.50 /hr (est.),130000.0,SQL Data Analyst (Finance),-1,-1,-1,-1, CA,5.0,0,4,1 to 50 Employees,2019,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,5.0,4.9,5.0,5.0,5.0,2023-06-04 00:24:59.693293,hr
"$126,000 /yr (est.)",126000.0,"Manager, Supplier Risk Management (Program Governance) (Remote)",-1,-1,-1,"GEICO
3.0", MD,3.0,0,87,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),3.3,3.5,2.9,2.6,2.7,2023-06-04 00:25:03.209624,yr
"$124,000 /yr (est.)",124000.0,Enterprise Risk Management Lead,4,1,1,"Humana
3.9",Remote,3.9,1,62,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),3.7,3.9,3.9,3.5,3.8,2023-06-04 00:25:05.780010,yr
"$85,000 /yr (est.)",85000.0,Compliance Data Analyst,0,1,1,"Sezzle
4.0",United States,4.0,0,7,201 to 500 Employees,2016,Company - Public,Internet & Web Services,Information Technology,$25 to $100 million (USD),3.9,3.5,4.3,4.0,4.2,2023-06-04 00:25:08.574417,yr
"$129,454 /yr (est.)",129454.0,"Systems Lead, Finance & Planning Technology",4,1,1,"Netflix
4.3", CA,4.3,0,26,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),3.9,4.6,4.2,3.8,3.9,2023-06-04 00:25:11.068221,yr
"$200,000 /yr (est.)",200000.0,Quantitative Researcher,0,1,-1,"Hap Capital
3.6", NY,3.6,0,14,51 to 200 Employees,2009,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.6,4.2,3.5,3.4,3.3,2023-06-04 00:25:13.726880,yr
"$59,500 /yr (est.)",59500.0,"Business Analyst, Global Risk Management and Claims",5,1,-1,"Amazon.com Services LLC
3.8",Remote,3.8,1,29,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.8,3.9,3.7,3.4,3.3,2023-06-04 00:25:16.388925,yr
"$157,650 /yr (est.)",157650.0,Workday Finance – Business System Analyst,3,1,1,"Tencent
4.0", CA,4.0,0,25,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.0,4.1,3.9,3.7,3.3,2023-06-04 00:25:18.723895,yr
"$208,000 /yr (est.)",208000.0,"Manager, Finance Technology",7,1,1,"Zillow
3.9",Remote,3.9,1,18,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),3.6,4.0,4.1,3.3,4.2,2023-06-04 00:25:21.478969,yr
"$94,811 /yr (est.)",94811.0,Financial Analysis - Business Intelligence Architect- Associate,3,1,1,"JPMorgan Chase Bank, N.A.
3.8", OH,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-04 00:25:24.377174,yr
"$97,872 /yr (est.)",97872.0,"Business Systems Analyst, Finance (Remote)",10,1,1,"Ingevity
3.9", SC,3.9,0,8,1001 to 5000 Employees,2015,Company - Public,Chemical Manufacturing,Manufacturing,$1 to $5 billion (USD),3.5,3.9,3.7,3.6,3.8,2023-06-04 00:25:26.891616,yr
"$54,098 /yr (est.)",54098.0,Technology Asset Management Specialist - (Information Technology Services),2,1,0,"Central Piedmont Community College
3.0", NC,3.0,0,-1,-1,-1,-1,-1,-1,-1,2.8,2.5,2.9,2.2,3.1,2023-06-04 00:25:29.534272,yr
"$70,524 /yr (est.)",70524.0,Finance Systems Analyst I,0,1,0,"National University
3.5",Remote,3.5,1,52,1001 to 5000 Employees,1971,College / University,Colleges & Universities,Education,$100 to $500 million (USD),3.2,3.2,3.4,3.0,3.6,2023-06-04 00:25:33.058537,yr
"$114,852 /yr (est.)",114852.0,"Quantitative Researcher, Systematic Equities",0,1,0,"Millennium Management LLC
4.0", CA,4.0,0,34,1001 to 5000 Employees,1989,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,3.9,4.0,3.6,3.7,3.6,2023-06-04 00:25:35.233023,yr
"$136,593 /yr (est.)",136593.0,IT TBM Financial Analyst (LD Systems Analyst) - Remote,-1,-1,-1,"Mayo Clinic
3.9", MN,3.9,0,-1,-1,-1,-1,-1,-1,-1,3.8,3.8,3.9,3.3,3.5,2023-06-04 00:25:37.809625,yr
"$140,883 /yr (est.)",140883.0,Operations Research Analyst (Financial Data Scientist),3,1,0,"US Treasury, Departmental Offices", VA,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2023-06-04 00:25:40.763288,yr
"$90,813 /yr (est.)",90813.0,Enterprise Risk Management Consultant,2,1,1,"Deloitte
4.1", VA,4.1,0,173,10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD),4.3,3.8,4.0,3.8,3.3,2023-06-04 00:25:46.951846,yr
"$70,054 /yr (est.)",70054.0,Financial Data Analyst,5,1,1,"Weinstein Properties
4.0", VA,4.0,0,61,501 to 1000 Employees,1962,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,4.1,3.9,4.1,4.0,3.9,2023-06-04 00:25:49.517777,yr
"$69,807 /yr (est.)",69807.0,Financial Systems Analyst,0,1,1,"Hobby Lobby
3.4", OK,3.4,0,51,10000+ Employees,1972,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable,3.0,3.3,3.1,3.0,3.0,2023-06-04 00:25:52.813041,yr
"$171,250 /yr (est.)",171250.0,Asset Management - Equities Quantitative Developer - Associate,3,1,1,"JPMorgan Chase Bank, N.A.
3.8", NY,3.8,0,224,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),3.6,3.7,3.7,3.4,3.5,2023-06-04 00:25:55.608469,yr
"$82,503 /yr (est.)",82503.0,"Business Systems Analyst, Finance",5,2,1,"Ocean Spray
3.7", MA,3.7,0,93,1001 to 5000 Employees,1930,Company - Private,Food & Beverage Manufacturing,Manufacturing,$1 to $5 billion (USD),3.4,4.1,3.7,3.4,3.7,2023-06-04 00:25:58.466138,yr
"$108,148 /yr (est.)",108148.0,Financial Systems Analyst (Hybrid),3,1,0,"GEICO
3.0", MD,3.0,0,87,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),3.3,3.5,2.9,2.6,2.7,2023-06-04 00:26:01.242338,yr
"$79,764 /yr (est.)",79764.0,Associate Analyst - Risk Management,2,1,0,"Energy Transfer Family of Partnerships
3.6", TX,3.6,0,28,10000+ Employees,1995,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),3.4,3.8,3.4,3.3,3.4,2023-06-04 00:26:04.073784,yr
